,fractions
0,\frac{1}{2}
1,\frac{1}{2}
2,\frac{1}{2}
3,\frac{\pi}{2}
4,\frac{\pi}{2}
5,\frac{1}{2}
6,\frac{dV}{dT}
7,\frac{\bar{\epsilon}^{\mu\nu\rho}}{2}
8,\frac{1}{2}
9,\frac{\Pi}{E}
10,\frac{1}{2}
11,\frac{1}{2}
12,\frac{E}{\Pi}
13,\frac{\Pi}{E}
14,\frac{E}{\Pi}
15,\frac{E^2T_2^2}{\Pi^2(1-E^2)}
16,\frac{\sqrt{1-E^2}}{T_0}
17,\frac{dT}{dx}
18,\frac{E}{\Pi}
19,\frac{ET_{2}^{2}}{\Pi}
20,\frac{\pi}{2}
21,\frac{\pi}{2}
22,\frac{\xi/\pi}{x^2 + \xi^2}
23,\frac{\sqrt{E^2-1}}{T_0}
24,\frac{ET_{2}^{2}}{\Pi}
25,\frac{ET_{p}^{2}}{\Pi}
26,\frac{1}{2}
27,\frac{x}{\zeta_B}
28,\frac{\zeta_B}{u}
29,\frac{x}{\zeta_B}
30,\frac{dT}{dx}
31,\frac{dT}{dt}
32,\frac{T_{0}t}{\xi}
33,\frac{x}{\zeta_B}
34,\frac{x}{\zeta_B}
35,\frac{1}{1+\exp(2x/\zeta_B)}
36,\frac{x}{\zeta_B}
