,label
0,\label{1.ope}
1,\label{1.min}
2,\label{1.cent}
3,\label{1.NS}
4,\label{1.R}
5,\label{1.Bex}
6,\label{1.vac}
7,\label{1.hwv}
8,\label{1.fchd}
9,\label{1.fchc}
10,\label{1.Jthet}
11,\label{1.eta}
12,\label{1.flow}
13,\label{1.fbos}
14,\label{1.vflow}
15,\label{1.2}
16,\label{1.3}
17,\label{1.hw}
18,\label{1.chw}
19,\label{1.achw}
20,\label{1.L}
21,\label{1.fock}
22,\label{1.chrg}
23,\label{1.BRST}
24,\label{1.but}
25,\label{1.grad}
26,\label{1.diff}
27,\label{1.char}
28,\label{2.BD}
29,\label{2.AD}
30,\label{2.Bantz}
31,\label{2.BX}
32,\label{2.Bish}
33,\label{2.ampl}
34,\label{2.Aantz}
35,\label{2.AX}
36,\label{2.Aish}
37,\label{2.mirr}
38,\label{2.MIB}
39,\label{2.MBampl}
40,\label{2.cnorm}
41,\label{2.cmod}
42,\label{2.dualbut}
43,\label{2.grad}
44,\label{2.complex}
45,\label{2.Diff}
46,\label{2.D*}
47,\label{2.Dcycl}
48,\label{2.cycle}
49,\label{2.eq}
50,\label{2.term1}
51,\label{2.dec}
52,\label{2.term2}
53,\label{2.smat}
54,\label{2.NSstand}
55,\label{2.Rstand}
56,\label{2.NScardy}
57,\label{2.Rcardy}
58,\label{2.Dcoef}
59,\label{4.1}
