,cite
0,"\cite{Adams:2001sv,Vafa:2001ra,Harvey:2001wm,David:2001vm}"
1,\cite{Gutperle:2001mb}
2,"\cite{Braaten:np,Polchinski:1990mh}"
3,\cite{daCunha:2003fm}
4,"\cite{St,GS,Maloney:2003ck}"
5,"\cite{Sen:2002nu,Sen:2002in}"
6,"\cite{Okuda:2002yd,Larsen:2002wc,Lambert:2003zr,Mi}"
7,\cite{GS}
8,\cite{Runkel:2001ng}
9,\cite{GS}
10,"\cite{FZZ,Teschner:2000md}"
11,"\cite{Braaten:np,Polchinski:1990mh}"
12,\cite{daCunha:2003fm}
13,\cite{St}
14,\cite{GS}
15,\cite{St}
16,\cite{Dorn:1992at}
17,\cite{ZZ}
18,"\cite{Dorn:1992at,ZZ}"
19,\cite{GS}
20,\cite{GS}
