,cite
0,\cite{dreyer}
1,"\cite{rovelli,rovellitwo,thiemann}"
2,"\cite{rovellismolin,ashle}"
3,"\cite{barbero,immirzi}"
4,\cite{dreyer}
5,"\cite{leaver,nollert,andersson,bachelot}"
6,\cite{hod}
7,\cite{lubosone}
8,\cite{leaver}
9,\cite{nollert}
10,\cite{lubosone}
11,\cite{reggewheeler}
12,\cite{zerilli}
13,\cite{kokkotas}
14,\cite{ns}
15,\cite{leaver}
16,\cite{lubosone}
17,\cite{andersson2}
18,"\cite{leaver, nollert, andersson, bachelot}"
19,"\cite{dreyer, hod}"
20,\cite{lubosone}
21,\cite{lubosone}
22,\cite{lubosone}
23,\cite{cardoso}
24,\cite{gibbons}
25,\cite{kunstatter}
26,\cite{bek2}
27,\cite{berti2}
28,"\cite{dreyer,hod}"
29,\cite{inprog}
30,"\cite{berti2,musiri}"
31,\cite{cardoso2}
32,"\cite{horowitz, birmingham}"
33,"\cite{berti2, horowitz}"
34,\cite{andersson3}
35,\cite{guinn}
36,\cite{guinn}
37,\cite{strom-private}
38,\cite{dreyer}
39,\cite{corichi}
