,gather
0,"\begin{gather}
\delta^2 = 0.
\"
1,"\begin{gather} \label{lorg}
\partial_{\mu} A^{\mu} = 0.
\"
2,"\begin{gather} \label{lors}
L = -\frac{1}{4} F_{\mu\nu}^{A} F^{A\mu\nu}
+i\delta \bar{\delta} (\frac{1}{2}A_{\mu}^{A}A^{A\mu} - \frac{i\alpha}{2} C^{A} \bar{C}^{A}).
\"
3,"\begin{gather} \label{mag}
X \rightarrow \tilde{X} = V X V^{\dag} = \mathrm{diag} (\lambda_1, \dots, \lambda_N).
\"
4,"\begin{gather}
\{ d \epsilon SU(N) | d = \mathrm{diag} (e^{i\alpha_1}, \dots, e^{i\alpha_N}), \Sigma_i \alpha_i =0 \}.
\"
5,"\begin{gather}
a^{i}_{\mu} \rightarrow a^{i}_{\mu} + i\partial_{\mu} \alpha_i
\"
6,"\begin{gather} \label{cgt}
c^{ij}_{\mu} \rightarrow e^{i(\alpha_i - \alpha_j)} c^{ij}_{\mu}.
\"
7,"\begin{gather} \label{mags}
L = -\frac{1}{4} F_{\mu\nu}^{A} F^{A\mu\nu}
+i\delta \bar{\delta} (\frac{1}{2}A_{\mu}^{a}A^{a\mu} - \frac{i\alpha}{2} C^{a} \bar{C}^{a}),
\"
8,"\begin{gather} \label{O}
O = \frac{1}{\Omega} \int d^D x \; 
\mathrm{tr} \left[ \frac{1}{2} A_{\mu}  A^{\mu} - \alpha i C \bar{C} \right],
\"
9,"\begin{gather} \label{b}
b^A = -\frac{1}{\alpha} \partial_{\mu} A^{A\mu} + i\frac{g}{2} f^{ABC} C^B \bar{C}^C.
\"
10,"\begin{gather} \label{inv}
\delta'  \int 
\left[ \frac{1}{2} A_{\mu}^{A}  A^{A \mu} - i \alpha  C^A \bar{C}^A \right]
= \int \partial_{\mu} (A^{A\mu} C^A) = 0.
\"
11,"\begin{gather} \label{gi}
O_0 = \frac{1}{\Omega} \int \mathrm{tr} A_{\mu} A^{\mu}
\"
12,"\begin{gather}
O_0 = \int \mathrm{tr} A_{\mu} A^{\mu},
\"
13,"\begin{gather}
O_0 = \int c_{\mu}^{ij}c^{ji\mu}.
\"
