,equation
0,"\begin{equation}
\left[ x,y\right] =i\theta,
\"
1,"\begin{equation}
\left[ z,\bar{z}\right] =\theta>0,
\"
2,"\begin{equation}
L=\text{$\mathrm{Tr}$}(\left\vert D_{t}\Phi\right\vert ^{2}-\left\vert
D_{z}\Phi\right\vert ^{2}-\left\vert D_{\bar{z}}\Phi\right\vert ^{2}),
\"
3,"\begin{equation}
\text{$\mathrm{Tr}$}\mathcal{O}=2\pi\theta\sum_{n=0}^{\infty}\left\langle
n\right\vert \mathcal{O}\left\vert n\right\rangle .
\"
4,"\begin{equation}
D_{a}\Phi=\partial_{a}\Phi-i\Phi A_{a},\quad A_{a}=-i\Phi^{\dagger}%
\partial_{a}\Phi,\quad\left( a=t,z,\bar{z}\right) ,
\"
5,"\begin{equation}
Q=\frac{1}{2\pi}\mathrm{Tr}\left( \left\vert D_{z}\Phi\right\vert
^{2}-\left\vert D_{\bar{z}}\Phi\right\vert ^{2}\right) , \label{Q1}%
\"
6,"\begin{equation}
E=\mathrm{Tr}\left( \left| D_{z}\Phi\right| ^{2}+\left| D_{\bar{z}}%
\Phi\right| ^{2}\right) \geq2\pi\left| Q\right| . \label{E1}%
\"
7,"\begin{equation}
D_{\bar{z}}\Phi=0, \label{bps1-1}%
\"
8,"\begin{equation}
D_{z}\Phi=0. \label{bps2-1}%
\"
9,"\begin{equation}
\Phi=W\frac{1}{\sqrt{W^{\dagger}W}},\ \ P=\Phi\Phi^{\dagger}.
\"
10,"\begin{equation}
\left( 1-P\right) zP=0,\label{bps1-2}%
\"
11,"\begin{equation}
\left( 1-P\right) \bar{z}P=0. \label{bps2-2}%
\"
12,"\begin{equation}
Q=\frac{1}{2\pi}\text{Tr}\left\{ \partial_{\bar{z}}\Phi^{\dagger}\left(
1-P\right) \partial_{z}\Phi-\partial_{z}\Phi^{\dagger}\left( 1-P\right)
\partial_{\bar{z}}\Phi\right\} , \label{Q2}%
\"
13,"\begin{equation}
E=\text{Tr}\left\{ \partial_{\bar{z}}\Phi^{\dagger}\left( 1-P\right)
\partial_{z}\Phi+\partial_{z}\Phi^{\dagger}\left( 1-P\right) \partial
_{\bar{z}}\Phi\right\} . \label{E2}%
\"
14,"\begin{equation}
\Phi=\left(
\begin{array}
[c]{c}%
\bar{z}^{n}\dfrac{1}{\sqrt{\prod_{l=1}^{n}(\bar{z}z+l\theta)}}\\
0
\end{array}
\right) , \label{phi1}%
\"
15,"\begin{equation}
P=\left(
\begin{array}
[c]{cc}%
1-\sum_{m=0}^{n-1}\left\vert m\right\rangle \left\langle m\right\vert & 0\\
0 & 0
\end{array}
\right) . \label{P1}%
\"
16,"\begin{equation}
\Phi=\left(
\begin{array}
[c]{c}%
\dfrac{1}{\sqrt{\prod_{l=1}^{n}(\bar{z}z+l\theta)}}z^{n}\\
\sum_{m=0}^{n-1}\left\vert m\right\rangle \left\langle m\right\vert
\end{array}
\right) , \label{phi2}%
\"
17,"\begin{equation}
P=\left(
\begin{array}
[c]{cc}%
1 & 0\\
0 & \sum_{m=0}^{n-1}\left\vert m\right\rangle \left\langle m\right\vert
\end{array}
\right) . \label{P2}%
\"
18,"\begin{equation}
Q=\frac{1}{2\pi}2\pi\theta\sum_{k=0}^{\infty}\left\langle k\right| \left(
-\theta^{-1}n\left| 0\right\rangle \left\langle 0\right| \right) \left|
k\right\rangle =-n, \label{Q3}%
\"
19,"\begin{equation}
E=2\pi\theta\sum_{k=0}^{\infty}\left\langle k\right| \left( \theta
^{-1}n\left| 0\right\rangle \left\langle 0\right| \right) \left|
k\right\rangle =2\pi n. \label{E3}%
\"
20,"\begin{equation}
W=\left(
\begin{array}
[c]{c}%
a^{-n}\bar{z}^{n}\prod_{l=1}^{n}\left( \bar{z}z+l\theta\right) ^{-1}\\
1
\end{array}
\right) , \label{w1}%
\"
21,"\begin{equation}
\Phi=\left(
\begin{array}
[c]{c}%
e^{-in\varphi}\\
0
\end{array}
\right) ,
\"
22,"\begin{equation}
W=\left(
\begin{array}
[c]{c}%
a^{-n}\left( \prod_{l=1}^{n}\left( \bar{z}z+l\theta\right) ^{-1}\right)
z^{n}\\
1
\end{array}
\right) , \label{w2}%
\"
23,"\begin{equation}
\Phi=\left(
\begin{array}
[c]{c}%
e^{in\varphi}\\
0
\end{array}
\right) ,
\"
24,"\begin{equation}
\left[ x,y\right] =i\theta,
\"
25,"\begin{equation}
\left[ z,\bar{z}\right] =\theta>0,
\"
26,"\begin{equation}
L=\text{$\mathrm{Tr}$}(\left\vert D_{t}\Phi\right\vert ^{2}-\left\vert
D_{z}\Phi\right\vert ^{2}-\left\vert D_{\bar{z}}\Phi\right\vert ^{2}),
\"
27,"\begin{equation}
\text{$\mathrm{Tr}$}\mathcal{O}=2\pi\theta\sum_{n=0}^{\infty}\left\langle
n\right\vert \mathcal{O}\left\vert n\right\rangle .
\"
28,"\begin{equation}
D_{a}\Phi=\partial_{a}\Phi-i\Phi A_{a},\quad A_{a}=-i\Phi^{\dagger}%
\partial_{a}\Phi,\quad\left( a=t,z,\bar{z}\right) ,
\"
29,"\begin{equation}
Q=\frac{1}{2\pi}\mathrm{Tr}\left( \left\vert D_{z}\Phi\right\vert
^{2}-\left\vert D_{\bar{z}}\Phi\right\vert ^{2}\right) , \label{Q1}%
\"
