,equation
0,"\begin{equation}\label{lag1}
L = i\gamma\,\bar\zeta\cdot \dot \zeta
\"
1,"\begin{equation}\label{susy1}
\delta_\epsilon \zeta^i = \left[1+ \zeta \cdot\bar\zeta\right]^{1\over2} \
\epsilon^i +  {\left(\bar\epsilon \cdot \zeta +
\epsilon\cdot\bar\zeta\right)\over 2 \left[1+ \zeta
\cdot\bar\zeta\right]^{1\over2}}\
\zeta^i
\"
2,"\begin{equation}
\xi^i = {\zeta^i\over \left[1+ \zeta \cdot\bar\zeta\right]^{1\over2}}\,,
\"
3,"\begin{equation}
\label{antransf}
\delta_\epsilon \xi^i = \epsilon^i + \bar \epsilon\cdot \xi\, \xi^i\,.
\"
4,"\begin{equation}
\label{nonlinlag}
L =  i\,\gamma \left[1 + \bar\xi\cdot \xi\right]^{-1} \bar\xi\cdot \dot
\xi\,.
\"
5,"\begin{equation}\label{lagphase}
L =  \left\{i\pi\cdot \dot\xi - \lambda^i\varphi_i\right\} + \mbox{c.c.}
\"
6,"\begin{equation}\label{defvarphi}
\varphi_i = \pi_i - {\gamma \over2}\left[1 + \bar\xi\cdot\xi\right]^{-1}
\bar\xi_i\,.
\"
7,"\begin{equation}
\pi_i = {\partial\over\partial\xi^i}\, ,\qquad
\bar\pi^i = {\partial\over\partial\bar \xi_i}\,.\label{conjugacy}
\"
8,"\begin{equation}
{\partial\Psi \over \partial \xi^i} = {\gamma\over2}\left[1 +
\bar\xi\cdot\xi\right]^{-1}\bar\xi_i\Psi\, ,
\qquad i=1,\dots,n\,,
\label{cond}
\"
9,"\begin{equation}
\label{solution2}
\Psi = \left[1+\bar\xi\cdot\xi\right]^{-{\gamma\over 2}} \Phi
\"
10,"\begin{equation}
\Phi = c_{(0)} + \bar\xi_i c_{(1)}^i  + \dots +
\bar\xi_{i_1}\dots
\bar\xi_{i_{n-1}}\ c_{(n-1)}^{i_1\dots i_{n-1}} + \bar\xi_{i_1}\dots
\bar\xi_{i_n}\ c_{(n)}^{i_1 \dots i_n}\,,\label{expansion}
\"
