,cite
0,"\cite{1,1.5}"
1,"\cite{2,3}"
2,"\cite{4,5}"
3,\cite{6}
4,\cite{7}
5,"\cite{1.5,8}"
6,\cite{9}
7,\cite{10}
8,\cite{12}
9,\cite{13}
10,\cite{14}
11,\cite{15}
12,\cite{3}
13,\cite{7}
14,\cite{7}
15,\cite{15}
16,"\cite{1,3}"
17,\cite{15.3}
18,\cite{15.4}
19,\cite{15.5}
20,\cite{3}
21,\cite{3}
22,"\cite{1,1.5,3,7}"
23,\cite{13}
24,\cite{13}
25,\cite{26.5}
26,\cite{30}
27,\cite{31}
28,\cite{18}
29,\cite{7}
30,\cite{32.7}
31,\cite{1.5}
32,\cite{32}
33,"\cite{18,32}"
34,\cite{33}
35,\cite{27}
36,\cite{28}
37,\cite{27}
38,\cite{35}
39,\cite{27}
40,"\cite{27,27.5}"
41,"\cite{27,27.3}"
42,\cite{40}
43,\cite{22.5}
44,\cite{18}
45,"\cite{36,36.5}"
46,\cite{37}
47,"\cite{1,1.5}"
48,\cite{38}
49,\cite{38.5}
50,\cite{18}
51,"\cite{13,27,27.5}"
52,\cite{7}
53,\cite{15}
54,"\cite{13,27.5}"
55,\cite{40}
