,aligned
0,"\begin{aligned}
   \nabla^\pm_M \epsilon^\pm \equiv \left( \nabla_M \pm 
         \tfrac{1}{8}H_{MNP}\Gamma^{NP} \right)\epsilon^\pm 
      &= 0 , \\
   \left(\Gamma^M\partial_M\Phi \pm 
         \tfrac{1}{12}H_{MNP} \Gamma^{MNP}
         \right) \epsilon^\pm 
      &= 0 ,
\"
1,"\begin{aligned}
   J \wedge \Omega &= 0 , \\
   \Omega \wedge \bar{\Omega} &= \mathrm{i}^{n(n+2)}\frac{2^n}{n!}J^n ,
\"
2,"\begin{aligned}
   (\mathbf{2}+\mathbf{\bar{2}}) &\times (\mathbf{1}+\mathbf{1}+\mathbf{1})
       = (\mathbf{2}+\mathbf{\bar{2}}) + (\mathbf{2}+\mathbf{\bar{2}})
          + (\mathbf{2}+\mathbf{\bar{2}}) &&, \\
   (\mathbf{3}+\mathbf{\bar{3}}) &\times (\mathbf{1}+\mathbf{3}+\mathbf{\bar{3}}) 
       = (\mathbf{1}+\mathbf{1}) + (\mathbf{8}+\mathbf{8})
          + (\mathbf{6}+\mathbf{\bar{6}}) + (\mathbf{3}+\mathbf{\bar{3}})
          + (\mathbf{3}+\mathbf{\bar{3}}) &&,  
\"
3,"\begin{aligned}
   \mathrm{d} J &\in \mathcal{W}_1 \oplus \mathcal{W}_3 
      \oplus \mathcal{W}_4 , \\
   \mathrm{d} \Omega &\in \mathcal{W}_1 \oplus \mathcal{W}_2 
      \oplus \mathcal{W}_5 .
\"
4,"\begin{aligned}
   W_5 &\equiv \frac{1}{4}(\Omega\lrcorner\,\mathrm{d}\bar\Omega 
           + \bar\Omega\lrcorner\,\mathrm{d}\Omega ) , \\
       &= \re\Omega \lrcorner\,\mathrm{d}(\re\Omega)
      = \im\Omega \lrcorner\,\mathrm{d}(\im\Omega), \qquad n\ne 2.
\"
5,"\begin{aligned}
   T \in \Lambda^1 \otimes \ensuremath{\mathit{Spin}(7)}\xspace^\perp 
      &= \mathcal{W}_1 \oplus \mathcal{W}_2 , \\
   \mathbf{8} \times \mathbf{7} &= \mathbf{8} + \mathbf{48} . 
\"
6,"\begin{aligned}
   \mathrm{d} \Psi \in \Lambda^5 &\cong \mathcal{W}_1 \oplus \mathcal{W}_2 , \\
   \mathbf{56} &\to \mathbf{8} + \mathbf{48} .
\"
7,"\begin{aligned}
   \Psi^{m_1m_2m_3p}\Psi_{n_1n_2n_3p}
      &= 6\delta^{m_1m_2m_3}_{n_1n_2n_3} +9 \Psi^{[m_1m_2}{}_{[n_1n_2}
      \delta^{m_3]}_{n_3]} , \\
   \Psi^{m_1m_2p_1p_2}\Psi_{n_1n_2p_1p_2}
      &= 12\delta^{m_1m_2}_{n_1n_2} +4 \Psi^{m_1m_2}{}_{n_1n_2} , \\
   \Psi^{mp_1p_2p_3}\Psi_{np_1p_2p_3}
      &= 42\delta^{m}_{n} . 
\"
8,"\begin{aligned}
   T \in \Lambda^1 \otimes g_2^\perp 
      &= \mathcal{W}_1 \oplus \mathcal{W}_2 \oplus \mathcal{W}_3
         \oplus \mathcal{W}_4 , \\
   \mathbf{7} \times \mathbf{7} 
      &= \mathbf{1}  + \mathbf{14} + \mathbf{27}+ \mathbf{7} .
\"
9,"\begin{aligned}
   \mathrm{d} \phi \in \Lambda^4 
      &\cong \mathcal{W}_1 \oplus \mathcal{W}_3 \oplus \mathcal{W}_4 , \\
   \mathbf{35} &\to \mathbf{1}+ \mathbf{27} + \mathbf{7}  , \\
   \mathrm{d} * \phi \in \Lambda^6 
      &\cong \mathcal{W}_2 \oplus \mathcal{W}_4 , \\
   \mathbf{21} &\to \mathbf{14} + \mathbf{7} .
\"
10,"\begin{aligned}
   {*\phi}^{m_1m_2m_3p} {*\phi}_{n_1n_2n_3p}
      &= 6\delta^{m_1m_2m_3}_{n_1n_2n_3} 
        + 9 {*\phi}^{[m_1m_2}{}_{[n_1n_2}\delta^{m_3]}_{n_3]}
        - \phi^{m_1m_2m_3}\phi_{n_1n_2n_3} , \\
   {*\phi}^{m_1m_2p_1p_2} {*\phi}_{n_1n_2p_1p_2}
      &= 8\delta^{m_1m_2}_{n_1n_2} 
         + 2 {*\phi}^{m_1m_2}{}_{n_1n_2} , \\
   {*\phi}^{mp_1p_2p_3} {*\phi}_{np_1p_2p_3} &= 24\delta^{m}_{n},
\"
11,"\begin{aligned}
   \phi^{m_1m_2p}\phi_{n_1n_2p} 
      &= 2\delta^{m_1m_2}_{n_1n_2} + {*\phi}^{m_1m_2}{}_{n_1n_2} , \\
   \phi^{mp_1p_2}\phi_{np_1p_2} &= 6\delta^{m}_{n} , 
\"
12,"\begin{aligned}
   \phi^{m_1m_2p} {*\phi}_{n_1n_2n_3p}
      &= \phi^{[m_1}{}_{[n_1n_2}\delta^{m_2]}_{n_3]} , \\
   \phi^{mp_1p_2} {*\phi}_{n_1n_2p_1p_2} &= 4\phi^{m}{}_{n_1n_2} .
\"
13,"\begin{aligned}
   T \in \Lambda^1 \otimes \symp(2)^\perp
      &= \bigoplus_{i=1}^{9} \mathcal{W}_i , \\
   (\mathbf{4}+\mathbf{4})\times(3(\mathbf{1})+ 3(\mathbf{5}))
      &= 6(\mathbf{4}+\mathbf{4})+3(\mathbf{16}+\mathbf{16}) ,
\"
14,"\begin{aligned}
   L^{12}+L^{21} &= J^3\cdot (L^{11}-L^{22}) , \\
   L^{31}+L^{13} &= J^2\cdot(L^{33}-L^{11}) , \\
   L^{23}+L^{32} &= J^1\cdot(L^{22}-L^{33}) ,
\"
15,"\begin{aligned}
   J^{A}\cdot J^{B} &=-\delta^{AB}\mathbb{1} +\epsilon^{ABC}J^{C} , \\
   J'{}^{A}\cdot J'{}^{B} &= -\delta^{AB}\mathbb{1} +\epsilon^{ABC}J'{}^{C} , \\
   J^{A}\cdot J'{}^{B} &= 0 .
\"
16,"\begin{aligned}
   T \in \Lambda^1 \otimes (\su(2)\otimes\su(2))^\perp
      &= \bigoplus_{i=1}^{28} \mathcal{W}_i , \\
   ((\mathbf{2}+\mathbf{\bar{2}},\mathbf{1}) +(\mathbf{1},\mathbf{2}+\mathbf{\bar{2}})) 
      \times (6(\mathbf{1},\mathbf{1}) 
         + (\mathbf{2}+\mathbf{\bar{2}},\mathbf{2}+\mathbf{\bar{2}}))
      &= \\
         10(\mathbf{2}+\mathbf{\bar{2}},\mathbf{1}) 
         + 10(\mathbf{1},\mathbf{2}+\mathbf{\bar{2}}) 
         +& 4(\mathbf{3},\mathbf{2}+\mathbf{\bar{2}}) 
         + 4(\mathbf{2}+\mathbf{\bar{2}},\mathbf{3}) .
\"
17,"\begin{aligned}
   {\mathrm d} ({\mathrm e}^{-2\Phi}\Omega) &= 0 , \\
   {\mathrm d} ({\mathrm e}^{-2\Phi} * J) &= 0 ,
\"
18,"\begin{aligned}
   *H &= -{\mathrm e}^{2\Phi} {\mathrm d} ({\mathrm e}^{-2\Phi}) 
      && \qquad \text{for $\SU(2)$} , \\ 
   *H &= -{\mathrm e}^{2\Phi} {\mathrm d} ( {\mathrm e}^{-2\Phi} J ) 
      && \qquad \text{for $\SU(3)$} , \\
   *H &= -{\mathrm e}^{2\Phi}{\mathrm d} ( {\mathrm e}^{-2\Phi}\tfrac{1}{2}J\wedge J )
      && \qquad \text{for $\SU(4)$} .
\"
19,"\begin{aligned}
   g &= {\mathrm e}^{6/7\Phi}\tilde g , \\
   H_{mnp} &= 
      -\frac{1}{3}\tilde \Psi_{mnp}{}^q\tilde\nabla_q({\mathrm e}^{6/7\Phi}) .
\"
20,"\begin{aligned}
   \phi \wedge {\mathrm d} \phi &= 0 , \\
   {\mathrm d} ({\mathrm e}^{-2\Phi} * \phi) &= 0 ,
\"
21,"\begin{aligned}
   g &= {\mathrm e}^{\Phi}\tilde g , \\
   H_{mnp} &= -\tfrac{1}{2}\tilde *\tilde\phi_{mnp}{}^q
      \nabla_q({\mathrm e}^{\Phi}) .
\"
22,"\begin{aligned}
   {\mathrm d}({\mathrm e}^{-2\Phi}\Omega^{A}) &= 0 , \qquad &&\text{for $A=1,2,3$}, \\
   {\mathrm d}({\mathrm e}^{-2\Phi} * J^{A}) &= 0 , \qquad&&\text{for $A=1,2,3$} ,
\"
23,"\begin{aligned}
   \mathrm{d}({\mathrm e}^{-2\Phi}J^A\wedge \vol') &=0 , \\
   \mathrm{d}({\mathrm e}^{-2\Phi}J^A{}'\wedge \vol)&=0 , \\
   \mathrm{d}({\mathrm e}^{-2\Phi}J^A\wedge J^B{}')&=0 ,
\"
