,equation
0,"\begin{equation}
X=L \cos(2\sigma  ) \cos(2 \tau) \ ,\ \ \ Y=L\cos(2 \sigma  )\sin(2\tau ) \ ,\ \ \ \ X^0=2L\tau \ ,
\label{ccero}
\"
1,"\begin{equation}
E=M={L\over\a '}\ ,\ \ \ \ \ J={L^2\over 2\a'}\ ,
\"
2,"\begin{equation}
\cos a\pi \equiv -{L_\I-L_{\II}\over L}\ , \ \ \ \ 0<a<1\ .
\"
3,"\begin{equation}
X^\mu_\I (\sigma  ,0)=X^\mu (\sigma , 0)\ ,\ \ \ 
\dot X^\mu_\I (\sigma  ,0)=\dot X^\mu (\sigma , 0)\ ,\
\label{cdoz}
\"
4,"\begin{equation}
X^\mu_{\II }(\sigma  ,0)=X^\mu (\sigma , 0)\ ,\ \ \ 
\dot X^\mu_{\II }(\sigma  ,0)=\dot X^\mu (\sigma , 0)\ ,\ 
\label{cunos}
\"
5,"\begin{equation}
X_\I (\sigma ,\tau )=x_{0\I}+ 2\a' p_\I ^x\ {\tau \over a}+
i \sum_{n\neq 0} \bigg( x_n e^{-2i {n\over a}(\tau -\sigma  )}+
\td x_n e^{-2i {n\over a}(\tau +\sigma  )} \bigg) \ ,
\label{ffz}
\"
6,"\begin{equation}
Y_\I (\sigma ,\tau )=y_{0\I}+ 2\a' p_\I ^y\ {\tau \over a} +
i \sum_{n\neq 0} \bigg( y_n e^{-2i {n\over a}(\tau -\sigma  )}+
\td y_n e^{-2i {n\over a}(\tau +\sigma  )} \bigg) \ .
\label{ggz}
\"
7,"\begin{equation} 
J_\I={2\over 2\pi 
\a'}\int_0^{{\pi a\over 2} }(X_\I\dot Y_\I-\dot X_\I 
Y_\I)={L^2a\over 2 \a'}\ \left (1+{\sin(2\pi a)\over 2\pi 
a}\right)\ . 
\"
8,"\begin{equation} 
x_{0\I}={2\over \pi 
a}\int_0^{{\pi a\over 2}} d\sigma \ X_\I ={L\sin(\pi a)\over \pi a 
}={\a' \over a}\ p^y_\I \ .
\"
9,"\begin{equation} 
l_\I={L^2a\over \a' }\ {\sin^2(\pi a)\over (\pi a)^2} \ ,\ \ \ \ 
S_\I ={L^2a\over 2 \a'}\ \left (1- {2\sin^2(\pi a)\over (\pi a)^2} 
+{\sin(2\pi a)\over 2\pi a}\right) \ .
\label{orbe}
\"
10,"\begin{equation} 
M^2_\I= E_\I^2- p_\I^2={L^2\over  {\a'}^2} 
\left( a^2 - {\sin^2(\pi a)\over \pi ^2} \right) \ .
\"
11,"\begin{equation} 
x_n=\td x_{-n}\ ,\ \ \ \ \ y_n=-\td y_{-n}\ .\ 
\"
