,label
0,\label{s6}
1,\label{metric}
2,\label{einstein}
3,\label{abtune}
4,"\label
%\eea
the Ricci tensor and scalar are
\begin{eqnarray}
  R_{\mu\nu} &=& 0 \cr
  R_{rr} &=& -{1\over 2} \nabla^2 \ln{\psi}\cr
  R_{\phi\phi} &=& -{r^2\over 2} \nabla^2 \ln{\psi}\cr
  R &=& -{1\over \psi} \nabla^2 \ln{\psi}\ .
  \label{ricci}
\end{eqnarray}
Einstein's equation, given by (\ref{einstein}), has only
two independent pieces:  from the $\mu\nu$
(longitudinal) components, and from the $ij$ (transverse) components.
The longitudinal equation is
\begin{equation}
  {M_6^4\over 2\psi} \nabla^2\ln{\psi} = -\lambda - {1\over 2}B_0^2
  - {\sigma \over 2\pi \psi}\nabla^2 \ln{r}\ ,
  \label{e1}
\end{equation}
and the transverse equation gives
\begin{equation}
  0 = -\lambda + {1\over 2}B_0^2\ .
  \label{e2}
\end{equation}
This expresses the condition that the magnetic field be chosen to 
balance the bulk cosmological constant, exactly
as in (\ref{abtune}).  We choose to use $\lambda$ as our
independent variable, and plug back into (\ref{e1}) to obtain
\begin{equation}
  M_6^4 \nabla^2 \ln{\psi} = -4\lambda\psi - {\sigma\over \pi}
  \nabla^2\ln{r}\ .
  \label{psieq}
\end{equation}
Comparing this to the expression for the scalar curvature in
(\ref{ricci}), we see that $R$ will be a constant over the extra
dimensions, except at $r=0$ (the locations of the
brane).  Thus, the local geometry of the extra dimensions will 
be perfectly spherical away from the branes, although the global
geometry will be different.

Equation (\ref{psieq}) has previously been considered by Deser and
Jackiw in the context of point-particle solutions to (2+1)-dimensional
gravity with a positive cosmological constant \cite{dj}.
They find the solution
\begin{equation}
  \psi(r) = {4\alpha^2 a_0^2\over 
  r^2[(r/r_0)^\alpha + (r/r_0)^{-\alpha}]^2}\ ,
\end{equation}
where $r_0$ is an arbitrary parameter characterizing our choice
of coordinates, and $\alpha$ and $a_0$ are observable quantities
given by
\begin{equation}
  \alpha = 1-{\sigma\over 2\pi M_6^4}\ ,\qquad
  a_0^2 = {M_6^4 \over 2\lambda}\ .
  \label{tune3}
\end{equation}
We see that $a_0$ is the radius of curvature, with the same value
as in (\ref{abtune}).  The parameter $\alpha$ represents the effect
of the branes.  This effect is equivalent to removing from the sphere
a wedge stretching from the north pole to the south pole, and 
identifying opposite sides; this yields the ``football'' geometry
alluded to in our title, and portrayed in Figure One.  
\begin{figure}
  \begin{center}
 \includegraphics[scale=1]{footballpic.eps}
  \end{center}
  \caption{Removing a wedge from a sphere and identifying opposite
  sides to obtain a football geometry.  Two equal-tension branes with
  conical deficit angles are located at either pole; outside the
  branes there is constant spherical curvature.}
  \label{ecfig}
\end{figure}
(A real football does not have constant
spherical curvature outside its vertices; sadly, the geometry 
considered here cannot be isometrically embedded in three flat
spatial dimensions.)  
The size of the wedge is given by the deficit angle $\delta$,
defined by
\begin{equation}
  \alpha = 1- {\delta \over 2\pi}\ ,
\end{equation}
or
\begin{equation}
  \delta = {\sigma \over M_6^2}\ .
\end{equation}
It is straightforward to show that this
two-dimensional geometry can be
expressed in spherical coordinates as
\begin{equation}
    \gamma_{ij} dy^i dy^j = a_0^2(d\theta^2 + \alpha^2
    \sin^2\theta\, d\phi^2) \ ,
    \label{football2}
\end{equation}
where $\phi$ ranges from $0$ to $2\pi$, or equivalently as
\begin{equation}
    \gamma_{ij} dy^i dy^j = a_0^2(d\theta^2 +
    \sin^2\theta\, d{\tilde\phi}^2)\ ,
    \label{football3}
\end{equation}
where $\tilde\phi=\alpha\phi$ ranges from $0$ to $2\pi\alpha = 2\pi-\delta$.
The fact that the gravitational field of the branes is represented
by a deficit angle, and does not otherwise perturb the surrounding
geometry, can be traced to the fact that there are precisely two
extra dimensions; in higher dimensions it would be much more 
difficult to find an exact solution.

This spacetime has a number of interesting features.  It is, for one thing,
an exact solution to the coupled Einstein/Maxwell/brane equations,
and therefore an interesting starting point for phenomenological
studies.  It would be useful, for example, to understand the
impact of the football geometry on graviton emission at colliders
\cite{particle} or on tests of Newton's law at small scales
\cite{exp}.  Furthermore, although we have not demonstrated it
explicitly, there is every reason to believe that this solution
is stable.  In codimension two there is no force between
point particles or their Lorentz-invariant brane extensions; in
higher dimensions, the branes would attract.  Because the geometry
they are perturbing is stable to begin with, it seems likely that the
brane configuration is also stable.

The most remarkable feature, however, is the independence of the
four-dimensional geometry on the brane tension $\sigma$.
From (\ref{e2}) and (\ref{tune3}), we see that $\sigma$ only enters
into the deficit angle of the football, not into the value of
the magnetic field $B_0$ or the radius $a_0$ necessary to obtain
a flat geometry on the brane.  Indeed, if the brane tension were
to suddenly change, the only effect would be on the internal
geometry of the extra dimensions, not on the macroscopic
(3+1)-dimensional world.  Because the brane tension represents what an
observer on the brane would calculate as the vacuum energy, this
scenario moves the cosmological constant problem completely into
the extra dimensions.  (Where it is still, of course, a problem,
since the magnetic flux has to be finely tuned.)  In this sense
this picture is like the self-tuning models considered in
\cite{self1,self2,self3}.  There are significant differences, however.
The self-tuning models invoke a single extra dimension, with a 
bulk scalar field coupled to matter on the brane, while our model
invokes two extra dimensions with a bulk magnetic field uncoupled to
the branes.  The self-tuning models, furthermore, require a naked
singularity parallel to the brane, while the football geometry is
non-singular (except for the branes themselves, which would be
smeared out in a more realistic treatment).  Perhaps most
importantly, the model considered here was not specifically chosen
to have anything interesting to say about the cosmological constant
problem; we simply examined the simplest possible configuration with
explicit brane sources in stabilized extra dimensions, and the
independence of the four-dimensional geometry on the brane tension
appeared as an unexpected bonus.

Of course we have not solved the cosmological constant problem,
as there is still the need to tune the bulk magnetic field against
the bulk cosmological constant.  In particular, our solution is not
an exception to Weinberg's no-go theorem \cite{weinberg}, because of
the need for this tuning.  However, the cosmological constant 
problem is sufficiently difficult that transforming it into a different
problem is a worthy endeavor, since the new problem might suggest new
solutions.  One could imagine, for example, that a symmetry
(such as supersymmetry) which is absent or broken on the brane is
preserved in the bulk, and is responsible for the apparent fine-tuning.
Continuing in this optimistic vein, one could even imagine that the
branes contribute a small symmetry-breaking effect, disturbing the
balance in the bulk and giving rise to a small effective cosmological
constant of the type observed in current data \cite{carroll}.
This pleasant fantasy is abetted by the numerological coincidence
between the observed vacuum energy, $\rho_{\rm vac}\sim
(10^{-3}{\rm ~eV})^4$, and the maximum allowed size of the extra
dimensions, $R \sim 0.2{\rm ~mm} \sim (10^{-3}{\rm ~eV})^{-1}$.  
Unfortunately, we have no concrete proposal to implement such a scheme.

The way in which the extra-dimensional manifold compensates for
changes in the brane tension is worth remarking on.  In
\cite{sundrum}, Sundrum considered compactifications with spherical
topology and explicit brane sources but no bulk magnetic field or
cosmological constant.  (He also considered bulk fields, but without
explicit brane sources, and did not look for exact solutions with
all the sources at once.)  In that case the problem is equivalent
to looking for closed universes in (2+1) dimensions with no cosmological
constant \cite{djh}.  The Gauss-Bonnet theorem states that a compact,
orientable, even-dimensional genus-0 
manifold with deficit angles $\delta_n$ at conical singularities
and smooth Ricci curvature $R^{(\gamma)}$ elsewhere obeys
\begin{equation}
  {1\over 2}\int R^{(\gamma)}\sqrt{\gamma}\,d^2y + \sum_n \delta_n
  = 4\pi\ .
\end{equation}
With no bulk fields, the extra dimensions are flat between the
branes ($R^{(\gamma)}=0$), and the total deficit angles must add up to 
$4\pi$, which seems like a fine-tuning.
For the football geometry, however, there is a bulk curvature
\begin{equation}
  R^{(\gamma)} = {2 \over a_0^2}\ .
\end{equation}
Using the form (\ref{football2}) for $\gamma_{ij}$, we have
\begin{equation}
  {1\over 2}\int R^{(\gamma)}\sqrt{\gamma}\,d^2y =
  \alpha \int \sin\theta\, d\theta\, d\phi = 4\pi\alpha\ ,
\end{equation}
so that
\begin{equation}
  4\pi\alpha + \sum_n \delta_n
  = 4\pi\ .
\end{equation}
Since we have two branes, each with deficit angle $\delta = 
2\pi(1-\alpha)$, this relation is automatically satisfied.  In other
words, the deficit angles contribute 
to the integrated curvature themselves,
but they also remove volume from the curved football in an exactly
compensating fashion.  There is thus no need for any fine-tuning
of the brane tensions; the geometry of the extra dimensions
adjusts appropriately.  (We do require that the two branes have
equal tensions, in order that we obtain a static solution; 
if we wanted to, we could ensure this condition by imposing 
reflection symmetry about the equator.)

By considering solutions with Lorentz invariance and
no matter fields on the brane, we have avoided the question of
cosmological evolution.  Since the tension comes from 
vacuum energy of the brane fields, but does not induce
a cosmological expansion on the brane, the Friedmann equation 
$H^2 \sim \rho$ of
conventional four-dimensional cosmology must somehow be modified.  In 
a study of the analogous problem in self-tuning scenarios \cite{cm},
Carroll and Mersini showed that the expansion rate was governed by
the combination $\rho+p$, where $p$ is the pressure, rather than
simply $\rho$ as in ordinary Friedmann cosmology.  Since vacuum
energy has $p_{\rm vac}=-\rho_{\rm vac}$, the cosmological constant
drops out of such a relation, while a matter-dominated
universe ($p_{\rm M}=0$) would evolve normally.  This type of 
cosmology could have difficulty reproducing the successes
of Big-Bang nucleosynthesis; it would be interesting to know what
the analogous results are for the situation considered here.

We have presented an exact solution for a six-dimensional spacetime
with stabilized football-shaped extra dimensions and explicit
brane sources.  In addition to providing an arena for phenomenological
studies, our solution presents an interesting twist to the 
cosmological constant problem, in which the effects of vacuum
energy on the brane only show up in the bulk geometry.  Further work
will be required to determine whether the cosmological evolution of
this sort of spacetime is consistent with observation, and whether
a mechanism can be found to properly adjust the bulk fields to
keep the effective cosmological constant small.

\section*{Acknowledgments}
We thank Eugene Lim, Lisa Randall, Savdeep Sethi, and Kendrick
Smith for helpful conversations.  
This work was supported in part by the NSF grant PHY-0114422 (CfCP)
and DOE grant DE-FG02-90ER-40560 to
the University of Chicago,  the Alfred
P. Sloan Foundation, and the David and Lucile Packard Foundation.


\begin{thebibliography}{99}

%\cite{rv}
\bibitem{rv}
V.~A.~Rubakov and M.~E.~Shaposhnikov,
%``Do We Live Inside A Domain Wall?,''
Phys.\ Lett.\ B {\bf 125}, 136 (1983);
M.~Visser,
%``An Exotic Class Of Kaluza-Klein Models,''
Phys.\ Lett.\ B {\bf 159}, 22 (1985)
[hep-th/9910093].
%%CITATION = PHLTA,B125,136;%%
%%CITATION = HEP-TH 9910093;%%

\bibitem{hw}
P.~Horava and E.~Witten,
%``Heterotic and type I string dynamics from eleven dimensions,''
Nucl.\ Phys.\ B {\bf 460}, 506 (1996)
[hep-th/9510209];
P.~Horava and E.~Witten,
%``Eleven-Dimensional Supergravity on a Manifold with Boundary,''
Nucl.\ Phys.\ B {\bf 475}, 94 (1996)
[hep-th/9603142].
%%CITATION = HEP-TH 9603142;%%
%%CITATION = HEP-TH 9510209;%%

\bibitem{add}
N.~Arkani-Hamed, S.~Dimopoulos and G.~Dvali,
%``The hierarchy problem and new dimensions at a millimeter,''
Phys.\ Lett.\ B {\bf 429}, 263 (1998)
[hep-ph/9803315];
I.~Antoniadis, N.~Arkani-Hamed, S.~Dimopoulos and G.~Dvali,
%``New dimensions at a millimeter to a Fermi and superstrings at a TeV,''
Phys.\ Lett.\ B {\bf 436}, 257 (1998)
[hep-ph/9804398];
N.~Arkani-Hamed, S.~Dimopoulos and J.~March-Russell,
%``Stabilization of sub-millimeter dimensions: The new guise of the  
% hierarchy problem,''
Phys.\ Rev.\ D {\bf 63}, 064020 (2001)
[hep-th/9809124].
%%CITATION = HEP-TH 9809124;%%
%%CITATION = HEP-PH 9804398;%%
%%CITATION = HEP-PH 9803315;%%

\bibitem{rs}
L.~J.~Randall and R.~Sundrum,
%``A large mass hierarchy from a small extra dimension,''
Phys.\ Rev.\ Lett.\  {\bf 83}, 3370 (1999)
[hep-ph/9905221];
L.~Randall and R.~Sundrum,
%``An alternative to compactification,''
Phys.\ Rev.\ Lett.\  {\bf 83}, 4690 (1999)
[hep-th/9906064].
%%CITATION = HEP-TH 9906064;%%%%CITATION = HEP-PH 9905221;%%

\bibitem{review}
V.~A.~Rubakov,
%``Large and infinite extra dimensions: An Introduction,''
hep-ph/0104152.
%%CITATION = HEP-PH 0104152;%%

\bibitem{hpcs}
E. Cremmer and J. Scherk,
Nucl.\ Phys.\ B {\bf 108}, 409 (1976);
Z. Horvath, L. Palla, E. Cremmer and J. Scherk,
Nucl.\ Phys.\ B {\bf 127}, 57 (1977).

\bibitem{freundrubin}
P.~G.~Freund and M.~A.~Rubin,
%``Dynamics Of Dimensional Reduction,''
Phys.\ Lett.\ B {\bf 97}, 233 (1980).
%%CITATION = PHLTA,B97,233;%%

\bibitem{rss}
S. Randjbar-Daemi, A. Salam and J. Strathdee,
Nucl.\ Phys.\ B {\bf 214}, 491 (1983);
    Phys. Lett. B {\bf 132}, 56 (1983);
    Phys. Lett. B {\bf 135}, 388 (1984);
    Nucl. Phys. B {\bf 242}, 447 (1984);
    Phys. Lett. B {\bf 124}, 345 (1983);
    Erratum: ibid. B {\bf 144}, 455 (1984).

\bibitem{gz}
U.~Gunther and A.~Zhuk,
%``Gravitational excitons from extra-dimensions,''
Phys.\ Rev.\ D {\bf 56}, 6391 (1997)
[gr-qc/9706050];
%%CITATION = GR-QC 9706050;%%
U.~Gunther and A.~Zhuk,
Phys.\ Rev.\ D {\bf 61}, 124001 (2000)
[hep-ph/0002009];
%%CITATION = HEP-PH 0002009;%%
U.~Gunther and A.~Zhuk,
Class.\ Quant.\ Grav.\  {\bf 18}, 1441 (2001)
[hep-ph/0006283].
%%CITATION = HEP-PH 0006283;%%

\bibitem{sundrum}
R.~Sundrum,
%``Compactification for a three-brane universe,''
Phys.\ Rev.\ D {\bf 59}, 085010 (1999)
[hep-ph/9807348].
%%CITATION = HEP-PH 9807348;%%

\bibitem{cghw}
S.~M.~Carroll, J.~Geddes, M.~B.~Hoffman and R.~M.~Wald,
%``Classical stabilization of homogeneous extra dimensions,''
Phys.\ Rev.\ D {\bf 66}, 024036 (2002)
[hep-th/0110149].
%%CITATION = HEP-TH 0110149;%%

\bibitem{dj}
S.~Deser and R.~Jackiw,
%``Three-Dimensional Cosmological Gravity: Dynamics Of Constant Curvature,''
Annals Phys.\  {\bf 153}, 405 (1984).
%%CITATION = APNYA,153,405;%%

\bibitem{particle}
J.~Hewett and M.~Spiropulu,
%``Particle physics probes of extra spacetime dimensions,''
hep-ph/0205106.
%%CITATION = HEP-PH 0205106;%%

\bibitem{exp}
C.~D.~Hoyle, U.~Schmidt, B.~R.~Heckel, E.~G.~Adelberger, 
J.~H.~Gundlach, D.~J.~Kapner and H.~E.~Swanson,
%``Sub-millimeter tests of the gravitational inverse-square 
%law: A search  for 'large' extra dimensions,''
Phys.\ Rev.\ Lett.\  {\bf 86}, 1418 (2001)
[hep-ph/0011014].
%%CITATION = HEP-PH 0011014;%%

\bibitem{self1}
N.~Arkani-Hamed, S.~Dimopoulos, N.~Kaloper and R.~Sundrum,
%``A small cosmological constant from a large extra dimension,''
Phys.\ Lett.\ B {\bf 480}, 193 (2000)
[hep-th/0001197].
%%CITATION = HEP-TH 0001197;%%

\bibitem{self2}
S.~Kachru, M.~B.~Schulz and E.~Silverstein,
%``Self-tuning flat domain walls in 5d gravity and string theory,''
Phys.\ Rev.\ D {\bf 62}, 045021 (2000)
[hep-th/0001206];
S.~Kachru, M.~B.~Schulz and E.~Silverstein,
%``Bounds on curved domain walls in 5d gravity,''
Phys.\ Rev.\ D {\bf 62}, 085003 (2000)
[hep-th/0002121].
%%CITATION = HEP-TH 0001206;%%
%%CITATION = HEP-TH 0002121;%%

\bibitem{self3}
C.~Csaki, J.~Erlich, C.~Grojean and T.~J.~Hollowood,
%``General properties of the self-tuning domain wall approach to the  cosmological constant problem,''
Nucl.\ Phys.\ B {\bf 584}, 359 (2000)
[hep-th/0004133].
%%CITATION = HEP-TH 0004133;%%

\bibitem{weinberg}
S.~Weinberg,
%``The Cosmological Constant Problem,''
Rev.\ Mod.\ Phys.\  {\bf 61}, 1 (1989).
%%CITATION = RMPHA,61,1;%%

\bibitem{carroll}
S.~M.~Carroll,
%``The cosmological constant,''
Living Rev.\ Rel.\  {\bf 4}, 1 (2001)
[astro-ph/0004075].
%%CITATION = ASTRO-PH 0004075;%%

\bibitem{djh}
S.~Deser, R.~Jackiw and G.~'t Hooft,
%``Three-Dimensional Einstein Gravity: Dynamics Of Flat Space,''
Annals Phys.\  {\bf 152}, 220 (1984).
%%CITATION = APNYA,152,220;%%

\bibitem{cm}
S.~M.~Carroll and L.~Mersini,
%``Can we live in a selftuning universe?,''
Phys.\ Rev.\ D {\bf 64}, 124008 (2001)
[hep-th/0105007].
%%CITATION = HEP-TH 0105007;%%



\end{thebibliography}

\end{document}

"
5,\label{r
6,\label{e
7,\label{e
8,\label{p
9,\label{t
