,cite
0,\cite{Fry02}
1,\cite{Fry95}
2,\cite{Chiu00}
3,\cite{Sachs92}
4,\cite{Hausler01}
5,"\cite{Fry95,Fry92,Fry96}"
6,\cite{Fry93}
7,\cite{Schwinger62}
8,"\cite{Fry93,Musto86}"
9,\cite{Newton82}
10,\cite{Newton82}
11,\cite{Abramowitz64}
12,"\cite{Musto86,Jaroszewicz86}"
13,\cite{Abramowitz64}
14,\cite{Fry00a}
15,\cite{Jaroszewicz86}
16,\cite{Aharonov79}
17,"\cite{Seiler75,Seiler82}"
18,"\cite{Seiler81,Seiler82,Brydges79,Weingarten80}"
19,\cite{Fry02}
20,\cite{Gradshteyn65}
21,\cite{Prudnikov88}
22,\cite{Abramowitz64}
23,\cite{Fry95}
24,\cite{Fry00b}
25,\cite{Erdos93}
26,\cite{Fry00b}
27,\cite{Schwinger51}
28,\cite{Sachs92}
29,\cite{Jayewardena88}
30,\cite{Sachs92}
31,\cite{Montonen77}
32,\cite{Fry92}
33,\cite{Fry92}
34,\cite{Fry00a}
35,\cite{Dunne98}
36,\cite{Dunne99}
37,\cite{Martin88}
38,\cite{Erdos93}
39,\cite{Abramowitz64}
40,\cite{Gradshteyn65}
41,\cite{Abramowitz64}
