,cite
0,\cite{Affleck:1991tk}
1,\cite{Affleck:1991tk}
2,\cite{Affleck:1991by}
3,\cite{Fredenhagen:2002qn}
4,"\cite{Ishikawa:2001zu,Ishikawa:2002wx}"
5,\cite{Goddard:1985vk}
6,\cite{Cardy:1989ir}
7,"\cite{Ishikawa:2001zu,Ishikawa:2002wx}"
8,"\cite{Quella:2002ns,Quella:2002fk}"
9,"\cite{Maldacena:2001ky,Quella:2002ct}"
10,"\cite{Gawedzki:2001ye,Elitzur:2001qd,Kubota:2001ai}"
11,"\cite{Walton:2002db,Sarkissian:2002nq,Quella:2002fk}"
12,\cite{FrancescoCFT}
13,\cite{Dunbar:1993hr}
14,"\cite{Behrend:1998fd,Behrend:1999bn}"
15,"\cite{Fredenhagen:2001kw,Ishikawa:2001zu,Ishikawa:2002wx}"
16,\cite{Gannon:1995km}
17,"\cite{Ishikawa:2001zu,Ishikawa:2002wx}"
18,\cite{}
19,\cite{Ishikawa:2001zu}
20,"\cite{Affleck:1992ng,Affleck:1991by}"
21,"\cite{Affleck:1992ng,Affleck:1991by}"
22,\cite{Fredenhagen:2002qn}
23,"\cite{Fredenhagen:2001nc,Fredenhagen:2001kw}"
24,\cite{Alekseev:2000fd}
25,\cite{Fredenhagen:thesis}
26,\cite{Alekseev:2002rj}
27,\cite{Fredenhagen:thesis}
28,"\cite{Cappelli:1987hf,Cappelli:1987xt,Kato:1987td}"
29,\cite{FrancescoCFT}
30,"\cite{Gawedzki:2001ye,Elitzur:2001qd}"
31,\cite{Fredenhagen:2001kw}
32,\cite{Recknagel:2000ri}
33,"\cite{Chim:1996kf,Ahn:1998xm,Lesage:1998qf}"
34,"\cite{Fredenhagen:2001kw,Graham:2001pp}"
35,\cite{Chim:1996kf}
36,\cite{Affleck:2000jv}
37,\cite{Graham:2001tg}
38,\cite{Graham:2001tg}
39,\cite{Bowcock:1987mw}
40,\cite{Maldacena:2001ky}
41,\cite{Maldacena:2001ky}
42,\cite{Maldacena:2001ky}
43,"\cite{Affleck:1998nq,Fuchs:1998qn}"
44,\cite{Affleck:1998nq}
45,\cite{Affleck:1998nq}
46,\cite{Affleck:1998nq}
47,\cite{Behrend:1999bn}
48,\cite{Affleck:1998nq}
49,\cite{Affleck:2000ws}
50,\cite{Affleck:1998nq}
51,\cite{Maldacena:2001ky}
52,\cite{Maldacena:2001ky}
53,\cite{Maldacena:2001ky}
54,\cite{Lerche:2000iv}
55,\cite{Fredenhagen:2002qn}
56,"\cite{Fredenhagen:2000ei, Bouwknegt:2002bq}"
57,\cite{Lerche:2000iv}
58,\cite{Alekseev:2002rj}
