,equation
0,"\begin{equation}
 \Delta_{\alpha\beta}=\{\Theta_{\alpha}, \Theta_{\beta}\}
 \label{a1}
 \"
1,"\begin{equation}
 \{\eta^{\alpha}, \eta^{\beta}\}= \omega^{\alpha\beta}
 \label{a2}
 \"
2,"\begin{equation}
 \tau_{\alpha}=\tau_{\alpha}(q,p,\eta)\hspace {1cm} \alpha=1,2,....,m
 \label{a3}
 \"
3,"\begin{equation}
  \tau_{\alpha}(q,p,0)=\Theta_{\alpha}(q,p).
  \label{a4}
  \"
4,"\begin{equation}
 \{\tau_{\alpha},\tau_{\beta}\}=0.
 \label{a5}
 \"
5,"\begin{equation}
 \tau_{\alpha}=\sum_{n=0}^\infty \tau_\alpha^{(n)}
 \label{a6}
 \"
6,"\begin{equation}
 \tau^{(0)}_\alpha=\Theta_\alpha.
 \label{a7}
 \"
7,"\begin{equation}
 \{\tau^{(0)} _\alpha , \tau^{(0)} _\beta\}+ \{\tau^{(1)} _\alpha , \tau^{(1)}
  _\beta\}_{(\eta)}=0;
  \label{a8}
  \"
8,"\begin{equation}
  \{\tau_{[\alpha}^{(1)},\tau_{\beta ]}^{(n+1)}\}_{(\eta)}+B_{\alpha\beta}^{(n)}=0 \hspace{1cm}
  n\geq 1
  \label{a9}
  \"
9,"\begin{equation}
  B_{\alpha\beta}^{(1)}\equiv \{\tau_{[\alpha}^{(0)},
  \tau_{\beta]}^{(1)}\}
  \label{b10}
  \"
10,"\begin{equation}
  B_{\alpha\beta}^{(n)}\equiv
  \frac{1}{2}B_{[\alpha\beta]}\equiv \sum_{m=0}^n \{\tau_\alpha ^{(n-m)}, \tau_\beta
  ^{(m)}\}+\sum_{m=0}^{n-2} \{\tau_\alpha^{(n-m)}, \tau_\beta ^{(m+2)}\}_{(\eta)}\hspace
  {1cm} n\geq2.
  \label{a10}
  \"
11,"\begin{equation}
 \tau_\alpha ^{(1)}=\chi_{\alpha\beta} (q,p)\eta^\beta.
 \label{a11}
 \"
12,"\begin{equation}
 \Delta_{\alpha\beta}+\chi_{\alpha\gamma}\omega^{\gamma\lambda}\chi_{\beta\lambda}=0.
 \label{a12}
 \"
13,"\begin{equation}
 \tau_\alpha ^{(n+1)}=-\frac{1}{n+2} \eta^\mu
 \omega_{\mu\nu}\chi^{\nu\rho}B_{\rho\alpha}^{(n)}; \hspace {1cm}n\geq1
 \label{a13}
 \"
14,"\begin{equation}
  \tilde{H}(q,p,0)=H(q,p)
  \label{a14}
  \"
15,"\begin{equation}
  \{\tau_\alpha,\tilde{H}\}=0.
  \label{a15}
  \"
16,"\begin{equation}
  \tilde{H}=\sum_{n=0}^\infty\tilde{H}^{(n)}
  \label{a16}
  \"
17,"\begin{equation}
 \tilde{H}^{(0)}=H(q,p).
  \label{a17}
  \"
18,"\begin{equation}
   \{\tau_\alpha^{(1)}, \tilde{H}^{(n+1)}\}_{(\eta)}+G_\alpha^{(n)}=0;\hspace {1cm}
   n\geq0
   \label{a18}
   \"
19,"\begin{equation}
  G_\alpha ^{(0)}\equiv\{\tau_\alpha ^{(0)}, \tilde{H}^{(0)}\}
   \label{a19}
   \"
20,"\begin{equation}
  G_\alpha ^{(1)}\equiv\{\tau_\alpha ^{(1)}, \tilde{H}^{(0)}\}+ \{\tau_\alpha ^{(0)},
  \tilde{H}^{(1)}\}+\{\tau_\alpha ^{(2)}, \tilde{H}^{(1)}\}_{(\eta)}
  \label{a20}
  \"
21,"\begin{equation}
  G_\alpha ^{(n)}\equiv \sum_{m=0}^n  \{\tau_\alpha ^{(n-m)}, \tilde{H}^{(m)}\}+
  \sum_{m=0}^{n-2}   \{ \tau_\alpha ^{(n-m)}, \tilde{H}^{(m+2)}\}_{(\eta)}+\{\tau_\alpha
  ^{(n+1)}, \tilde{H}^{(1)}\}_{(\eta)}; \hspace {0.5 cm} n\geq2.
  \label{a21}
  \"
22,"\begin{equation}
 \tilde{H}^{(n+1)}=-
 \frac{1}{n+1}\eta^\alpha\omega_{\alpha\beta}\chi^{\beta\nu}G^{(n)}_\nu.
 \label{a22}
 \"
23,"\begin{equation}
 \tilde{F}(q,p,\eta)=\sum_{n=0}^\infty\tilde{F}^{(n)},
  \label{a23}
  \"
24,"\begin{equation}
 \tilde{F}^{(n+1)}
 =-\frac{1}{n+1}\eta^\alpha\omega_{\alpha\beta}\chi^{\beta\nu}\rho_\nu ^{(n)}.
 \label{a24}
 \"
25,"\begin{equation}
 \begin{array}{l}
 \omega^{\alpha\beta}=\{\eta^\alpha,\eta^\beta\}=\tilde{J}_{\alpha\beta}=-J_{\alpha\beta}\\
 \chi_{\alpha\beta}=J_{\alpha\beta}
 \end{array}
 \label{a25}
 \"
26,"\begin{equation}
  \tau_\alpha ^{(1)} =\chi_{\alpha\beta} \eta^\beta =J_{\alpha\beta}\eta^\beta.
 \label{a26}
 \"
27,"\begin{equation}
  \tau_\alpha (q,p,\eta) = \tau_\alpha (q,p)^{(0)} + J_{\alpha\beta}\eta^\beta.
 \label{a27}
 \"
28,"\begin{equation}
 \tilde{H}^{(n+1)}=-\frac{1}{n+1} \eta^\alpha G_\alpha^{(n)}
 \label{aa27}
 \"
29,"\begin{equation}
 G_\mu ^{(0)}=\{\tau_\mu^{(0)} , H_0\}.
 \label{a28}
 \"
30,"\begin{equation}
 \tilde{H}^{(1)} = -\eta^\mu G_\mu ^{(0)}.
 \label{a29}
 \"
31,"\begin{equation}
 G_\alpha ^{(1)}=-\eta^\mu C_{\alpha\mu}
 \label{a30}
 \"
32,"\begin{equation}
 C_{\alpha\mu}=\{\tau_\alpha ^{(0)} , \{\tau_\mu ^{(0)} , H_0\}\}.
 \label{a31}
 \"
33,"\begin{equation}
  \tilde{H}^{(2)} = \frac{1}{2} \eta^\mu \eta^\nu C_{\mu\nu}.
  \label{a32}
  \"
34,"\begin{equation}
 \tilde{H}=H_0-\eta^\mu C_\mu ^{(0)}+ \frac{1}{2}\eta^\mu \eta^\nu C_{\mu\nu}.
 \label{a33}
 \"
35,"\begin{equation}
 \tilde{H}=H_0+\tilde{H}^{(1)}+...+\tilde{H}^{(N)}
 \label{a34}
 \"
36,"\begin{equation}
 \begin{array}{l}
 \{\tau_\alpha , \tau_\beta\} = C_{\alpha\beta} ^\gamma \tau_\gamma \\ \{\tau_\alpha , \tilde{H} \} = V_\alpha ^\beta
 \tau_\beta
 \end{array}
 \label{a35}
 \"
37,"\begin{equation}
 J=\chi^T J \chi.
 \label{C1}
 \"
38,"\begin{equation}
 J=M^T J M
 \label{CC1}
 \"
39,"\begin{equation}
 M=\frac{\partial(q,p)}{\partial(Q,P)}.
 \label{CC2}
 \"
40,"\begin{equation}
 \omega=\Delta^T=-\Delta.
 \label{C2}
 \"
41,"\begin{equation}
 \Delta-\chi^T \Delta\chi=0.
 \label{C3}
 \"
42,"\begin{equation}
 \tau_\alpha=\tau_\alpha ^{(0)}+\eta^\alpha.
 \label{C4}
 \"
43,"\begin{equation}
 \tilde{H}^{(n+1)}=\frac{1}{n+1}\eta^\alpha(\Delta^{-1})_\alpha ^\beta G_\beta
 ^{(n)}
 \label{C5}
 \"
44,"\begin{equation}
 \Theta_{n+1}=\{\Theta_n , H_0\}.
 \label{g1}
 \"
45,"\begin{equation}
 \begin{array}{l}
 G_\alpha ^{(0)}=\Theta_{\alpha+1} \hspace{1.5cm} \alpha=1,2,...,m-1 \\ G_m ^{(0)}
 =\{\Theta_m , H_0\}.
 \end{array}
 \label{g2}
 \"
46,"\begin{equation}
 \tilde{H}^{(1)}=\sum_{\beta=1}^{m-1} \eta^\alpha (\Delta^{-1})_\alpha ^\beta
 \Theta_{\beta+1} + \eta^\alpha(\Delta^{-1})_\alpha ^m \{\Theta_m , H_0\}.
 \label{g3}
 \"
47,"\begin{equation}
 \tilde{H}^{(2)}=\sum_{\beta=1}^{m-1} \frac{1}{2} \eta^\mu \eta^\alpha (\Delta^{-1})_\mu
 ^\nu (\Delta^{-1})_\alpha ^\beta
 \Delta_{\nu \beta+1} + \frac{1}{2}\eta^\mu \eta^\alpha (\Delta^{-1})_\mu ^\nu(\Delta^{-1})_\alpha ^m \{\Theta_\nu , \{\Theta_m , H_0\}\}.
 \label{g4}
 \"
48,"\begin{equation}
 G_\alpha ^{(n)} \sim \{\Theta_\alpha , \{\Theta_{\alpha_1} , \{\Theta_{\alpha_2} ,
 ...\{\Theta_{\alpha_n} , H_0\}\}...\}.
 \label{g5}
 \"
49,"\begin{equation}
 {\cal{L}}= -\frac{1}{4} F^{\mu\nu} F_{\mu\nu} + \frac{1}{2} A^\mu
 A_\mu
 \label{a36}
 \"
50,"\begin{equation}
  F^{\mu\nu}=\partial^\mu A^\nu - \partial^\nu A^\mu.
 \label{a37}
 \"
51,"\begin{equation}
 \pi^\mu(x) = \frac{\partial {\cal{L}}}{\partial
 \dot{A_\mu}}=-F^{0\mu}(x).
 \label{a38}
 \"
52,"\begin{equation}
  \Theta_1(x) \equiv \pi^0(x)\approx 0
  \label{a39}
  \"
53,"\begin{equation}
  H_c=\int\left[\frac{1}{2}\pi_i ^2 + \frac{1}{4}F_{ij} ^2+\frac{1}{2}(A_i^2 - A_0 ^2)-A_0
  \partial_i \pi^i\right] d\textbf{x}.
  \label{a40}
  \"
54,"\begin{equation}
 H_T=H_c+\int d\textbf{x} \lambda(x)  \Theta_1(x)
  \label{a41}
  \"
55,"\begin{equation}
  \Theta_2(x) \equiv \partial_i \pi^i +A_0 \approx0.
  \label{a42}
  \"
56,"\begin{equation}
  \begin{array}{l}
  A=\partial_i \pi^i +A_0 \\ \pi=\pi^0 \\  A' _i =A_i + \partial_i \pi^0 \\ \pi'^i
  = \pi^i.
  \end{array}
  \label{a43}
  \"
57,"\begin{equation}
   \Theta'_1(x)\equiv A(x)=0 \hspace{2.5cm} \Theta'_2(x)\equiv\pi(x)=0
  \label{a44}
  \"
58,"\begin{equation}
  H'_c=\frac{1}{2}\pi'^{i} \pi'
  _{i}+\frac{1}{4}\tilde{F}^{ij} \tilde{F}_{ij}+\frac{1}{2}\left[(\partial_i
  \pi'^i)^2+(\partial_i \pi)^2 -A^2\right]-A'_i \partial_i\pi
  \label{b44}
  \"
59,"\begin{equation}
 \tilde{F}^{ij}=\partial^i A'^j - \partial^j A'^i.
 \label{a45}
 \"
60,"\begin{equation}
 \begin{array}{l}
 \omega^{\alpha\beta}=\{\eta^\alpha , \eta^\beta\}=-J^{\alpha\beta} \\ \chi_{\alpha\beta}=J_{\alpha\beta}.
 \end{array}
 \label{a46}
 \"
61,"\begin{equation}
 \tau_1 \equiv A+\eta^2 \hspace{2.5cm} \tau_2 \equiv \pi - \eta^1.
 \label{a47}
 \"
62,"\begin{equation}
 \begin{array}{l}
 G_1^{(0)}= \partial_i A_i'(x)-\partial_i\partial_i\pi(x) \\ G_2
 ^{(0)}= A(x)
 \end{array}
 \label{a48}
 \"
63,"\begin{equation}
 \tilde{H}'^{(1)}=\eta^1(\partial_{i}\partial_i \pi -\partial_iA'_{i})-\eta^2 A.
 \label{a49}
 \"
64,"\begin{equation}
 \tilde{H}'^{(2)}=-\frac{1}{2}(\eta^1\partial_i\partial_i\eta^1+\eta^2\eta^2).
 \label{a50}
 \"
65,"\begin{equation}
 \tilde{H}'_C =H' _C + \tilde{H}'^{(1)} + \tilde{H}'^{(2)}.
 \label{a51}
 \"
66,"\begin{equation}
 {\cal{L}}^N =\frac{1}{2}\dot{\phi}^2-\frac{1}{2}\phi'^2+\lambda(\dot{\phi}-\phi')
 \label{a52}
 \"
67,"\begin{equation}
 \pi=\dot{\phi}+\lambda  \hspace{1.5cm} P_\lambda=0
 \label{a53}
 \"
68,"\begin{equation}
 {\cal{H}}^N_C=\frac{1}{2}(\pi-\lambda)^2+\frac{1}{2}\phi'^2+\lambda\phi'.
 \label{a54}
 \"
69,"\begin{equation}
 \Theta_2\equiv \pi - \phi' - \lambda \approx0.
 \label{aa54}
 \"
70,"\begin{equation}
 {\cal{L}}^I={\cal{L}}^N+{\cal{L}}^{WZ}; \hspace{1cm}
 {\cal{L}}^{WZ}=-\frac{1}{2}(\dot{\theta}+\theta'^2)+\theta'(\phi'+\dot{\theta})-\dot{\theta}(\phi'+\lambda)+\lambda\theta'.
 \label{a55}
 \"
