,equation
0,"\begin{equation}
 g_{ab}=\eta_{ab}+ h_{ab}.
 \label{naive}
 \"
1,"\begin{equation}
E^{2} = p^{2}+ M^{2} + \alpha l_{Pl}E^{3}+ \beta l_{Pl}^{2}E^{4}
+ ...
\label{modified}
\"
2,"\begin{equation}
S = {A[S] \over 4 \hbar G_{Newton}}
\label{bb}
\"
3,"\begin{equation}
 g= 2\pi /e
 \label{mono}
 \"
4,"\begin{equation}
 I=\int d^{2}\sigma \sqrt{h}h^{\alpha \beta}(\partial_{\alpha}X^{a})(
 \partial_{\beta}X^{b} ) g_{ab} (X(\sigma))
 \"
5,"\begin{equation}
 h_{\alpha \beta}= \eta_{\alpha \beta} e^{\phi}.
 \label{conforalg}
 \"
6,"\begin{equation}
I^{\prime}=\hbar \int d^{2}\sigma \sqrt{h}h^{\alpha \beta}
(\partial_{\alpha}\phi ) (\partial_{\beta}\phi)  \ldots
 \"
7,"\begin{equation}
 g_{ab}=\eta_{ab}+ h_{ab}.
 \label{naive}
 \"
8,"\begin{equation}
E^{2} = p^{2}+ M^{2} + \alpha l_{Pl}E^{3}+ \beta l_{Pl}^{2}E^{4}
+ ...
\label{modified}
\"
9,"\begin{equation}
S = {A[S] \over 4 \hbar G_{Newton}}
\label{bb}
\"
10,"\begin{equation}
 g= 2\pi /e
 \label{mono}
 \"
11,"\begin{equation}
 I=\int d^{2}\sigma \sqrt{h}h^{\alpha \beta}(\partial_{\alpha}X^{a})(
 \partial_{\beta}X^{b} ) g_{ab} (X(\sigma))
 \"
12,"\begin{equation}
 h_{\alpha \beta}= \eta_{\alpha \beta} e^{\phi}.
 \label{conforalg}
 \"
13,"\begin{equation}
I^{\prime}=\hbar \int d^{2}\sigma \sqrt{h}h^{\alpha \beta}
(\partial_{\alpha}\phi ) (\partial_{\beta}\phi)  \ldots
 \"
