,cite
0,\cite{typeiphun}
1,"\cite{horavawit,donagi,fgi}"
2,\cite{g2mani}
3,\cite{heterotic}
4,\cite{casasabel}
5,\cite{fgi}
6,\cite{z2z2orient}
7,\cite{rffm}
8,\cite{fff}
9,\cite{nahe}
10,\cite{rffm}
11,\cite{foc}
12,\cite{Narain}
13,\cite{Narain}
14,\cite{foc}
15,\cite{befnq}
16,\cite{vwaaf}
17,\cite{partitions}
18,"\cite{donagi,fgi}"
19,\cite{CAAS}
20,\cite{CAAS}
21,\cite{CAAS}
22,\cite{CAAS}
23,\cite{IAEDAS}
24,\cite{C}
25,\cite{GSH}
26,\cite{CAAS}
27,\cite{IAEDAS}
28,\cite{typeiphun}
29,\cite{AGN}
