,cite
0,\cite{Horowitz}
1,\cite{Penrose}
2,"\cite{Penrose, Veronica1}"
3,"\cite{Guven, Blau}"
4,\cite{Metsaev}
5,\cite{BMN}
6,\cite{Blau}
7,\cite{G7}
8,\cite{Sunil}
9,\cite{Tseytlin}
10,\cite{Bena}
11,\cite{Michelson}
12,"\cite{Veronica2, Duff:hr}"
13,\cite{Horowitz}
14,\cite{Simeon}
15,\cite{Blau:2002js}
16,\cite{Adams}
17,\cite{Okubo}
18,\cite{Nash:cq}
19,\cite{MTW}
20,\cite{Cartan-Schouten}
21,\cite{Cartan-Schouten}
22,\cite{Tseytlin}
23,\cite{Tseytlin}
24,\cite{Tseytlin}
25,"\cite{Horowitz:1996ay,Maldacena:1997re}"
26,\cite{Englert}
27,\cite{Duff:hr}
28,"\cite{Gursey:1983yq,Gunaydin:1973rs}"
29,\cite{Duff:hr}
30,\cite{Gibbons}
31,\cite{Russo}
32,"\cite{Ganor1, 
Ganor2}"
33,\cite{Bena}
34,\cite{Bena}
35,"\cite{BMN, Russo}"
36,\cite{Figueroa-O'Farrill:2002ft}
37,\cite{Blau}
38,\cite{Sunil}
39,\cite{Michelson}
40,\cite{Berg}
41,\cite{Metsaev}
42,\cite{Metsaev}
43,"\cite{Russo, 
Ganor1, PhD}"
44,\cite{Metsaev}
45,\cite{Chaichian}
46,\cite{Chaichian}
47,"\cite{DP, Green, Michishita, Ganor1, KimLeeYang}"
48,\cite{Polch}
49,\cite{Callan}
50,"\cite{Michishita,Ganor1,Ganor2}"
51,\cite{Michishita}
52,"\cite{Ganor1,Ganor2}"
53,"\cite{DP, Michishita}"
54,\cite{Michishita}
55,\cite{MO}
56,\cite{Smatrix}
57,"\cite{Kumar:2002ps,Alishahiha:2002rw}"
58,\cite{progress}
59,"\cite{Cvetic,Alishahiha:2002nf}"
60,\cite{Bena}
61,\cite{Horowitz:bv}
62,\cite{Figueroa-O'Farrill:2002ft}
63,\cite{Duff:hr}
64,\cite{Blau:2002js}
65,\cite{Okubo}
66,\cite{Cartan-Schouten}
