,equation
0,"\begin{equation} 
r_{p+4}^{3-p}=(2\sqrt{\pi})^{1-p}\Gamma \left(
{3-p\over 2}\right)
g_{s}N\alpha'{}^{3-p\over 2},\quad
\tilde{r}_{p}^{3-p}=
{V_{*}\over V}r_{p+4}^{3-p},
\"
1,"\begin{equation}
r_{e}^{3-p}={2V\over V-V_{*}}\tilde{r}_{p}^{3-p}.
\"
2,"\begin{equation}
Z_{p}=1-{\tilde{r}_{p}^{3-p}\over r^{3-p}},\quad
Z_{p+4}={r_{p+4}^{3-p}\over r^{3-p}}.
\label{eq:decoupling}
\"
3,"\begin{equation}
ds^{2}=-A^{2} dt^{2} + \tilde{A}^{2} dx_{a}^{2}
+B^{2}dr^{2} +\tilde{B}^{2}r^{2}d\Omega_{D-p-2}^{2}.
\label{eq:pbr1}
\"
4,"\begin{equation}
d\Omega_{D-p-2}^{2}=\cos^2 \theta d\psi^2
+d\theta^2 +\sin^2\theta d\Omega_{D-p-4}^{2}.
\label{eq:sphere}
\"
5,"\begin{equation}
g_{\mu\nu} \dot{x}^{\mu}\dot{x}^{\nu}=
-A^{2}\dot{t}^{2}+B^{2}\dot{r}^{2}
+\tilde{B}^{2}r^{2}\dot{\psi}^{2}
=0
\"
6,"\begin{equation}
\dot{t}={1\over A^{2}},\quad 
\dot{\psi}={\ell\over \tilde{B}^{2}r^{2}}, 
\"
7,"\begin{equation}
-{1\over A^{2}}+B^{2}\dot{r}^{2}
+{\ell^{2}\over \tilde{B}^{2}r^{2}}=0.
\label{eq:massless}
\"
8,"\begin{equation}
\dot{r}=\pm \sqrt{{1\over B^{2}A^{2}}
-{\ell^{2}\over B^{2}\tilde{B}^{2}r^{2}}}.
\label{eq:dotr}
\"
9,"\begin{equation}
{1\over B^{2} A^{2}}\ge {\ell^{2}\over B^{2}\tilde{B}^{2}r^{2}}.
\label{eq:geodcond}
\"
10,"\begin{equation}
-2 B^{2}\ddot{r}-(A^{2})'\dot{t}^{2}-(B^{2})'\dot{r}^{2}
+(\tilde{B}^{2}r^{2})'\dot{\psi}^{2}=0,
\"
11,"\begin{equation}
\ddot{r}={1\over 2B^{2}}\left(
-{(A^{2})'\over A^{4}} +{(\tilde{B}^{2}r^{2})' \ell^{2}\over
\tilde{B}^{4}r^{4}} -(B^{2})'\dot{r}^{2}\right)
\label{eq:ddotr}
\"
12,"\begin{equation}
{1\over B^{2}}\left( {1\over A^{2}}
-{\ell^{2}\over \tilde{B}^{2}r^{2}}
\right)=0,\qquad
{1\over B^{2}}\left( {(A^{2})'\over A^{4}}
-{(\tilde{B}^{2}r^{2})' \ell^{2}\over
\tilde{B}^{4}r^{4}}\right) =0.
\label{eq:constcond1}
\"
13,"\begin{equation}
F(r)\equiv -A^{2}+{\tilde{B}^{2}r^{2}\over \ell^{2}}.
\label{eq:defFr}
\"
14,"\begin{equation}
F(r)=0, \qquad F'(r)=0,
\label{eq:constcond}
\"
15,"\begin{equation}
t={1\over A^{2}_{*}}\tau,\quad 
\psi={\ell_{*}\over \tilde{B}_{*}^{2}r_{*}^{2}}\tau,
\quad r=r_{*}
\"
16,"\begin{equation}
x^{\pm}\equiv {1\over 2}\left( A^{2}_{*} t
\pm {\tilde{B}^{2}_{*}r^{2}_{*}\over \ell_{*}}\psi \right),
\label{eq:coordtr}
\"
17,"\begin{equation}
m^{2}_{x}=0,\quad
m^{2}_{y}={\ell^{2}_{*}\over \tilde{B}^{4}_{*}r^{4}_{*}},\quad
m^{2}_{z}=-{1\over 2}{1\over B^{2}_{*}A^{4}_{*}}F''(r)_{*}
\label{eq:constmass}
\"
18,"\begin{equation}
\sum_{\ell=1}^{D-p-3}
d y^{2}_{l}= d\theta^{2} +\theta^{2}d \Omega^{2}_{D-p-4}.
\"
19,"\begin{equation}
r^{3}_{*\pm}={1\over 4}\left(
x-1\pm\sqrt{(x-1)^{2}-32 x}\right)\tilde{r}_{0}^{3}.
\label{eq:rastpm}
\"
20,"\begin{equation}
x\ge 17+12\sqrt{2}.
\label{eq:xineq}
\"
21,"\begin{equation}
\ell_{*\pm}^{2}={3\over 2}r_{*\pm}^{2}
+{3\over 4r_{*\pm}}(r_{4}^{3}-\tilde{r}_{0}^{3}).
\label{eq:last}
\"
22,"\begin{equation}
f(r)=-\ell^{2}r^{4-2p}+r_{p+4}^{3-p}r^{3-p}
-\tilde{r}_{p}^{3-p}r_{p+4}^{3-p}.
\label{eq:enhfrdec}
\"
23,"\begin{equation}
r^{3}_{*d}=4\tilde{r}^{3}_{0},\quad
\ell^{2}_{*d}={3\over 4}{r_{4}^{3}\over r_{*d}}.
\label{eq:rastdec}
\"
24,"\begin{equation}
%\dot{t}=Z^{1/2}_{p*}Z^{1/2}_{p+4*},\quad
%\dot{\psi}={\ell_{*}\over Z^{1/2}_{p*}Z^{1/2}_{p+4*}r_{*}^{2}},\quad
%r=r_{*}, 
%\"
25,"\begin{equation}
ds^{2}=2dx^{+}dx^{-}-(m^{2}_{y}y_{l}^{2}+m^{2}_{z}z^{2})(dx^{+})^{2}
+dy_{l}^{2}+dz^{2}+dw_{s}^{2}
\label{eq:planewaveenh}
\"
26,"\begin{equation}
%d y^{2}_{l}= d\theta^{2} +\theta^{2}d \Omega^{2}_{D-p-4}.
%\"
27,"\begin{equation}
m^{2}_{y}={\ell^{2}_{*}\over Z_{0*}Z_{4*}r^{4}_{*}},
\quad
m^{2}_{z}=-{1\over 2}{1\over \ell^{2}_{*}r^{4}_{*}}f''(r)_{*}.
\label{eq:masses}
\"
28,"\begin{equation}
m^{2}_{y}={1\over r_{*d}^{2}},\quad
m^{2}_{z}={2\over r_{*d}^{2}},
\label{eq:massdec}
\"
