,equation
0,"\begin{equation}\label{llm2.1}
  \alpha_{ij} = (\alpha_i , \alpha_j ) = \begin{pmatrix}
  {1 & -1 \cr -1 & 2 }\end{pmatrix} \, .
\"
1,"\begin{equation}\label{llm2.3}
  e_{\pm 3} = \pm [ e_{\pm 1} , e_{\pm 2} ] \, ,
  \qquad
  e_{\pm 4} = \pm [ e_{\pm 1} , e_{\pm 3} ] \, ,
\"
2,"\begin{equation}\label{llm22.4}
  h'_l = h_i \, , \qquad e'_{\pm 1} = e_{\pm 1} \, , \qquad
  e'_{\pm l} = \lambda^{\pm 1} e_{\pm l} \, , \qquad l=2,3,4 \, ,
\"
3,"\begin{equation}\label{llm2.5}
  h^+_i = - h \, , \qquad \qquad e^+_{\pm i} = \lambda_i \, e_{\pm
  i} \, ,
\"
4,"\begin{equation}\label{llm2.6}
  r(\alpha,\xi, \rho) = \alpha [( 2h_1 + h_2 ) \wedge e_4 + 2e_1 \wedge
  e_3] +
  \xi \, h_2 \wedge e_2 + \rho \, e_2 \wedge e_4 \, .
\"
5,"\begin{equation}\label{llm22.7}
  \alpha' = \lambda^{-1} \, \alpha \, , \qquad \xi'= \lambda^{-1}
  \, \xi \, , \qquad \rho'= \lambda^{-2} \, \rho \, .
\"
6,"\begin{equation}
\begin{array}{cccc}
e_{1}\Rightarrow \alpha ^{\frac{1}{2}}\xi ^{-\frac{1}{2}}e_{1}, &
e_{-1}\Rightarrow \alpha ^{-\frac{1}{2}}\xi ^{\frac{1}{2}}e_{-1},
& e_{2}\Rightarrow \xi e_{2}, &
e_{-2} \Rightarrow \xi ^{-1}  e_{-2} \, ,%
\\
e_{3}\Rightarrow \alpha ^{\frac{1}{2}}\xi ^{\frac{1}{2}}e_{3}, &
e_{-3}\Rightarrow \alpha ^{-\frac{1}{2}}\xi ^{-\frac{1}{2}}e_{-3},
& e_{4}\Rightarrow \alpha e_{4}, & e_{-4}\Rightarrow \alpha
^{-1}e_{-4}\, .
\end{array}
\label{llm2.14}
\"
7,"\begin{equation}\label{llm2.9}
\left( {\Phi }\right) _{12}\left( \Delta \otimes {\rm id}\right) {\ \Phi }%
=\left( {\ \Phi }\right) _{23}\left( {\rm id}\otimes \Delta \right) {\ \Phi }%
,\qquad \left( \epsilon \otimes {\rm id}\right) {\ \Phi }=\left( {\rm id}%
\otimes \epsilon \right) {\ \Phi }=1.  \label{twist-eq}
\"
8,"\begin{equation}\label{xxx}
 \Delta _{{\ \Phi }}={\ \Phi }
\Delta {\ \Phi }^{-1}\, ,
\"
9,"\begin{equation}\label{llm2.15}
{\cal F}(\alpha, \xi)=\exp \frac{1}{2} \left( h_{2}
\otimes {\bf \sigma
}_{2}{(\alpha, \xi)}\right) \exp \left( \alpha e_{1}
\otimes
e_{3}\,
e^{-\frac{1}{2}{ \sigma }_{4}(\alpha)}\right) \exp
\frac{1}{2}\left( h_{4}\otimes {\bf \sigma }_{4}{(\alpha)}\right)
, \label{param-tw}
\"
10,"\begin{equation}\label{llm22.18}
  H'_{i} = H_i \, , \qquad E'_{\pm1} = E_{\pm1} \, , \qquad E'_{\pm l}
  = \lambda^{\pm 1} \, E_{\pm l} \, , \qquad (l =2,3,4)\, ,
\"
11,"\begin{equation}
\begin{array}{lcl}
\Delta _{F}\left( H_{4}\right)  & = & \left(
\begin{array}{c}
H_{4}\otimes e^{-\alpha { E }_{4}}+1\otimes H_{4}-
\\
-\alpha \, E_1 \otimes E_3 \, e^{-\frac{1}{2}
\left( \alpha \,{ E }_{4}-\xi{ E }%
_{2}\right) }-\frac{1}{2}\alpha \xi
 \,H_{2}\otimes E_3^{2}e^{\xi{ E }_{2}}%
\end{array}%
\right) ,
 \\
\Delta _{F}\left( H_{2}\right)  & = & H_{2}\otimes e^{\xi{ E }%
_{2}}+1\otimes H_{2},
\\
\Delta _{F}\left( { E }_{4}\right)  & = & { E }%
_{4}\otimes 1+1\otimes { E }_{4},
\qquad\qquad\qquad
\Delta _{F}\left( {E }_{2}\right)   =  { E } _{2}\otimes 1+1\otimes { E }_{2},
\\
\Delta _{F}\left( E_3\right)
 & = & E_3\otimes e^{\frac{1}{2}\left(- \xi {E }%
_{2}- \alpha { E }_{4}\right) }+1\otimes E_3,
\\
\Delta _{F}\left( E_1\right)
 & = &
 E_1\otimes e^{-\frac{1}{2}\left(  \alpha { E
}_{4}- \xi { E }_{2}\right) }+1\otimes E_1- \frac{1}{2} \xi
H_{2}\otimes E_{3} e^{\xi { E }_{2}}\, ,
\\
\Delta _{F}\left( E_{-1}\right)
  & = & E_{-1}\otimes e^{\frac{1}{2}\left(- \xi { %
E }_{2}- \alpha { E }_{4}\right) }+1\otimes E_{-1},
\\
\Delta _{F}\left( E_{-2}\right)  & =
& E_{-2}\otimes e^{ \xi { E }%
_{2}}+1\otimes E_{-2}, \\
\Delta _{F}\left( E_{-3}\right)  & = & \left(
\begin{array}{c}
E_{-3}\otimes e^{-\frac{1}{2}\left( \alpha { E }_{4}
- \xi { E }%
_{2}\right) }+1\otimes E_{-3}- \\
-  \frac{1}{2} \xi H_{2}\otimes E_{-1}e^{-\alpha E_{4}}
+  \alpha \left(\frac{1}{4}\xi H_2 - E_{-2}\right)
\otimes E_3 e^{ \xi { E }_{2}}%
\end{array}%
\right) , \\
\Delta _{F}\left( E_{-4}\right)  & = & \left(
\begin{array}{c}
E_{-4}\otimes e^{- \alpha { E }_{4}}
+1\otimes E_{-4}+ \alpha E_1\otimes E_{-1}e^{-\frac{%
1}{2}\left(  \alpha { E }_{4} -\xi { E }_{2}\right) } \\
- \alpha E_{-3}
 \otimes E_3 e^{-\frac{1}{2}\left(  \alpha {E
}_{4}- \xi { E }_{2}\right) }+\frac{1}{2}  \alpha \xi
H_{2}\otimes E_{-1}E_3e^{ \xi { E }_{2}} \\
+\left( - \xi^{-1} \alpha E_{-2}+\frac{1}{4}  \alpha H_{2}\right)
\otimes \left( e^{- \alpha { E }%
_{4}}-e^{\xi { E }_{2}} -\frac{1}{2} \alpha \xi E_3^{2}e^{ \xi {
E }_{2}}\right)
\end{array}%
\right) .%
\end{array}%
\"
12,"\begin{equation}
\begin{array}{rrl}
\cr [ E_2 , E_{-1} ]& =& - \frac{\alpha}{\xi} E_3 \, ,
\qquad \qquad \qquad\qquad\qquad \qquad
 [ E_2 , E_{-2} ] = - H_2 \, ,
\cr
 [ E_2 , E_{-3} ]& =& - ( \frac{\alpha}{2}E_3 - E_{-1})e^{\xi E_2}
+\frac{\alpha}{\xi} E_1 \, ,
\cr [ E_2 , E_{-4} ]& =&  \frac{\alpha}{\xi} H_2
    -  ( \alpha E_{-1} - \frac{1}{4} \alpha^2 E_3)\, E_3 \,
    e^{- \alpha E_4} - \frac{\alpha}{2 \xi} (e^{-\alpha E_4}
    - e^{\xi E_2}) \, ,
\cr [ E_3 , E_{-1} ]& =& \frac{1}{\xi}
    \left( e^{-\xi E_2 - \alpha E_4}-1 \right)
    + \frac{\alpha}{2} E^2_3  \, ,
\cr [ E_3 , E_{-2} ]& =& E_1
    +\xi \frac{1}{2}(\frac{1}{2}-H_2 )\, E_3 \, ,
\qquad\qquad
[ E_3 , E_{-3} ] =  \frac{1}{2} \left( H_2 + H_4 \right)\, ,
\cr [ E_3 , E_{-4} ]& =& E_{-1}e^{-\alpha E_4} -\frac{\alpha}{2}
    (H_2 + H_4)\, E_3 \, ,
\qquad\qquad [ E_4 , E_{-1} ] =  - E_3 \, ,
\cr [ E_4 , E_{-3} ]& =& E_1 \, ,
\qquad\quad\qquad\qquad \qquad\qquad\qquad \qquad [ E_4 , E_{-4} ] = H_4 \, ,
\cr [ E_{-1} ,E_{-2} ]& =& - E_{-3} - \frac{1}{2} \alpha E_1 +
    \frac{1}{2} \xi (\frac{1}{2} - H_2 )\, E_{-1} \, ,
\qquad
 [ E_{-1} , E_{-3} ] =  - E_{-4} \, ,
\cr [ E_{-1} , E_{-4} ]& =& -2\frac{\alpha}{\xi} E_{-3}
    - \frac{\alpha}{2}(H_2 + H_4)\, E_{-1} \, ,
\cr
 [ E_{-2} , E_{-3} ] &=& - \xi \frac{1}{2}(H_2 + \frac{1}{2})\, E_{-3} \, ,
\cr [ E_{-2} , E_{-4} ]& =&  \alpha E_{-3} E_1 + \frac{\alpha}{2}
    (-E_{-2} + \frac{\xi}{4}H^2_2 -\frac{1}{2}\alpha E^2_1) \, ,
\cr [ E_{-3} , E_{-4} ]& =&  \alpha H_2 \, E_{-3} - \alpha E_{-4} E_1 \, ,
\end{array}
\"
