,cite
0,\cite{Cachazo:2002zk}
1,\cite{ferrari}
2,"\cite{dv1,dv2,dv3}"
3,\cite{Cachazo:2002zk}
4,\cite{Cachazo:2002zk}
5,\cite{Cachazo:2002zk}
6,"\cite{Ahn:2003cq,oz}"
7,\cite{Cachazo:2002zk}
8,\cite{Cachazo:2002zk}
9,"\cite{Cachazo:2001jy,Cachazo:2002zk}"
10,\cite{Cachazo:2002zk}
11,\cite{Cachazo:2002zk}
12,\cite{Cachazo:2002zk}
13,"\cite{Argyres:1996eh,Hori:1997ab,deBoer:1997ap,
Carlino:2000uk}"
14,\cite{Argyres:1996eh}
15,"\cite{Seiberg:1994bz,Seiberg:1994pq}"
16,\cite{Intriligator}
17,"\cite{Hori:1997ab,Carlino:2000uk,deBoer:1997ap}"
18,\cite{ADS}
19,\cite{Hori:1997ab}
20,\cite{Seiberg:1994bz}
21,\cite{Hori:1997ab}
22,"\cite{Hori:1997ab,Carlino:2000uk}"
23,\cite{Carlino:2000uk}
24,\cite{Carlino:2000uk}
25,\cite{Carlino:2000uk}
26,\cite{Argyres:1996eh}
27,\cite{Argyres:1996eh}
28,\cite{Argyres:1996eh}
29,\cite{Argyres:1996eh}
30,\cite{Argyres:1996eh}
31,\cite{Carlino:2000uk}
32,\cite{Carlino:2000uk}
33,\cite{Carlino:2000uk}
34,\cite{Carlino:2000uk}
35,\cite{Carlino:2000uk}
