,equation
0,"\begin{equation}\gamma^\alpha_{}\,p^{}_\alpha\,\Psi~=~\thru{p}\,\Psi~=~0\ ,\"
1,"\begin{equation}\{\,\thru{p}\,,\,\thru{p}\,\}~=~p^2_{}\ .\"
2,"\begin{equation} P^\alpha_{}(\sigma)~=~p^\alpha_{}+\mbox {oscillators}\ ,\"
3,"\begin{equation} p^\alpha_{}~=~<P^\alpha\,>\ .\"
4,"\begin{equation} \Gamma^\alpha_{}(\sigma)~=~\gamma^\alpha_{}+\mbox{oscillators}\ ,\"
5,"\begin{equation}
\gamma^\alpha_{}~=~<\,\Gamma^\alpha_{}\,>\ ,\"
6,"\begin{equation}
\gamma^\alpha_{}\,p^{}_\alpha~=~ <\,\Gamma^\alpha_{}\,>\,<P^{}_\alpha\,>~~\rightarrow ~~ <\,\Gamma^\alpha_{}\,P^{}_\alpha\,>\ ,\"
7,"\begin{equation}
\Gamma^\alpha_{}(\sigma)\,P_\alpha^{}(\sigma)~=~\sum_n\,F^{}_n\,e^{in\sigma}_{}\ ,\"
8,"\begin{equation}
\beta~=~\frac{11}{3}\,I^{(2)}_{adj}-\frac{2}{3}\,I^{(2)}_f-\frac{1}{3}\,I^{(2)}_H\ ,\"
9,"\begin{equation}
{\rm Tr}\,(T^A_r\,T^B_r\,)~=~I^{(2)}_r\,\delta^{AB}_{}\ ,\"
10,"\begin{equation}
\frac{1}{3}\,(1-12 h^2_{})\ ,\"
11,"\begin{equation}
(-1)^f_{}\,\Big(\,\frac{1}{3}\,I^{(0)}_{}\,(\delta^{(4)}_{\mu\nu}\,q^2_{}-q^{}_\mu\,q^{}_\nu)-\frac{4}{r}\,I^{(2)}_{}\,(\delta^{(D)}_{\mu\nu}\,q^2_{}-q^{}_\mu\,q^{}_\nu)\Big)\ ,\"
12,"\begin{equation}
I^{(k)}_{\bf 128}~-~I^{(k)}_{\bf 44}~-~I^{(k)}_{\bf 84}~=~0\ ,~~k=0,2,4,6\ ,\"
13,"\begin{equation}
I^{(8)}_{\bf 128}-I^{(8)}_{\bf 44}-I^{(8)}_{\bf 84}~=~-192\ .\"
14,"\begin{equation}
V_{\lambda}\,\otimes\,S^+_{}\,-\,V_{\lambda}\,\otimes\,S^-_{}~=~\sum_{c }\,{\rm sgn}(c)\,U_{c\bullet\lambda}\ .\"
15,"\begin{equation}
\{\, \Gamma_{}^a\,,\, \Gamma_{}^b\,\}~=~2\,\delta_{}^{ab}\ ,~~a,b=1,2,\dots, 16\ ,\"
16,"\begin{equation}
{\sthru  K}\,\Psi~=~\sum_{a=1}^{16}\, \Gamma_{}^a\,T^{a}_{}\,\Psi~=~0\ ,\"
17,"\begin{equation}
[\,T_{}^a\,,\,T_{}^b\,]~=~i\,f^{\,ab\,ij}_{}\,T^{ij}_{}\ .\"
18,"\begin{equation}
\Phi_{\vec a}^{}~=~\theta^1\theta^8\,h(y^-,\vec x,\,u_i,\,\zeta_a)~+~\theta^1\theta^4\theta^8\,\psi(y^-,\vec x,\,u_i,\,\zeta_a)~+~\theta^1\theta^4\theta^5\theta^8\,A(y^-,\vec x,\,u_i,\,\zeta_a)\ .\"
19,"\begin{equation}
\Delta\,I^{(8)}_{}~=~-192\,\sum_{a_1,a_2,a_3,a_4}\,d^{F_4}_{}(a_1,a_2,a_3,a_4)~=~0\ ,\"
20,"\begin{equation}\gamma^\alpha_{}\,p^{}_\alpha\,\Psi~=~\thru{p}\,\Psi~=~0\ ,\"
21,"\begin{equation}\{\,\thru{p}\,,\,\thru{p}\,\}~=~p^2_{}\ .\"
22,"\begin{equation} P^\alpha_{}(\sigma)~=~p^\alpha_{}+\mbox {oscillators}\ ,\"
23,"\begin{equation} p^\alpha_{}~=~<P^\alpha\,>\ .\"
24,"\begin{equation} \Gamma^\alpha_{}(\sigma)~=~\gamma^\alpha_{}+\mbox{oscillators}\ ,\"
25,"\begin{equation}
\gamma^\alpha_{}~=~<\,\Gamma^\alpha_{}\,>\ ,\"
26,"\begin{equation}
\gamma^\alpha_{}\,p^{}_\alpha~=~ <\,\Gamma^\alpha_{}\,>\,<P^{}_\alpha\,>~~\rightarrow ~~ <\,\Gamma^\alpha_{}\,P^{}_\alpha\,>\ ,\"
27,"\begin{equation}
\Gamma^\alpha_{}(\sigma)\,P_\alpha^{}(\sigma)~=~\sum_n\,F^{}_n\,e^{in\sigma}_{}\ ,\"
28,"\begin{equation}
\beta~=~\frac{11}{3}\,I^{(2)}_{adj}-\frac{2}{3}\,I^{(2)}_f-\frac{1}{3}\,I^{(2)}_H\ ,\"
29,"\begin{equation}
{\rm Tr}\,(T^A_r\,T^B_r\,)~=~I^{(2)}_r\,\delta^{AB}_{}\ ,\"
30,"\begin{equation}
\frac{1}{3}\,(1-12 h^2_{})\ ,\"
31,"\begin{equation}
(-1)^f_{}\,\Big(\,\frac{1}{3}\,I^{(0)}_{}\,(\delta^{(4)}_{\mu\nu}\,q^2_{}-q^{}_\mu\,q^{}_\nu)-\frac{4}{r}\,I^{(2)}_{}\,(\delta^{(D)}_{\mu\nu}\,q^2_{}-q^{}_\mu\,q^{}_\nu)\Big)\ ,\"
32,"\begin{equation}
I^{(k)}_{\bf 128}~-~I^{(k)}_{\bf 44}~-~I^{(k)}_{\bf 84}~=~0\ ,~~k=0,2,4,6\ ,\"
33,"\begin{equation}
I^{(8)}_{\bf 128}-I^{(8)}_{\bf 44}-I^{(8)}_{\bf 84}~=~-192\ .\"
34,"\begin{equation}
V_{\lambda}\,\otimes\,S^+_{}\,-\,V_{\lambda}\,\otimes\,S^-_{}~=~\sum_{c }\,{\rm sgn}(c)\,U_{c\bullet\lambda}\ .\"
35,"\begin{equation}
\{\, \Gamma_{}^a\,,\, \Gamma_{}^b\,\}~=~2\,\delta_{}^{ab}\ ,~~a,b=1,2,\dots, 16\ ,\"
36,"\begin{equation}
{\sthru  K}\,\Psi~=~\sum_{a=1}^{16}\, \Gamma_{}^a\,T^{a}_{}\,\Psi~=~0\ ,\"
37,"\begin{equation}
[\,T_{}^a\,,\,T_{}^b\,]~=~i\,f^{\,ab\,ij}_{}\,T^{ij}_{}\ .\"
38,"\begin{equation}
\Phi_{\vec a}^{}~=~\theta^1\theta^8\,h(y^-,\vec x,\,u_i,\,\zeta_a)~+~\theta^1\theta^4\theta^8\,\psi(y^-,\vec x,\,u_i,\,\zeta_a)~+~\theta^1\theta^4\theta^5\theta^8\,A(y^-,\vec x,\,u_i,\,\zeta_a)\ .\"
39,"\begin{equation}
\Delta\,I^{(8)}_{}~=~-192\,\sum_{a_1,a_2,a_3,a_4}\,d^{F_4}_{}(a_1,a_2,a_3,a_4)~=~0\ ,\"
