,aligned
0,"\begin{aligned}
\tilde{\psi} & = \psi - \sigma' \epsilon_r,\\
\tilde E &= E + 2 \ee^{-\sigma} \epsilon ,\\
\tilde\xi &= \xi - 2 \epsilon_r',\\
 \tilde \zeta &= \zeta -
\frac{1}{2} \left[\epsilon_\theta' +\partial_\theta
\epsilon_r - \left(\displaystyle{2\over r}+\gamma'\right)
\epsilon_\theta \right],\\
 \tilde\omega &= \omega
- {2\ee^{-\gamma} \over r^2} \partial_\theta\epsilon_\theta -
\left({2\over r}+\gamma'\right)\epsilon_r,\\
\tilde B &= B -  {1\over 2} \left( \epsilon_r + \epsilon'-\sigma'
\epsilon \right),\\
\tilde C &= C - \displaystyle {1\over 2} \left( \epsilon_\theta +
\partial_\theta \epsilon \right).
\"
1,"\begin{aligned}
 \Psi & \equiv \psi - \displaystyle {1\over2} \sigma'
    \left(4B + \ee^\sigma E' \right),\\
 \Xi & \equiv \xi
    -\partial_r\left(4B + \ee^\sigma E' \right),\\
 \Upsilon
    & \equiv\zeta - \displaystyle {1\over 4} \partial_r \left(4C +
    \ee^{\sigma} \partial_\theta E\right) -\displaystyle {1\over 4}
    \partial_\theta \left(4B + \ee^{\sigma} E'\right) \\
&  + \displaystyle{1\over4} \left({2\over r} + \gamma'\right) \left(4C
    + \ee^{\sigma} \partial_\theta E \right),\\
 \Omega & \equiv \omega - \displaystyle {\ee^{-\gamma} \over r^2}
    \partial_\theta \left(4C + \ee^\sigma \partial_\theta E \right) \\
 &     - \displaystyle {1\over2} \left({2 \over r} +
    \gamma' \right) \left(4B + \ee^\sigma \partial_r E
    \right).
\"
2,"\begin{aligned}
\epsilon &= \displaystyle -{1\over 2} \ee^\sigma E,\\
\epsilon_r &= \displaystyle 2B+{1\over 2} \ee^\sigma E',\\
\epsilon_\theta &= \displaystyle 2C+{1\over 2} \ee^\sigma \partial_\theta E,
\"
3,"\begin{aligned}
\tilde{\chi_p} & = \displaystyle \chi_p - \varepsilon_r \Phi' - i n
\frac{\ee^{-\gamma}}{r^2} \varepsilon_\theta \Phi,\\ \tilde{\gper} & =
\displaystyle \gper -\frac{\ee^{-\gamma}}{r^2} C_\theta
\varepsilon_\theta,\\ \tilde{\gperR} & = \displaystyle \gperR -
\frac{\ee^{-\gamma}}{r^2} C_\theta \varepsilon_{\theta}' + 2
\frac{\ee^{-\gamma}}{r^2} C_\theta \left(\frac{1}{r} +
\frac{\gamma'}{2} \right) \varepsilon_\theta,\\ \tilde{\gperT} & =
\displaystyle \gperT - C_{\theta}' \varepsilon_r -
\frac{\ee^{-\gamma}}{r^2} C_\theta \partial_\theta \varepsilon_\theta,
\"
4,"\begin{aligned}
\Chip &\equiv\displaystyle \chi_p - \frac{1}{2} \Phi'\left( 4 B +
\ee^\sigma E' \right) -\frac{i n \ee^{-\gamma}}{2 r^2} \Phi
\left(4C + \ee^\sigma \partial_\theta E \right),\\ \Gper & \equiv
\displaystyle \gper - \frac{1}{2} \frac{\ee^{-\gamma}}{r^2} C_\theta
\left(4C+\ee^{\sigma} \partial_\theta E \right),\\ \GperR & \equiv 
\displaystyle \gperR - \frac{1}{2} \frac{\ee^{-\gamma}}{r^2} C_\theta
\left[4C'+ \left(\ee^{\sigma} \partial_\theta E\right)' \right] \\ & +
\displaystyle \frac{\ee^{-\gamma}}{r^2} C_\theta \left(\frac{1}{r} +
\frac{\gamma'}{2} \right) \left(4C + \ee^{\sigma} \partial_\theta E
\right),\\ \GperT & \equiv \displaystyle \gperT - \frac{1}{2} C_\theta'
\left(4B+\ee^{\sigma} E' \right) \\ & - \displaystyle \frac{1}{2}
\frac{\ee^{-\gamma}}{r^2} C_\theta \left(4 \partial_\theta C +
\ee^{\sigma} \partial^2_\theta E \right),
\"
5,"\begin{aligned}
\delta g_{\mu \nu} & = \ee^\sigma \eta_{\mu \nu} \Psi, & \delta g_{\mu
r} & = 0, & \delta g_{\mu \theta} & = 0, \\ \delta g_{r \theta} & =
-\Upsilon, & \delta g_{rr} & = - \Xi, & \delta g_{\theta \theta} & =
-\gTT \Omega.
\"
6,"\begin{aligned}
\delta g^{\mu \nu} & = - \ee^{-\sigma} \eta^{\mu \nu} \Psi, & \delta
g^{\mu r} & = 0, & \delta g^{\mu \theta} & = 0,\\ \delta g^{r \theta}
& = \gTTi \Upsilon, & \delta g^{rr} & = \Xi, & \delta g^{\theta
\theta} & = \gTTi \Omega.
\"
7,"\begin{aligned}
\delta G_{\mu \nu} & = \left(\partial_\mu \partial_\nu - \eta_{\mu
\nu} \Box \right) \left( \frac{\Xi + \Omega}{2} + \Psi \right) +
\frac{1}{2} \ee^\sigma \eta_{\mu \nu} \Bigg\{3 \Psi'' + 3 \gTTi
\partial^2_\theta \Psi + \Omega'' - 2 \gTTi \partial_\theta \Upsilon' +
\gTTi \partial_\theta^2 \Xi \\
& + 3 \left(2 \sigma' + \lngTTp \right)
\Psi' - \left. \left(\frac{3}{2} \sigma' + \lngTTp
\right) \Xi' + \left[\frac{3}{2} \sigma' + 2 \left(\lngTTp\right)
\right] \Omega' - 3 \gTTi \sigma' \partial_\theta \Upsilon
\right\} + G_{\mu \nu}  \left(\Psi - \Xi \right),
\"
8,"\begin{aligned}
\delta G_{\mu r} & = \frac{1}{2} \partial_\mu \Bigg\{3 \Psi' + \Omega'
- \gTTi \partial_\theta \Upsilon - \left(\frac{3}{2} \sigma' +
\lngTTp \right) \Xi + \left(-\frac{1}{2} \sigma' + \lngTTp \right)
\Omega \Bigg\},\\
\delta G_{\mu \theta} & = \frac{1}{2} \partial_\mu
\Bigg\{\partial_\theta\left(3 \Psi + \Xi \right) - \Upsilon' -
\left(\sigma' + \lngTTp \right) \Upsilon \Bigg\},
\"
9,"\begin{aligned}
\delta G_{rr} & = \frac{1}{2} \ee^{-\sigma} \Box\left(3 \Psi +
\Omega\right) - 2 \gTTi \partial_\theta^2 \Psi + 2 \gTTi \sigma'
\partial_\theta \Upsilon - \left[3 \sigma' + 2 \left(\lngTTp \right)
\right] \Psi' - \sigma' \Omega',\\
\delta G_{\theta \theta} & = \frac{1}{2} \gTT \ee^{-\sigma} \Box
\left(3 \Psi + \Xi \right) - 2 \gTT \Psi'' + \gTT \sigma'
\left(\Xi' - 5 \Psi' \right) + \frac{1}{2} \gTT \left(4 \sigma'' + 5
\sigma'^2 \right) \left( \Xi - \Omega \right),\\
\delta G_{r \theta} & = -\frac{1}{2} \ee^{-\sigma} \Box \Upsilon +
2 \partial_\theta \Psi' - \sigma' \partial_\theta \Xi + \left[\sigma'
  - 2 \left(\lngTTp\right) \right] \partial_\theta \Psi -\frac{1}{2}
\left(4 \sigma'' + 5 \sigma'^2 \right) \Upsilon.
\"
10,"\begin{aligned}
T_{\si{AB}} & =\frac{1}{4} \left(\DD_{\si A} \Phi \right)^\dag
\left(\DD_{\si B}
\Phi \right) + \frac{1}{4} \left(\DD_{\si B} \Phi \right)^\dag
\left(\DD_{\si A} \Phi \right) \\
& - g^{\si{CD}} \F_{\si{AC}} \F_{\si{BD}} -
g_{\si{AB}} \mathcal{L}_{\matter},
\"
11,"\begin{aligned}
\delta \mathcal{L}_\matter & = \gTTi \frac{Q'}{q} \left(\GperT' -
\partial_\theta \GperR \right) + \frac{1}{2} \gTTi \frac{Q'^2}{q^2}
\left(\Xi + \Omega \right) \\ & + \frac{1}{2} \varphi'^2 \Xi +
\frac{1}{2} \gTTi \varphi^2 Q^2 \Omega + \gTTi q \varphi^2 Q \GperT \\
& - \left[ \varphi' \Chip' \gTTi \varphi Q(Q+n-p) \Chip + {\dd V\over
\dd \varphi} \Chip \right] \\ & \times \cos\left[(n-p)\theta\right].
\"
12,"\begin{aligned}
\delta T_{\mu \nu} & = \ee^{\sigma} \eta_{\mu \nu} \Bigg\{-\gTTi
\frac{Q'}{q} \left(\GperT' - \partial_\theta \GperR \right) +
\left[\varphi' \Chip' + \gTTi Q (Q-n+p) \varphi \Chip + {\dd V \over
\varphi} \Chip \right] \cos\left[(n-p)\theta\right] \\ & -
\left(\frac{1}{2} \gTTi \frac{Q'^2}{q^2} + \frac{1}{2} \varphi'^2
\right) \Xi - \left(\frac{1}{2} \gTTi \frac{Q'^2}{q^2} + \frac{1}{2}
\gTTi \varphi^2 Q^2 \right) \Omega + \left[\frac{1}{2} \gTTi
\frac{Q'^2}{q^2} + \frac{1}{2} \varphi'^2 + \frac{1}{2} \gTTi
\varphi^2 Q^2 + V(\varphi) \right] \Psi \\ & - \gTTi q \varphi^2 Q
\GperT \Bigg\},
\"
13,"\begin{aligned}
\delta T_{\mu r} & = \partial_\mu \Bigg\{- \gTTi \frac{Q'}{q}
\left(\GperT - \partial_\theta \Gper \right) + \varphi' \Chip
\cos\left[(n-p)\theta\right] \Bigg\},\\ \delta T_{\mu \theta} & =
\partial_\mu \Bigg\{ \frac{Q'}{q} \left(\GperR - \Gper' \right)
-\varphi Q \Chip \sin\left[(n-p)\theta \right] -q \varphi^2 Q \Gper
\Bigg\},
\"
14,"\begin{aligned}
\delta T_{rr} & = -\gTTi \frac{Q'}{q}\left(\GperT' -
\partial_\theta \GperR \right) + \left[ \varphi' \Chip' - \gTTi
\varphi Q(Q-n+p) \Chip - {\dd V\over\dd\varphi} \Chip \right]
\cos\left[(n-p)\theta\right] \\ & - \left[\frac{1}{2} \gTTi \varphi^2
Q^2 + V(\varphi) \right] \Xi - \left(\frac{1}{2} \gTTi
\frac{Q'^2}{q^2} - \frac{1}{2} \gTTi \varphi^2 Q^2 \right) \Omega +
\gTTi q \varphi^2 Q \GperT ,\\ 
\delta T_{\theta \theta} & =
-\frac{Q'}{q} \left(\GperT' - \partial_\theta \GperR \right) +
\left[-\gTT \varphi' \Chip' + \varphi Q(Q-n+p) \Chip - \gTT {\dd
V\over\dd\varphi} \Chip \right] \cos\left[(n-p) \theta \right] \\ & +
\left(\frac{1}{2} \gTT \varphi'^2 - \frac{1}{2}
\frac{Q'^2}{q^2}\right) \Xi - \gTT \left[ \frac{1}{2} \varphi'^2 +
V(\varphi) \right] \Omega - q \varphi^2 Q \GperT,\\ 
\delta T_{r \theta} & = \left[-\varphi Q \Chip' + \varphi'(Q-n+p)
\Chip \right] \sin\left[(n-p)\theta\right] + \left[\frac{1}{2} \gTTi
\frac{Q'^2}{q^2} - \frac{1}{2} \varphi'^2 - \frac{1}{2} \gTTi
\varphi^2 Q^2 - V(\varphi) \right] \Upsilon - q \varphi^2 Q
\GperR.
\"
15,"\begin{aligned}
\delta \F_{\mu r} & = \partial_\mu \left(\GperR - \Gper' \right),\\
\delta \F^{\mu r} & = - \ee^{-\sigma} \eta^{\mu \nu} \partial_\nu
\left(\GperR - \Gper' \right),\\ \delta \F_{\mu \theta} & =
\partial_\mu \left(\GperT - \partial_\theta \Gper \right),\\ \delta
\F^{\mu \theta} & = - \frac{\ee^{-(\sigma+\gamma)}}{\rdim^2} \eta^{\mu
\nu} \partial_\nu \left(\GperT - \partial_\theta \Gper \right).
\"
16,"\begin{aligned}
\delta \F_{r \theta} & = \GperT' - \partial_\theta \GperR,\\ \delta
\F^{r \theta} & = \gTTi \left[\frac{Q'}{q} \left(\Xi + \Omega \right)
+ \GperT' - \partial_\theta \GperR \right].
\"
