,aligned
0,"\begin{aligned}
\cot\theta &=\frac{\big ((1-x^2)\tan x^+-4x^-\big )\cos x^+}{2x}~,\\
\tan\frac{\varphi \pm \zeta}{2}&=\frac{1}{2}(1+x^2)\tan x^+~+~2x^-~\pm ~\frac{x}{\sin\theta\cos x^+}~.
\"
1,"\begin{aligned}
&x\rightarrow\infty ~,~\left\{\begin{array}{c}x^+<0 ~~(\mbox{i.e.}~\theta \rightarrow 0)\\
x^+>0~~(\mbox{i.e.}~\theta \rightarrow \pi)\end{array}\right\}\\
&\qquad\qquad\qquad\Longrightarrow ~\tan \left(\frac{\varphi+\zeta}{2}\right )\rightarrow\left\{\begin{array}{c}\mbox{finite}\\\infty\end{array}\right\}
~,~~\tan \left(\frac{\varphi-\zeta}{2}\right )\rightarrow\left\{\begin{array}{c}\infty\\\mbox{finite}\end{array}\right\}~.
\"
2,"\begin{aligned}
\rho &=\arsh\sqrt{\frac{1}{4A}\left (e^{\pm 2\sqrt A(\tau +\tau _0)}+
(B^2-4AC)e^{\mp 2\sqrt A (\tau +\tau _0)}\right )-\frac{B}{2A}}~,
\\
t&=\pm \arctan\left (\frac{e^{\pm 2\sqrt A(\tau +\tau _0)}+2A-B}{2b\sqrt A}\right )~+~t_0~,\\
f&=\pm \arctan\left (\frac{e^{\pm 2\sqrt A(\tau +\tau _0)}-B}{2\tilde b\sqrt{A}}\right )~+~f_0~,
\"
3,"\begin{aligned}
\rho &=\arsh\sqrt{\frac{1}{-2A}\big (B\pm\sqrt{B^2-4AC}\sin(2\sqrt{-A}(\tau +\tau _0))
\big )}~,\\
t&=\pm\frac{1}{2}~\arccot\left ( \frac{2\sqrt{-A}~b\cos (2\sqrt{-A}(\tau +\tau _0))}{
\sqrt{B^2-4AC}\pm (B-2A)\sin (2\sqrt{-A}(\tau +\tau _0))}  \right )~+~t_0~,\\
f&=\pm\frac{1}{2}~\arccot\left ( \frac{2\sqrt{-A}~\tilde b\cos (2\sqrt{-A}(\tau +\tau _0))}{
\sqrt{B^2-4AC}\pm B\sin (2\sqrt{-A}(\tau +\tau _0))}  \right )~+~f_0~,
\"
4,"\begin{aligned}
\rho&=\arsh\sqrt{B(\tau +\tau _0)^2-\frac{C}{B}}~,\\
t&=\arctan\left (\frac{B(\tau +\tau _0)}{b}\right )~+~t_0~,\\
f&=\arctan\left (\frac{B(\tau +\tau _0)}{\tilde b}\right )~+~f_0~,
\"
5,"\begin{aligned}
\rho&=\arsh\sqrt{\frac{B}{-2A}}~,\\
t&=\sqrt{-A}~\tau ~+~t_0~,\\
f&=\pm\sqrt{-A}~\tau ~+~f_0~.   
\"
6,"\begin{aligned}
x^+&=\frac{1}{2}\left (\arctan\big (\frac{B(\tau +\tau _0)}{b}\big )~
+~t_0~+~\psi\right )~,\\
x^-&=\frac{R^2}{2}\left (\arctan\big (\frac{B(\tau +\tau _0)}{b}\big )~
+~t_0~-~\psi\right )~,\\
r&=R~\arsh\sqrt{B(\tau +\tau _0)^2-\frac{C}{B}}~,\\
f&=\arctan\big (\frac{B(\tau +\tau _0)}{\tilde b}\big )~
+~f_0~,\\
y&=R~\theta ~.
\"
7,"\begin{aligned}
x^+&=\frac{x^-}{R^2}~+~\psi ~,\\
r&=R~\arsh\sqrt{\frac{\tan ^2(\frac{2x^-}{R^2}-t_0+\psi )~+~\frac{\tilde b^2}{b^2}}{1~-~\frac{\tilde b^2}{b^2}}}~,\\
f&=f_0~+~\arctan\left (\frac{b}{\tilde b}\tan\big (\frac{2x^-}{R^2}-t_0+\psi \big )\right )~,\\
y&=R~\theta ~.
\"
8,"\begin{aligned}
x^+&=\psi ~+~O\big (\frac{1}{R^2}\big )~,\\
r&=r_0~+~O\big (\frac{1}{R^2}\big )~,\\
f&=f_0~+~O\big (\frac{1}{R^2}\big )~,\\
y&=\mbox{const}~.
\"
9,"\begin{aligned}
\frac{r}{R}&=F\big (\frac{x^-}{R^2}\big )~,~~~\mbox{with}~~F(z)~=~\arsh\vert\tan(2z)\vert ~,\\
f&=f_0~\pm~\frac{\pi}{2}~\big (2\Theta (x^-) -1\big )~.
\"
