,definition
0,"\begin{definition}
    \label{definition:starproduct}
    A star product $\star$ for $M$ is an associative
    $\mathbbm{C}[[\lambda]]$-bilinear product for
    $C^\infty(M)[[\lambda]]$,
    \begin{equation}
        \label{eq:starproduct}
        f \star g = \sum_{r=0}^\infty \lambda^r C_r(f,g),
    \end{equation}
    such that
    \begin{enumerate}
    \item $f \star g = fg + \cdots$,
    \item $f \star g - g \star f = {\mathrm i}\lambda\{f,g\} + \cdots$,
    \item $f \star 1 = f = 1 \star f$,
    \item $C_r$ is a bidifferential operator.
    \end{enumerate}
    If in addition $\overline{{f \star g}} = \overline{{g}} \star \overline{{f}}$ then the
    star product is called Hermitian.
\"
1,"\begin{definition}
    \label{definition:equivalence}
    Two star products $\star$ and $\star'$ are called equivalent if
    there is a formal series of differential operators $S = {\mathsf{id}} +
    \sum_{r=1}^\infty \lambda^r S_r$ such that (\ref{eq:newstar}) holds.
\"
2,"\begin{definition}
    \label{definition:PosPowerSer}
    A real formal power series $a = \sum_{r=r_0}^\infty \lambda^r
    a_r \in \mathbbm{R}[[\lambda]]$ is positive if $a_{r_0} > 0$.
\"
3,"\begin{definition}
    \label{definition:OrderedRing}
    An associative, commutative, unital ring ${\mathsf{{R}}}$ is called
    ordered with positive elements ${\mathsf{{P}}} \subseteq {\mathsf{{R}}}$ if 
    ${\mathsf{{P}}} \cdot {\mathsf{{P}}} \subseteq {\mathsf{{P}}}$, ${\mathsf{{P}}} + {\mathsf{{P}}}
    \subseteq {\mathsf{{P}}}$ and ${\mathsf{{R}}}$ is the disjoint union ${\mathsf{{R}}}
    = -{\mathsf{{P}}} \cup \{0\} \cup {\mathsf{{P}}}$.
\"
4,"\begin{definition}
    \label{definition:PreHilbert}
    A pre Hilbert space $\mathcal{H}$ over ${\mathsf{{C}}}$ is a
    ${\mathsf{{C}}}$-module with inner product ${\left\langle{{\cdot,\cdot}}\right\rangle}:
    \mathcal{H} \times \mathcal{H} \to {\mathsf{{C}}}$ such that
    \begin{enumerate}
    \item ${\left\langle{{\phi, z\psi + w \chi}}\right\rangle} = z {\left\langle{{\phi,\psi}}\right\rangle} + w
        {\left\langle{{\phi,\chi}}\right\rangle}$ for $\phi,\psi,\chi \in \mathcal{H}$ and $z,w
        \in {\mathsf{{C}}}$.
    \item ${\left\langle{{\phi,\psi}}\right\rangle} = \overline{{{\left\langle{{\psi,\phi}}\right\rangle}}}$ for $\phi, \psi \in
        \mathcal{H}$.
    \item ${\left\langle{{\phi,\phi}}\right\rangle} > 0$ for $\phi \ne 0$.
    \end{enumerate}
\"
5,"\begin{definition}
    \label{definition:starAlg}
    An associative algebra $\mathcal{A}$ over ${\mathsf{{C}}}$ is called
    $^*$-algebra if it is equipped with an involutive anti-linear
    anti-automorphism $^*:\mathcal{A} \to \mathcal{A}$, called the
    $^*$-involution. A $^*$-homomorphism $\Phi: \mathcal{A} \to
    \mathcal{B}$ between $^*$-algebras is an algebra morphism with
    $\Phi(A^*) = \Phi(A)^*$.
\"
6,"\begin{definition}
    \label{definition:SRepA}
    A $^*$-representation $\pi$ of $\mathcal{A}$ on $\mathcal{H}$ is a
    $^*$-homomorphism $\pi: \mathcal{A} \to \mathcal{B}(\mathcal{H})$.
\"
7,"\begin{definition}
    \label{definition:RepTheory}
    The representation theory of $\mathcal{A}$ is the category
    $\Rep(\mathcal{A})$ of all $^*$-representations of $\mathcal{A}$
    with intertwiners as morphisms.
\"
8,"\begin{definition}
    \label{definition:PosFun}
    Let $\mathcal{A}$ be a $^*$-algebra over ${\mathsf{{C}}}$. A linear
    functional $\omega: \mathcal{A} \to {\mathsf{{C}}}$ is called positive
    if
    \begin{equation}
        \label{eq:posfundef}
        \omega(A^*A) \ge 0
    \end{equation}
    for all $A \in \mathcal{A}$. It is called a state of $\mathcal{A}$
    if in addition $\omega(\mathbbm{1}) = 1$. Then the value $\omega(A)$ is
    called the expectation value of $A \in \mathcal{A}$ in the state
    $\omega$.
\"
9,"\begin{definition}
    \label{definition:posdef}
    A Hermitian deformation $\star$ of a $^*$-algebra $\mathcal{A}$
    over ${\mathsf{{C}}}$ is called a positive deformation if for any
    positive linear functional $\omega_0: \mathcal{A} \to {\mathsf{{C}}}$
    there exist `quantum corrections' $\omega_r$ such that
    \begin{equation}
        \label{eq:defposfun}
        \omega = \sum_{r=0}^\infty \lambda^r \omega_r:
        \mathcal{A}[[\lambda]] \to {\mathsf{{C}}}[[\lambda]]
    \end{equation}
    is positive with respect to $\star$.
\"
10,"\begin{definition}
    \label{definition:SuffPos}
    A $^*$-algebra $\mathcal{A}$ over ${\mathsf{{C}}}$ has sufficiently many
    positive linear functionals if for any $0 \ne H = H^* \in
    \mathcal{A}$ there exists a positive functional $\omega$ with
    $\omega(H) \ne 0$.
\"
11,"\begin{definition}[Strong Morita equivalence \protect{\cite{bursztyn.waldmann:2001a}}]
    \label{definition:morita}
    Two unital $^*$-al\-ge\-bras $\mathcal{A}$, $\mathcal{B}$ are
    called strongly Morita equivalent if one finds a bimodule
    $\mathcal{E}$ with compatible completely positive inner products
    which are both full.
\"
