,fractions
0,\frac{1}{n!}
1,\frac{1}{4}
2,\frac{1}{2}
3,\frac{N^2-1}{128\pi^2}
4,\frac{1}{6}
5,\frac{N^2-1}{ 128\pi^2}
6,\frac{1}{2}
7,\frac{N^2-1}{128\pi^2}
8,\frac{1}{4}
9,\frac{1}{3}
10,\frac{1}{2}
11,\frac{1}{2}
12,\frac{1}{4}
13,\frac{3}{8}
14,\frac{1}{6}
15,\frac{1}{4}
16,\frac{i\sqrt{6}}{8}
17,\frac{l^2}{r^2}
18,\frac{3}{4}
19,\frac{l}{2}
20,\frac{3}{2}
21,\frac{1}{h_0}
22,\frac{4}{l}
23,\frac{2}{3}
24,\frac{3l^2}{8}
25,\frac{1}{2}
26,\frac{1}{2}
27,\frac{3l^2}{32}
28,\frac{3i}{4l}
29,\frac{3il}{32}
30,\frac{6}{l^2}
31,\frac{1}{2}
32,\frac{il}{16}
33,\frac{i}{2l}
34,\frac{i}{l}
35,\frac{l}{r}
36,\frac{l}{r}
37,\frac{l}{r}
38,\frac{3i}{2}
39,\frac{1}{2r}
40,\frac{1}{4}
41,\frac{3}{4}
42,\frac{l}{r}
43,\frac{r}{l}
44,\frac{1}{r}
45,\frac{3}{2r}
46,\frac{1}{2}
47,\frac{1}{2}
48,\frac{1}{2r}
49,\frac{2l}{r}
50,\frac{1}{3}
51,\frac{i}{12}
52,\frac{2l}{r}
53,\frac{1}{2}
54,\frac{3i}{4}
55,\frac{1}{2}
56,\frac{6}{l^2}
57,\frac{1}{2}
58,\frac{6}{l^2}
59,\frac{1}{2}
60,\frac{1}{2}
61,\frac{6}{l^2}
62,\frac{3 l^2}{32}
63,\frac{3l^2}{32}
64,\frac{3l^2}{64}
65,\frac{3il}{8}
66,\frac{3il}{8}
67,\frac{2}{3}
68,\frac{1}{2}
69,\frac{1}{2}
70,\frac{3}{4}
71,\frac{1}{2}
72,\frac{3}{4}
73,\frac{1}{2}
74,\frac{3}{4}
75,\frac{il}{16}
76,\frac{i}{2l}
77,\frac{3}{4}
78,\frac{3}{4}
79,\frac{il}{16}
80,\frac{i}{2l}
81,\frac{3}{4}
82,\frac{3}{4}
83,\frac{il}{16}
84,\frac{i}{2l}
85,\frac{1}{2}
86,\frac{3}{4}
87,\frac{il}{16}
88,\frac{il}{16}
89,\frac{3}{4}
90,\frac{il}{4}
91,\frac{il}{4}
92,\frac{3}{4}
93,\frac{i}{2l}
94,\frac{3}{4}
95,\frac{i}{2l}
96,\frac{1}{8}
97,\frac{1}{2}
98,\frac{3}{4}
99,\frac{3}{4}
100,\frac{il}{16}
101,\frac{il}{8}
102,\frac{3il}{4}
103,\frac{3il}{32}
104,\frac{9il}{16}
105,\frac{il}{4}
106,\frac{il}{2}
107,\frac{3il}{8}
108,\frac{i}{2l}
109,\frac{3i}{2l}
110,\frac{3i}{l}
111,\frac{9i}{4l}
112,\frac{3i}{4l}
113,\frac{3i}{4l}
114,\frac{3i}{4l}
115,\frac{3}{4}
116,\frac{il}{16}
117,\frac{i}{2l}
118,\frac{3}{4}
119,\frac{il}{16}
120,\frac{i}{2l}
121,\frac{3i}{4l}
122,\frac{3}{4}
123,\frac{il}{16}
124,\frac{il}{4}
125,\frac{2i}{l}
126,\frac{3i}{2l}
127,\frac{9i}{8}
128,\frac{3}{16}
129,\frac{3}{16}
130,\frac{3}{l^2}
131,\frac{3il}{32}
132,\frac{3il}{32}
133,\frac{3}{4}
134,\frac{il}{16}
135,\frac{i}{2l}
136,\frac{3}{4}
137,\frac{il}{16}
138,\frac{i}{2l}
139,\frac{3}{4}
140,\frac{il}{16}
141,\frac{i}{2l}
142,\frac{3}{4}
143,\frac{il}{16}
144,\frac{i}{2l}
145,\frac{3il}{32}
146,\frac{3}{4}
147,\frac{il}{16}
148,\frac{il}{4}
149,\frac{i}{2l}
150,\frac{3}{4}
151,\frac{il}{16}
152,\frac{il}{4}
153,\frac{i}{2l}
154,\frac{3il}{8}
155,\frac{9il}{32}
156,\frac{3il}{16}
157,\frac{9il}{64}
158,\frac{3l^2}{64}
159,\frac{3l^2}{64}
160,\frac{3l^2}{32}
161,\frac{3l^2}{32}
162,\frac{3}{16}
163,\frac{3}{16}
164,\frac{9il}{16}
165,\frac{1}{2}
166,\frac{3}{8}
167,\frac{3il}{32}
168,\frac{9}{4}
169,\frac{3l^2}{64}
170,\frac{1}{2}
171,\frac{1}{2!}
172,\frac{1}{2}
173,\frac{1}{8}
174,\frac{1}{2}
175,\frac{1}{2}
176,\frac{1}{2}
177,\frac{1}{4}
178,\frac{3i\sqrt{6}l^3}{32}
179,\frac{9il}{16}
180,\frac{1}{2}
181,\frac{3}{8}
182,\frac{3il}{32}
183,\frac{9}{4}
184,\frac{l^2}{32}
185,\frac{l^3}{32}
186,\frac{l^2}{r^2}
187,\frac{G^{(10)}}{l^5\pi^3}
188,\frac{l^3}{32}
189,\frac{N^2}{128\pi^2}
190,\frac{1}{128\pi^2}
