,equation
0,"\begin{equation}
\label{biff}
\nu=q_iK_{ij}^{-1}q_j,
\"
1,"\begin{equation}
\rho={1\over 2\pi \theta}
\"
2,"\begin{equation}
\nu= {2\pi\rho\over B}
\"
3,"\begin{equation}
\nu = {1\over B\theta}.
\"
4,"\begin{equation}
\begin{array}{l}
\label{act}
S = \int dt {B \over 2} {\rm Tr} 
\{ \epsilon^{ab} (\dot{X} _a + i [A_0,~ X_a]) X_b + 2
\theta A_0 - \omega X_a ^2\} 
+ \psi^{\dag}(i \dot{\psi} - A_0 \psi)
\label{action}
\end{array}
\"
5,"\begin{equation}
\begin{array}{l}
X_a \rightarrow U X_a U^{-1},~~~~~~~~~
\psi \rightarrow U \psi.
\label{transf}
\end{array}
\"
6,"\begin{equation}
G \equiv -iB [X_1,~X_2] + \psi \psi^{\dag} -B \theta =0.
\label{constraint}
\"
7,"\begin{equation}
\psi^{\dag} \psi = N B \theta.
\label{trace}
\"
8,"\begin{equation}
\begin{array}{l}
[ \psi_i,~ \psi_j^{\dag} ]  =  \delta _{ij} \nonumber  \\
\bigl[ (X_1 ) _{ij},~ (X_2 ) _{kl} \bigr]  =  
{i \over B} \delta _{il} ~\delta _{jk}.
\label{CR}
\end{array}
\"
9,"\begin{equation}
H = \omega ( { N^2 \over 2} + \sum A_{nm}^{\dag} A_{mn})
\label{hamiltonian}
\"
10,"\begin{equation}
A_{nm} = \sqrt{B \over 2} (X_1 + i X_2)_{nm}.
\"
11,"\begin{equation}
\mid k \rangle = \bigl[ \epsilon ^{i_1 ... i_N} \psi^{\dag}_{i_1} 
(\psi^{\dag}
A^{\dag})_{i_2}\cdots(\psi^{\dag} A^{\dag N-1})_{i_N} \bigr] ^k \mid 0 \rangle
\label{state}
\"
12,"\begin{equation}
G \mid k \rangle =0.
\"
13,"\begin{equation}
\nu={1\over k+1}.
\"
14,"\begin{equation}
\nu _{k_{1} k_{2}}=\frac{1}{k_{1}}+\frac{1}{k_{2}},
\"
15,"\begin{equation}
\nu _{p_{1} p_{2}} = {p_2\over p_1p_2 -1},
\"
16,"\begin{equation}
k_1=p_1, \qquad k_2=p_1(p_1p_2 -1)
\"
17,"\begin{equation}
\begin{array}{l}
\label{TACT}
S= \int \;dt\; \sum_j {K_{jj}\over 2\theta}\; {\rm Tr} 
\left\{ \epsilon^{ab} (\dot{X}_a^{(j)} + 
i [A_0,~ X_a^{(j)}]) X_b^{(j)} 
+ 2\theta A_0 -\omega_j (X_a^{(j)}) ^2 \right\} \\
\ \ \ \ \ \
+  \psi^{(j)\dag}(i \dot{\psi}^{(j)} - A_0\psi^{(j)})
+ \int dt\; K_{12}\; \left\{ {\omega_{12}\over\theta}\;
{\rm Tr}(X_a^{(1)}X_a^{(2)})
+  \psi^{(1)}\psi^{(2)} \right\}
\end{array}
\"
18,"\begin{equation}
\begin{array}{l}
X_a^{(i)} \rightarrow U X_a^{(i)} U^{-1},~~~~~~~~~
\psi^{(i)} \rightarrow U \psi^{(i)}.
\end{array}
\label{ctransf}
\"
