,equation
0,"\begin{equation}\label{PB-g-g}
\{\,g_{ab}(z,\bar z),\, g_{cd}(y,\bar y)\,\}=\frac{\gamma^2}{4}\,
\,\Theta\,[2 g_{ad}(z,\bar y)\,g_{cb}(y,\bar z)-
g_{ab}(z,\bar z)\,g_{cd}(y,\bar y)],
\"
1,"\begin{equation}\label{H}
 e^{\alpha t_0}=\left( \begin{array}{cr}
  \cos\alpha&-\sin\alpha\\\sin\alpha&\cos\alpha \end{array}\right),
~~~e^{\alpha t_2}  =\left( \begin{array}{cr}
  e^\alpha&~0~~\\0&~e^{-\alpha} \end{array}\right),~~~
e^{\alpha t_+} =\left( \begin{array}{cr}
  1&0\\\alpha&1 \end{array}\right),
\"
2,"\begin{equation}\label{g=c,v_n}
  g=cI+v^n~t_n= \left( \begin{array}{cr}
  c-v_2&-v_1-v_0\\-v_1+v_0&c+v_2 \end{array}\right),~~~~~\mbox{with}~~~~~
c^2+v^nv_n=1,
\"
3,"\begin{equation}\label{Compact}
{\mathcal L}_G^{(1)} |=\frac{1}{\gamma^2}\,\,
 \frac{\partial_zv_1 \partial_{\bar z}v_1 +
\partial_zv_2\partial_{\bar z}v_2}{1+v_1^2 + v_2^2},~~~~~~~~
{\mathcal L}_G^{(2)} |=\frac{1}{\gamma^2}\,\,
 \frac{\partial_zc \partial_{\bar z}c +
\partial_zv_0\partial_{\bar z}v_0}{c^2 + v_0^2-1}.
\"
4,"\begin{equation}\label{Non-compact}
{\mathcal L}_G^{(3)} |=\frac{1}{\gamma^2}\,\,
 \frac{\partial_zv_1 \partial_{\bar z}v_1 -
\partial_zv_0\partial_{\bar z}v_0}{1+v_1^2 - v_0^2},~~~~~~~~
{\mathcal L}_G^{(4)} |=\frac{1}{\gamma^2}\,\,
 \frac{\partial_zv_2 \partial_{\bar z}v_2 -
\partial_zc\partial_{\bar z}c}{1+ v_2^2-c^2 },
\"
5,"\begin{equation}\label{regular}
v_0>\sqrt{1+v_1^2},~~~-\sqrt{1+v_1^2}<v_0<\sqrt{1+v_1^2},~~~ 
v_0<-\sqrt{1+v_1^2}, 
\"
6,"\begin{equation}\label{Nilpotent}
{\mathcal L}_G^{(5)} |={\mathcal L}_G^{(6)} |=\frac{1}{\gamma^2}\,\,
 \frac{\partial_zV \partial_{\bar z}V}{V^2}.
\"
7,"\begin{equation}\label{Free}
{\mathcal L}_G^{(5)} |={\mathcal L}_G^{(6)} |=
 \partial_z\phi \partial_{\bar z}\phi.
\"
8,"\begin{equation}\label{Expo}
e^{-\gamma\varphi(z, \bar z)}=\psi(z)\bar\psi(\bar z)+\chi(z)\bar\chi(\bar z)
\"
9,"\begin{equation}\label{Lio}
\partial_{z\bar z}\, \varphi +\mu e^{2\gamma\varphi}=0.
\"
10,"\begin{equation}\label{PB-g-g}
\{\,g_{ab}(z,\bar z),\, g_{cd}(y,\bar y)\,\}=\frac{\gamma^2}{4}\,
\,\Theta\,[2 g_{ad}(z,\bar y)\,g_{cb}(y,\bar z)-
g_{ab}(z,\bar z)\,g_{cd}(y,\bar y)],
\"
11,"\begin{equation}\label{H}
 e^{\alpha t_0}=\left( \begin{array}{cr}
  \cos\alpha&-\sin\alpha\\\sin\alpha&\cos\alpha \end{array}\right),
~~~e^{\alpha t_2}  =\left( \begin{array}{cr}
  e^\alpha&~0~~\\0&~e^{-\alpha} \end{array}\right),~~~
e^{\alpha t_+} =\left( \begin{array}{cr}
  1&0\\\alpha&1 \end{array}\right),
\"
12,"\begin{equation}\label{g=c,v_n}
  g=cI+v^n~t_n= \left( \begin{array}{cr}
  c-v_2&-v_1-v_0\\-v_1+v_0&c+v_2 \end{array}\right),~~~~~\mbox{with}~~~~~
c^2+v^nv_n=1,
\"
13,"\begin{equation}\label{Compact}
{\mathcal L}_G^{(1)} |=\frac{1}{\gamma^2}\,\,
 \frac{\partial_zv_1 \partial_{\bar z}v_1 +
\partial_zv_2\partial_{\bar z}v_2}{1+v_1^2 + v_2^2},~~~~~~~~
{\mathcal L}_G^{(2)} |=\frac{1}{\gamma^2}\,\,
 \frac{\partial_zc \partial_{\bar z}c +
\partial_zv_0\partial_{\bar z}v_0}{c^2 + v_0^2-1}.
\"
14,"\begin{equation}\label{Non-compact}
{\mathcal L}_G^{(3)} |=\frac{1}{\gamma^2}\,\,
 \frac{\partial_zv_1 \partial_{\bar z}v_1 -
\partial_zv_0\partial_{\bar z}v_0}{1+v_1^2 - v_0^2},~~~~~~~~
{\mathcal L}_G^{(4)} |=\frac{1}{\gamma^2}\,\,
 \frac{\partial_zv_2 \partial_{\bar z}v_2 -
\partial_zc\partial_{\bar z}c}{1+ v_2^2-c^2 },
\"
15,"\begin{equation}\label{regular}
v_0>\sqrt{1+v_1^2},~~~-\sqrt{1+v_1^2}<v_0<\sqrt{1+v_1^2},~~~ 
v_0<-\sqrt{1+v_1^2}, 
\"
16,"\begin{equation}\label{Nilpotent}
{\mathcal L}_G^{(5)} |={\mathcal L}_G^{(6)} |=\frac{1}{\gamma^2}\,\,
 \frac{\partial_zV \partial_{\bar z}V}{V^2}.
\"
17,"\begin{equation}\label{Free}
{\mathcal L}_G^{(5)} |={\mathcal L}_G^{(6)} |=
 \partial_z\phi \partial_{\bar z}\phi.
\"
18,"\begin{equation}\label{Expo}
e^{-\gamma\varphi(z, \bar z)}=\psi(z)\bar\psi(\bar z)+\chi(z)\bar\chi(\bar z)
\"
19,"\begin{equation}\label{Lio}
\partial_{z\bar z}\, \varphi +\mu e^{2\gamma\varphi}=0.
\"
