,aligned
0,"\begin{aligned}
\nu (x)&=\mathbf{g}_{H}(x)\mathbf{g}_{N}(x)\\
\\
&=e^{\frac{1}{2}\phi ^{i}(x)H_{i}}e^{\chi
^{m}(x)E_{m}}.
\"
1,"\begin{aligned}
\nu ^{\#}&=\tau (\nu ^{-1})\\
\\
&= e^{\chi ^{m}E_{-m}}e^{\frac{1}{2}\phi
^{i}H_{i}}.
\"
2,"\begin{aligned}
\mathcal{G}_{0}&=d\nu \nu ^{-1}\\
\\
&=(d\mathbf{g}_{H}\mathbf{g}_{N}+\mathbf{g}_{H}d\mathbf{g}%
_{N})(\mathbf{g}_{N}^{-1}\mathbf{g}_{H}^{-1})\\
\\
&=d\mathbf{g}_{H}\mathbf{g}_{H}^{-1}+\mathbf{g}_{H}d\mathbf{g}_{N}\mathbf{g}_{N}^{-1}\mathbf{g}_{H}^{-1}.
\"
3,"\begin{aligned}
d\mathbf{g}_{H}\mathbf{g}_{H}^{-1}&= de^{\frac{1}{2}\phi
^{i}H_{i}}e^{-\frac{1}{2}\phi ^{i}H_{i}}\\
\\
&=\frac{1}{2}d\phi ^{i}H_{i}
\"
4,"\begin{aligned}
d\mathbf{g}_{N}\mathbf{g}_{N}^{-1}&=de^{\chi ^{m}E_{m}}e^{-\chi ^{m}E_{m}}\\
\\
&=d\chi ^{m}E_{m}+\frac{1}{2!}[\chi ^{m}E_{m},d%
\chi ^{n}E_{n}]+\frac{1}{3!}[\chi ^{m}E_{m},[\chi ^{l}E_{l},d\chi
^{n}E_{n}]]+....\\
\\
&=d\chi ^{m}E_{m}+\frac{1}{2!}\chi ^{m}d\chi
^{n}K_{mn}^{v}E_{v}+\frac{1}{3!}\chi ^{m}\chi ^{l}d\chi
^{n}K_{ln}^{v}K_{mv}^{u}E_{u}+....\\
\\
&=\overset{\rightharpoonup}{\mathbf{E
}}\:\mathbf{\Omega }\:\overset{\rightharpoonup }{d\chi }.
\"
5,"\begin{aligned}
\mathbf{g}_{H}d\mathbf{g}_{N}\mathbf{g}_{N}^{-1}\mathbf{g}_{H}^{-1}&=%
e^{\frac{1}{2}\phi ^{i}H_{i}}(\overset{\rightharpoonup }{\mathbf{E}}%
\:\mathbf{\Omega }\:\overset{\rightharpoonup }{d\chi })e^{-\frac{1%
}{2}\phi ^{i}H_{i}}\\
\\
&=\overset{\rightharpoonup }{
\mathbf{E}^{\prime }}\:\mathbf{\Omega }\:\overset{\rightharpoonup }{d\chi
}.
\"
6,"\begin{aligned}
\mathcal{G}_{0}&=d\nu \nu ^{-1}\\
\\
&=\frac{1}{2}d\phi ^{i}H_{i}+e^{%
\frac{1}{2}\alpha _{i}\phi ^{i}}F^{\alpha }E_{\alpha }
\"
7,"\begin{aligned}
d(e^{\frac{1}{2}\gamma _{i}\phi ^{i}}\ast F^{\gamma })&=d(e
^{-\frac{1}{2}\gamma _{i}\phi ^{i}}e^{\gamma _{i}\phi ^{i}}\ast
F^{\gamma })\\
\\
&=-\frac{1}{2}\gamma _{j}e^{-\frac{1}{2}\gamma _{i}\phi ^{i}}d\phi ^{j}\wedge e
^{\gamma _{i}\phi ^{i}}\ast F^{\gamma }\\
\\
&+\sum\limits_{\alpha -\beta =-\gamma }
e^{-\frac{1}{2}\gamma _{i}\phi ^{i}}N_{\alpha ,-\beta }F^{\alpha
}\wedge e^{\beta _{i}\phi ^{i}}\ast F^{\beta }\\
\\
&=-\frac{1}{2}\gamma _{j}e^{\frac{1}{2}\gamma _{i}\phi ^{i}}d\phi ^{j}\wedge \ast
F^{\gamma }+\sum\limits_{\alpha -\beta =-\gamma }e^{\frac{1}{2}
\alpha _{i}\phi ^{i}}e^{\frac{1}{2}\beta _{i}\phi ^{i}}N_{\alpha
,-\beta }F^{\alpha }\wedge \ast F^{\beta }.
\"
8,"\begin{aligned}
d\mathcal{G}^{\prime }-\mathcal{G}^{\prime }\wedge \mathcal{G}^{\prime }&=%
\frac{1}{2}d(\ast d\phi ^{i})\widetilde{H}_{i}+d(e^{\frac{1}{2%
}\alpha _{i}\phi ^{i}}\ast F^{\alpha })\widetilde{E}_{\alpha }-\frac{1}{4}d%
\phi ^{j}\wedge \ast d\phi ^{i}[H_{j},\widetilde{H}_{i}]\\
\\
&-\frac{1}{2}d\phi ^{j}\wedge e^{\frac{1}{2}\alpha _{i}\phi
^{i}}\ast F^{\alpha }[H_{j},\widetilde{E}_{\alpha }]-\frac{1}{2}e^{%
\frac{1}{2}\alpha _{i}\phi ^{i}}F^{\alpha }\wedge \ast d\phi
^{j}[E_{\alpha },\widetilde{H}_{j}] \\
\\
&-e^{\frac{1}{2}\alpha _{i}\phi ^{i}}e^{\frac{1}{2}\beta
_{i}\phi ^{i}}F^{\alpha }\wedge \ast F^{\beta }[E_{\alpha },\widetilde{E}%
_{\beta }].
\"
9,"\begin{aligned}
\mathcal{G=}d\nu ^{\prime }\nu ^{\prime -1}&=\mathcal{G}_{0}+e^{%
\frac{1}{2}\phi ^{i}H_{i}}e^{\chi ^{m}E_{m}}de^{%
\widetilde{\chi }^{m}\widetilde{E}_{m}}e^{-\widetilde{\chi }^{m}%
\widetilde{E}_{m}}e^{-\chi ^{m}E_{m}}e^{-\frac{1}{2}\phi
^{i}H_{i}}\\
\\
&+e^{\frac{1}{2}\phi ^{i}H_{i}}%
e^{\chi ^{m}E_{m}}e^{\widetilde{\chi }^{m}\widetilde{E}%
_{m}}de^{\frac{1}{2}\widetilde{\phi }^{i}\widetilde{H}_{i}}%
e^{-\frac{1}{2}\widetilde{\phi }^{i}\widetilde{H}_{i}}e^{-%
\widetilde{\chi }^{m}\widetilde{E}_{m}}e^{-\chi ^{m}E_{m}}e%
^{-\frac{1}{2}\phi ^{i}H_{i}}.
\"
