,equation
0,\begin{equation} \eqalign{#2} \label{#1} \
1,"\begin{equation}
z_1= x^4 + i x^5\ , \quad
z_2= x^6 + i x^7\ , \quad
z_3= x^8 + i x^9\ .
\"
2,"\begin{equation}
z_1\rightarrow \exp( \pi i \theta_1) z_1\ , \qquad
z_2\rightarrow \exp( \pi i \theta_2) z_2\ , \qquad
z_3\rightarrow \exp( \pi i \theta_3) z_3\ ,
\"
3,"\begin{equation}
\theta_1+ \theta_2+ \theta_3 = 2 \quad {\rm mod~~ 2{\bf Z}}
\ .
\"
4,"\begin{equation}
\partial X (z) \sigma_+ (w) \sim
(z-w)^{\theta-1} \tau_+\ , \qquad
\partial \bar X (z) \sigma_+ (w) \sim
(z-w)^{- \theta} \tau_+'\ .
\"
5,"\begin{equation}
\psi (z) s_+ (w) \sim
(z-w)^{\theta- 1/2} t_+\ , \qquad
\bar \psi (z) s_+ (w) \sim
(z-w)^{1/2- \theta} t_+'\ .
\"
6,"\begin{equation}
\langle H(z) H(w) \rangle =- \log (z-w)
\ ,
\"
7,"\begin{equation}
\psi= \exp (iH)\ ,\quad
\bar \psi= \exp(-iH) \ ,\quad
s_+ =
\exp [i(\theta - 1/2) H]\ .
\"
8,"\begin{equation}
\Delta_s = {1\over 2}\left (\theta- {1\over 2} \right )^2
\ .
\"
9,"\begin{equation}
\Delta_s + \Delta_\sigma= 1/8
\ ,
\"
10,"\begin{equation}
V_+ = \lambda^i_{\ I}
e^{-\phi/2} S^{\alpha} e^{ik_\mu X^\mu}
\prod_{i=1}^3 (\sigma_+^i s_+^i)
\"
11,"\begin{equation}
V_- = \tilde \lambda^I_{\ i}
e^{-\phi/2} S^{\dot \alpha} e^{ik_\mu X^\mu}
\prod_{i=1}^3 (\sigma_-^i s_-^i)
\ .\"
12,"\begin{equation}
\int_0^1 dx \langle V_- (0) V_+ (x) V_- (1) V_+ (\infty) \rangle
\ .
\"
13,"\begin{equation}
\langle \sigma_- (0) \sigma_+ (x) \sigma_- (1)
\sigma_+ (\infty) \rangle \sim \sqrt{\sin (\pi \theta)}
[ x (1-x)]^{-2 \Delta_\sigma} [F(x) F(1-x)]^{-1/2}
\ ,
\"
14,"\begin{equation}
F(x)\equiv F(\theta,1-\theta; 1; x)
\"
15,"\begin{equation}
\langle s_- (0) s_+ (x) s_- (1)
s_+ (\infty)\rangle =
[ x (1-x)]^{-2 \Delta_s}
\ ,
\"
16,"\begin{equation}
\langle e^{-\phi/2} (0) e^{-\phi/2} (x) e^{-\phi/2} (1)
e^{-\phi/2} (\infty)\rangle =
[ x (1-x)]^{-1/4}
\ .
\"
17,"\begin{equation}
\langle \exp [i (h_1- h_2)/2] (0) \exp [i (h_1+ h_2)/2] (x)
\exp [- i (h_1- h_2)/2] (1)
\exp [-i (h_1+ h_2)/2] (\infty)\rangle
\ .
\"
18,"\begin{equation}
s=- (k_1+ k_2)^2\ ,\qquad
t=- (k_2+ k_3)^2
\ ,
\"
19,"\begin{equation}  \label{ampl}
\eqalign{A_4 &(k_1,k_2 ,k_3,k_4)=i C (2\pi)^4 \delta^4
(\sum_{i=1}^4 k_i) \bar u_1 \gamma^\mu u_2 \bar u_3 \gamma_\mu u_4
\ \Tr\left(\tilde\lambda_1 \lambda_2 \tilde\lambda_3
\lambda_4+\tilde\lambda_1 \lambda_4 \tilde\lambda_3 \lambda_2\right) \cr
&\cdot \int_0^1 dx x^{-1-\alpha' s} (1-x)^{-1-\alpha' t}
\prod_{i=1}^3 \sqrt{\sin (\pi \theta_i)} [ F(\theta_i ,
1-\theta_i; 1; x) F(\theta_i , 1-\theta_i; 1; 1-x) ]^{-1/2} \
,\cr}
\"
20,"\begin{equation} \label{asymptotics}
F(x) \rightarrow 1\ ,\qquad
F(1-x) \rightarrow {\sin (\pi\theta)\over \pi} \ln (\delta/x)
\ ,
\"
21,"\begin{equation}
\ln \delta (\theta)= 2 \psi(1) - \psi(\theta) -\psi(1-\theta)
\ .
\"
22,"\begin{equation} \label{proper}
\sim \pi^{3/2} \int_0 {dx\over x} [\ln (1/x)]^{-3/2}
\"
