,fractions
0,\frac{NT_0}{2}
1,\frac{r^2}{L^2}
2,\frac{P_\phi}{L}
3,\frac{\tilde N}{P_\phi}
4,\frac{\tilde N}{L^4}
5,\frac{2}{a}
6,\frac{2}{a}
7,\frac{1}{a}
8,\frac{1}{a^2}
9,\frac{L^4\sin^4{\theta}}{a^2}
10,\frac{L^2\sin^2{\theta}}{4}
11,\frac{L^2\sin^2{\theta}}{4}
12,\frac{1}{8}
13,\frac{L^2 \sin^2 \theta}{4 R^2}
14,\frac{1}{4}
15,\frac{x_3}{R (x_1^2 + x_2^2)}
16,\frac{L^4 \sin^4 {\theta}}{8 R^3}
17,\frac{L^2 \sin^2\theta}{4 R^2}
18,\frac{L^8\sin^6{\theta}\cos^2{\theta}}{16 R^2(N^2-1)}
19,\frac{L^8\sin^8{\theta}}{16 R^4(N^2-1)}
20,"\frac{L^4\sin^4{\theta}}
{4\sqrt{N^2-1}}+\frac{L^8\sin^6{\theta}\cos^2{\theta}}{32(N^2-1)}"
21,"\frac{L^4\sin^4{\theta}}
{2\sqrt{N^2-1}}+\frac{L^8\sin^6{\theta}}{16(N^2-1)}"
22,\frac{NT_0}{L}
23,\frac{4\sqrt{N^2-1}}{L^4}
24,\frac{T_0}{4}
25,\frac{{\tilde N}}{P_\phi}
26,\frac{L^4}{4N}
27,\frac{r^2}{L^2}
28,\frac{r^4}{L}
29,\frac{1}{L}
30,\frac{r^2}{L^2}
31,\frac{{\tilde N}^2r^6}{L^6}
32,\frac{{\tilde N}r^4}{L^4}
33,\frac{r^2}{4}
34,\frac{r^2}{L^2}
35,\frac{r^2}{4}
36,\frac{r^2}{L^2}
37,\frac{r^2}{4R^2}
38,\frac{r^2}{4}
39,\frac{x_3}{R(x_1^2 + x_2^2)}
40,\frac{r^4}{8R^3L}
41,\frac{r^2}{L^2}
42,\frac{r^2}{4R^2}
43,\frac{T_0}{L}
44,\frac{r^2}{L^2}
45,\frac{L^2 r^6}{16R^2(N^2-1)}
46,\frac{r^4}{L}
47,\frac{T_0}{L}
48,\frac{r^2}{L^2}
49,\frac{L^2r^6}{16R^2(N^2-1)}
50,\frac{r^4}{L}
51,\frac{NT_0}{L}
52,\frac{r^2}{L^2}
53,\frac{L^2r^6}{16(N^2-1)}
54,\frac{r^4}{L}
55,\frac{4\sqrt{N^2-1}}{L^2}
