,label
0,\label{NSVZ_Beta}
1,\label{Section_SUSY_QED}
2,\label{SQED_Action}
3,\label{Phi_Superfield}
4,\label{Psi_Definition}
5,\label{V_Superfield}
6,\label{Regularized_SQED_Action}
7,\label{Degree_Of_Divergence}
8,\label{Modified_Z}
9,\label{PV_Determinants}
10,\label{W}
11,\label{Gamma}
12,\label{Renormalized_Action}
13,\label{Bare_Coupling_Constant}
14,\label{Beta_Gamma_Definition}
15,\label{DRED_Gamma5}
16,\label{Section_Two_Loop}
17,\label{Two_Loop_Effective_Action_HD}
18,\label{F1}
19,\label{F2}
20,\label{F2PV}
21,\label{F3}
22,\label{2-Loop_Effective_Action}
23,\label{Beta_HD}
24,\label{Two_Loop_Effective_Action_DRED}
25,\label{TildeF1}
26,\label{TildeF2}
27,\label{TildeF3}
28,\label{Gamma_DRED}
29,\label{Beta_DRED}
30,\label{Im_Of_Konishi}
31,\label{Axial_Current}
32,\label{Axial_Anomaly}
33,\label{Im_Of_Anomaly}
34,\label{Full_Anomaly}
35,\label{Konishi_Anomaly}
36,\label{Section_Exact}
37,\label{Result_For_Diagrams_With_Counterterms}
38,\label{Generalization_Of_Konishi_Anomaly}
39,\label{Renormalized_Action_After_Rescaling}
40,\label{Section_Conclusion}
41,\label{Appendix_Counterterms}
42,\label{Effective_Line_Picture}
43,\label{One-Loop_Effective_Diagrams_Picture}
44,\label{One-Loop_Diagrams_Picture}
45,\label{1PI_With_Counterterms}
46,\label{Figure_Beta_Diagrams}
