,equation
0,"\begin{equation}
\Delta_\pm = \frac{d}{2} \pm \nu, \qquad \nu = \sqrt{\frac{d^2}{4} +
  m^2}.
\"
1,"\begin{equation}
t_{\mu\nu} = T_{\mu\nu} + \beta ( g_{\mu\nu} D^2 - D_\mu D_\nu +
R_{\mu\nu} ) \phi^2,
\"
2,"\begin{equation}
\label{AdS/CFT0}
\int_{\phi_0} {\cal D} \phi \, e^{-S[\phi]} = < e^{\int d^dx\,\, {\cal O}
  \phi_0} >.
\"
3,"\begin{equation}
\label{AdS/CFT}
e^{-S[\phi_0]} = < e^{\int d^dx\,\, {\cal O}  \phi_0} >.
\"
4,"\begin{equation}
ds^2 = \frac{1}{x_0^2} \sum_\mu ( dx^\mu )^2,
\"
5,"\begin{equation}
\label{ac1}
S = - \frac{1}{2} \int d^{d+1}x \,\, \sqrt{g} \,\, (\partial\phi \partial
\phi + m^2 \phi^2) = \frac{1}{2} \int d^d x \,\, \sqrt{h} \,\, 
\phi_\epsilon \partial_n \phi_\epsilon,
\"
6,"\begin{equation}
\label{limit1}
\phi_\epsilon = \lim_{\epsilon \rightarrow 0} \epsilon^{\Delta_-}
\phi_0.
\"
7,"\begin{equation}
\label{delta+}
S = \int d^dx \, d^dy \,\, \frac{\phi_0(\vec{x})
  \phi_0(\vec{y})}{|\vec{x}-\vec{y}|^{2\Delta_+}}.
\"
8,"\begin{equation}
\label{Legendre1}
\tilde{S}[\tilde{\phi}_0] = S[\phi_0] + (2\Delta_- -d) \int
\frac{d^dk}{(2\pi)^d} \phi_0(\vec{k})  \tilde{\phi}_0(-\vec{k}),
\"
9,"\begin{equation}
\tilde{S}[\tilde{\phi}_0] = \int d^dx \, d^dy \,\,
\frac{\tilde{\phi}_0(\vec{x}) 
  \tilde{\phi}_0(\vec{y})}{|\vec{x}-\vec{y}|^{2\Delta_-}}.
\"
10,"\begin{equation}
E = \int d^dx \,\, \sqrt{g} J^\mu \xi_\mu.
\"
11,"\begin{equation}
\dot{E} = \int d^dx \,\, \sqrt{g} \, [ - D_i (J^i \xi_0 ) + \xi_i D_0 J^i
],
\"
12,"\begin{equation}
\label{action2}
S_0 = - \frac{1}{2} \int d^dx \,\, \sqrt{g} \, [ \partial\phi \partial\phi
  + (m^2 + \lambda R) \phi^2 ],
\"
13,"\begin{equation}
\label{action3}
S = S_0 + \lambda \int d^dx \,\, \sqrt{h} K \phi^2,
\"
14,"\begin{equation}
\delta S = - \int d^dx \,\, \sqrt{h} ( \partial_n \phi - 2 \lambda K
\phi) \delta \phi.
\"
15,"\begin{equation}
J^\mu = - T^\mu_0 - \lambda [ \delta^\mu_0 D_\nu ( K n^\nu \phi^2 ) -
  K n^\mu \partial_0 \phi^2 ],
\"
16,"\begin{equation}
\Delta_\pm = \frac{d}{2} \pm \nu, \qquad \nu = \sqrt{\frac{d^2}{4} +
  M^2}.
\"
17,"\begin{equation}
e^{-S[A_0]} = < e^{ \int d^dx \,\, {\cal O} A_0} >,
\"
18,"\begin{equation}
S = \frac{1}{2} \int d^dx \,\, \sqrt{h} \phi_\epsilon ( \partial_n
\phi_\epsilon - 2 \lambda K_\epsilon \phi_\epsilon ).
\"
19,"\begin{equation} 
\phi_\epsilon = \epsilon^{\Delta_-} \phi_0, \qquad
\tilde{\phi}_\epsilon = \epsilon^{\Delta_-} \tilde{\phi}_0,
\"
20,"\begin{equation} 
\phi_\epsilon = \epsilon^{\Delta_-} \phi_0, \qquad
\tilde{\phi}_\epsilon = \epsilon^{\Delta_+} \tilde{\phi}_0, 
\"
21,"\begin{equation}
\Delta_\pm = \frac{d}{2} \pm \nu, \qquad \nu = \sqrt{\frac{d^2}{4} +
  m^2}.
\"
22,"\begin{equation}
t_{\mu\nu} = T_{\mu\nu} + \beta ( g_{\mu\nu} D^2 - D_\mu D_\nu +
R_{\mu\nu} ) \phi^2,
\"
23,"\begin{equation}
\label{AdS/CFT0}
\int_{\phi_0} {\cal D} \phi \, e^{-S[\phi]} = < e^{\int d^dx\,\, {\cal O}
  \phi_0} >.
\"
24,"\begin{equation}
\label{AdS/CFT}
e^{-S[\phi_0]} = < e^{\int d^dx\,\, {\cal O}  \phi_0} >.
\"
25,"\begin{equation}
ds^2 = \frac{1}{x_0^2} \sum_\mu ( dx^\mu )^2,
\"
26,"\begin{equation}
\label{ac1}
S = - \frac{1}{2} \int d^{d+1}x \,\, \sqrt{g} \,\, (\partial\phi \partial
\phi + m^2 \phi^2) = \frac{1}{2} \int d^d x \,\, \sqrt{h} \,\, 
\phi_\epsilon \partial_n \phi_\epsilon,
\"
27,"\begin{equation}
\label{limit1}
\phi_\epsilon = \lim_{\epsilon \rightarrow 0} \epsilon^{\Delta_-}
\phi_0.
\"
28,"\begin{equation}
\label{delta+}
S = \int d^dx \, d^dy \,\, \frac{\phi_0(\vec{x})
  \phi_0(\vec{y})}{|\vec{x}-\vec{y}|^{2\Delta_+}}.
\"
29,"\begin{equation}
\label{Legendre1}
\tilde{S}[\tilde{\phi}_0] = S[\phi_0] + (2\Delta_- -d) \int
\frac{d^dk}{(2\pi)^d} \phi_0(\vec{k})  \tilde{\phi}_0(-\vec{k}),
\"
30,"\begin{equation}
\tilde{S}[\tilde{\phi}_0] = \int d^dx \, d^dy \,\,
\frac{\tilde{\phi}_0(\vec{x}) 
  \tilde{\phi}_0(\vec{y})}{|\vec{x}-\vec{y}|^{2\Delta_-}}.
\"
31,"\begin{equation}
E = \int d^dx \,\, \sqrt{g} J^\mu \xi_\mu.
\"
32,"\begin{equation}
\dot{E} = \int d^dx \,\, \sqrt{g} \, [ - D_i (J^i \xi_0 ) + \xi_i D_0 J^i
],
\"
33,"\begin{equation}
\label{action2}
S_0 = - \frac{1}{2} \int d^dx \,\, \sqrt{g} \, [ \partial\phi \partial\phi
  + (m^2 + \lambda R) \phi^2 ],
\"
34,"\begin{equation}
\label{action3}
S = S_0 + \lambda \int d^dx \,\, \sqrt{h} K \phi^2,
\"
35,"\begin{equation}
\delta S = - \int d^dx \,\, \sqrt{h} ( \partial_n \phi - 2 \lambda K
\phi) \delta \phi.
\"
36,"\begin{equation}
J^\mu = - T^\mu_0 - \lambda [ \delta^\mu_0 D_\nu ( K n^\nu \phi^2 ) -
  K n^\mu \partial_0 \phi^2 ],
\"
37,"\begin{equation}
\Delta_\pm = \frac{d}{2} \pm \nu, \qquad \nu = \sqrt{\frac{d^2}{4} +
  M^2}.
\"
38,"\begin{equation}
e^{-S[A_0]} = < e^{ \int d^dx \,\, {\cal O} A_0} >,
\"
39,"\begin{equation}
S = \frac{1}{2} \int d^dx \,\, \sqrt{h} \phi_\epsilon ( \partial_n
\phi_\epsilon - 2 \lambda K_\epsilon \phi_\epsilon ).
\"
