,equation
0,"\begin{equation}
\Gamma_{N \bar{N} M} = 3~ g_{q \bar{q} M} .
\"
1,"\begin{equation}
V_{\mu \nu}^{a} = \partial_{\mu} V_{\nu}^{a} - \partial_{\nu} V_{\mu}^{a} ,~~~~ 
W_{\mu \nu}^{a} = \partial_{\mu} W_{5 \nu}^{a} -\partial_{\nu} W_{5 \mu}^{a} , 
\"
2,"\begin{equation}
\tilde{W}_{\mu \nu}^{a} = \frac{1}{2} \epsilon_{\mu \nu \rho \kappa} 
W_{\rho \kappa}^{a} ,   
\"
3,"\begin{equation}
 \partial_{\mu} V_{\mu}^{a} = 0,~~~~~~ \partial_{\mu} W_{5 \mu}^{a} = 0 .
\"
4,"\begin{equation}
\begin{array}{cc}
\phi^{0}: & \eta, \eta^{'}   \\
\phi^{i}: & ~~~~~~~\pi^{i}~~~(i=1, 2, 3)   \\
V_{\mu}^{0}: & \omega_{\mu}, \phi_{\mu}  \\
V_{\mu}^{i}: & \rho_{\mu}^{i}  \\
\chi^{0}: & \epsilon (f_{0})  \\
\chi^{i}: &  \delta^{i} (a_{0}^{i})   \\
W_{\mu}^{0}: & E_{\mu} \\
W_{\mu}^{i}: & ~~~~A_{\mu}^{(1) i} (a_{\mu}^{(1) i})
\end{array}
\"
5,"\begin{equation}
\bar{q} \tau^{a} q = q_{L}^{\dag} \tau^{a} q_{R} + q_{R}^{\dag} \tau^{a} q_{L},
~~~~ \bar{q}  \gamma_{5} \tau^{a} q =
q_{L}^{\dag} \tau^{a} q_{R} - q_{R}^{\dag} \tau^{a} q_{L} 
\"
6,"\begin{equation}
\gamma_{\mu} D_{\mu} \psi^{i} = m \psi^{i}~~~~~~ (i = 1, 2, 3)
\"
7,"\begin{equation}
D_{\mu} =\partial_{\mu} + \frac{i}{2} g \lambda^{a}
B_{\mu}^{a} ,~~~~~~ (a = 1, \ldots, 8)  
\"
8,"\begin{equation}
\psi (x) = \int \frac{d^{3} p}{\sqrt{2 p_{0}}} e^{\frac{1}{2} \gamma_{5} 
\mbox{\boldmath $\sigma$} \cdot \mbox{\boldmath $ \lambda$}(p)} e^{i \gamma_{4} \mbox{\boldmath$p$} \cdot \mbox{\boldmath$x$}} (a_{{\bf p}} + \gamma_{5} \hat{b}_{{\bf p}}) 
\"
9,"\begin{equation}
a = \left(
\begin{array}{c}
a_{1} \\  a_{2}
\end{array}     \right) ,~~~~ \hat{b} = i \sigma_{2} b^{*} = \left(
\begin{array}{c}
b_{2}^{\dag} \\ - b_{1}^{\dag}
\end{array}     \right)  
\"
10,"\begin{equation}
\mbox{\boldmath $\lambda$}(p) = \frac{{\bf p}}{|{\bf p}|} \tanh^{-1} 
\frac{|{\bf p}|}{p_{0}} 
\"
11,"\begin{equation}
a_{p}= \left(
\begin{array}{c}
a \\  a
\end{array}     \right) = \gamma_{4} a_{p},~~~~~{\rm if}~~ \gamma_{5}~~ {\rm is~~ diagonal} \nonumber
\"
12,"\begin{equation}
a_{p}= \left(
\begin{array}{c}
a \\  0
\end{array}     \right)= \gamma_{4} a_{p} ,~~~~~{\rm if}~~\gamma_{4}~~{\rm is ~~diagonal}
\"
13,"\begin{equation}
 a_{p, s_{z}}^{\dag}|0> = |m, s = \frac{1}{2};{\bf p}, s_{z}>  
\"
14,"\begin{equation}
p_{0}^{2} - |{\bf p}|^{2} = m^{2}
\"
15,"\begin{equation}
exp\{ \frac{1}{2} \gamma_{5} \mbox{\boldmath $\sigma$} \cdot \mbox{\boldmath $\lambda$}(p)\} =\sqrt{
\frac{p_{0} + \gamma_{5} \mbox{\boldmath $\sigma$} \cdot {\bf p}}{m}}=
\frac{m+p_{0} + \gamma_{5} \mbox{\boldmath $\sigma$} \cdot {\bf p}}
{\sqrt{2 m (m+p_{0})}}  
\"
