,aligned
0,"\begin{aligned}
\xymatrix{
  g_1\ar@/^2ex/[rr]^f&&g_2
}
\"
1,"\begin{aligned}
\xymatrix{
  g_1\ar@(ul,dl)_{\id_{g_1}}\ar[rr]^{f_1}\ar[ddrr]_{f_1\circ f_2}&&g_2\ar[dd]^{f_2}\\
  \\
  &&g_3
}
\"
2,"\begin{aligned}
\xymatrix{
  Fg_1\ar[rr]^{Ff}\ar[dd]_{\eta_{g_1}}&&Fg_2\ar[dd]^{\eta_{g_2}}\\
  \\
  \tilde Fg_1\ar[rr]_{\tilde Ff}&&\tilde Fg_2
}
\"
3,"\begin{aligned}
\xymatrix{
  \ast\ar[rr]^{Fe}\ar[dd]_{\eta_v}&&\ast\ar[dd]^{\eta_w}\\
  \\
  \ast\ar[rr]_{\tilde Fe}&&\ast
}
\"
4,"\begin{aligned}
\xymatrix{
  \bullet\ar@/^1ex/[r]^{g_1}&\bullet\ar@/^1ex/[r]^{g_2}&\bullet&\longmapsto&\bullet\ar@/^1ex/[rr]^{g_1\cdot g_2}&&\bullet.
}
\"
5,"\begin{aligned}
\xymatrix{
  \bullet\ar@/^2ex/[rr]^{g}=""g1""\ar@/_2ex/[rr]_{g^\prime}=""g2""&&\bullet.
  \ar@{=>}_f ""g1""+<0ex,-2ex>;""g2""+<0ex,2ex>
}
\"
6,"\begin{aligned}
\xymatrix{
  \bullet\ar@/^2ex/[rr]^{g_1}=""g1""\ar@/_2ex/[rr]_{g_1^\prime}=""g2""&&
  \bullet\ar@/^2ex/[rr]^{g_2}=""g3""\ar@/_2ex/[rr]_{g_2^\prime}=""g4""&&\bullet
  \ar@{=>}_{f_1} ""g1""+<0ex,-2ex>;""g2""+<0ex,2ex>
  \ar@{=>}_{f_2} ""g3""+<0ex,-2ex>;""g4""+<0ex,2ex>
}
\qquad\longmapsto\qquad
\xymatrix{
  \bullet\ar@/^2ex/[rrr]^{g_1\cdot g_2}=""g5""\ar@/_2ex/[rrr]_{g_1^\prime\cdot g_2^\prime}=""g6""&&&\bullet,
  \ar@{=>}_{f_1\cdot f_2} ""g5""+<0ex,-2ex>;""g6""+<0ex,2ex>
}
\"
7,"\begin{aligned}
\xymatrix{
  \bullet\ar@/^4ex/[rrr]^{g}=""g1""\ar[rrr]^(0.35){g^\prime}\ar@{}[rrr]|{}=""g2""
   \ar@/_4ex/[rrr]_{g^{\prime\prime}}=""g3""&&&\bullet
  \ar@{=>}^f ""g1""+<0ex,-2ex>;""g2""+<0ex,1ex>
  \ar@{=>}^{f^\prime} ""g2""+<0ex,-1ex>;""g3""+<0ex,2ex>
}
\qquad\longmapsto\qquad
\xymatrix{
  \bullet\ar@/^3ex/[rrr]^{g}=""g4""\ar@/_3ex/[rrr]_{g^{\prime\prime}}=""g5""&&&\bullet.
  \ar@{=>}_{f\circ f^\prime} ""g4""+<0ex,-2ex>;""g5""+<0ex,2ex>
}
\"
8,"\begin{aligned}
\xymatrix{
  \bullet\ar@/^4ex/[rrr]^{g_1}=""g1""\ar[rrr]^(0.35){g_1^\prime}\ar@{}[rrr]|{}=""g2""
   \ar@/_4ex/[rrr]_{g_1^{\prime\prime}}=""g3""&&&
  \bullet\ar@/^4ex/[rrr]^{g_2}=""g4""\ar[rrr]^(0.35){g_2^\prime}\ar@{}[rrr]|{}=""g5""
   \ar@/_4ex/[rrr]_{g_2^{\prime\prime}}=""g6""&&&\bullet,
  \ar@{=>}^{f_1} ""g1""+<0ex,-2ex>;""g2""+<0ex,1ex>
  \ar@{=>}^{f_1^\prime} ""g2""+<0ex,-1ex>;""g3""+<0ex,2ex>
  \ar@{=>}^{f_2} ""g4""+<0ex,-2ex>;""g5""+<0ex,1ex>
  \ar@{=>}^{f_2^\prime} ""g5""+<0ex,-1ex>;""g6""+<0ex,2ex>
}
\"
9,"\begin{aligned}
\xymatrix{
  \sym{C}_1\ar@<1ex>[rr]^{s}&&\sym{C}_0\ar@<1ex>[ll]^{\id}
}
\"
