,equation
0,"\begin{equation}
\label{ansatz}
	ds^2 = M^2(\rho)g_{\mu\nu} dx^\mu dx^\nu + d\rho^2 + L^2(\rho) d\theta^2;
\"
1,"\begin{equation}
	S = \int d\rho \left(\frac12 z'^2 - U(z) -U_\phi(z)\right).
\"
2,"\begin{equation}
\label{Mzrel}
	M(\rho) = z^{2/5}(\rho).
\"
3,"\begin{equation}
\label{Lrel}
	L(\rho) = R {dM\over d\rho}.
\"
4,"\begin{equation}
	{L'\over L} = {M''\over M'} + {\phi'^2\over 4\m}
\"
5,"\begin{equation}
\label{rhoint}
	\rho = \left| \int_{z_0}^z {dz\over \sqrt{2(E - U(z))}} \right|
\"
6,"\begin{equation}
	\int_0^{\rho_m} M^2 L\, d\rho = {L'(0)\over \Lambda_4}
\"
7,"\begin{equation}
\label{soln1}
	M(\rho) = \cos\left(k\rho
	\right);\quad L(\rho) = Rk\sin\left(k\rho
	\right);\quad k = \sqrt{\Lambda_6\over 10} = H
\"
8,"\begin{equation}
\label{friedeq0}
	\framebox{$\displaystyle \Lambda_4 = \frac3{10}\Lambda_6$}
\"
9,"\begin{equation}
\label{soln1b}
	M(\rho) = \cos\left(k\rho
	\right)^{2/5};\quad L(\rho) = Rk\sin\left(k\rho
	\right)^{2/5};\quad k = \sqrt{\frac58 \Lambda_6}.
\"
10,"\begin{equation}
\label{soln2}
	M(\rho) = \cosh\left(k\rho
	\right);\quad L(\rho) = R k\sinh\left(k\rho
	\right);\quad k = \sqrt{|\Lambda_6|\over 10} = iH
\"
11,"\begin{equation}
\label{adssol}
	M(\rho) =  \cosh^{\frac25}(k\rho);\quad L(\rho) = \frac25 R k
 {\sinh(k\rho)\over\cosh^{\frac35}(k\rho)}\quad k = \sqrt{-\frac58 \Lambda_6}
\"
12,"\begin{equation}
\label{friedeq1}
	\framebox{$\displaystyle\Lambda_4 = \frac12\Lambda_6 - \frac14 \beta^2$}
\"
13,"\begin{equation}
	L(\rho) = R \sin(k\rho);\quad k^2 = \frac12\Lambda_6 + \frac14\beta^2
\label{uw1}
\"
14,"\begin{equation}
\label{soln4}
	M(\rho) \cong \left( z_0 + \epsilon\cos\left(k\rho\right)\right)^{2/5}
\"
15,"\begin{equation}
	{\tau_3-2\pi \over \tau_3'-2\pi } = \left({z_0-\epsilon\over z_0+\epsilon}\right)^{3/2}
\"
16,"\begin{equation}
	\tau_3 = {2\pi}(1-L'(0))
\"
17,"\begin{equation}
	\bar\tau_3= {2\pi}(1+L'(\rho_m))
\"
18,"\begin{equation}
\label{phijc}
	\phi'(\rho_m) = -\frac12 {dV_m\over d\phi}
\"
19,"\begin{equation}
\label{LMrel}
	L = \frac52 k^{-2}\left(1-{\tau_3\over 2\pi}\right) M' \cong 
	k^{-1}\left(1-{\tau_3\over 2\pi}\right) M
\"
20,"\begin{equation}
	\delta\m' + 5\m\,\delta\m = \frac18\left(4{\Lambda_4 \over M^{2}} 
	- \phi'^2-m^2\phi^2 + {n^2\phi^2\over L^2}+{\beta^2\over M^{8}}\right)
\"
21,"\begin{equation}
\label{lmsol}
	\delta\l_\phi - \delta\m_\phi = -\left(4+{\l\over\m}\right) \delta\m_\phi + 
	{1\over 8\mu}(\phi'^2-m^2\phi^2)
\"
