,equation
0,"\begin{equation}
%\lb{lau}
%\Psi_{\rm L}^m = \prod_{i<j} (z_i-z_j)^{2m+1} e^{-{1\ov 4}\sum_i |z_i|^2}.
%\"
1,"\begin{equation}
S=\frac{k}{4\pi} \int d^3y  \epsilon^{\mu \nu \lambda}
\left[
A_{\mu} \star \partial_{\nu} A_{\lambda}
+\frac{2}{3} A_{\mu} \star   A_{\nu} \star   A_{\lambda}
\right]
\"
2,"\begin{equation} 
\nu_{\rm S}=\frac{1}{k}. 
\"
3,"\begin{equation}
L=B \; {\rm{Tr}}
\left\{
\epsilon_{ij} (\dot{X}^i +i[A_0,X^i])X^j + 2\theta A_0
\right\}
\"
4,"\begin{equation}
[X^1,X^2] = i \theta
\"
5,"\begin{equation}
L_{\psi} = \psi^{\dag}(i \dot{\psi} -A_0 \psi).
\"
6,"\begin{equation}
\label{sp}
\nu_{\rm P}=\frac{1}{k+1}.
\"
7,"\begin{equation}
\label{law}
[X^1,X^2]=i\theta
\left(
{{\bf 1}}- \frac{1}{k+1}\psi \psi^{\dag}
\right) .
\"
8,"\begin{equation}
|k\rangle =
\left\{
\epsilon^{i_1\cdots i_M}(\psi^{\dag})_{i_1}
(\psi^{\dag} A^{\dag})_{i_2}
...(\psi^{\dag} {A^{\dag}}^{M-1})_{i_M}
\right\}^k
|0\rangle
\"
9,"\begin{equation}
\nu _{k_{1} k_{2}}=\frac{1}{k_{1}}+\frac{1}{k_{2}},
\ \ \ \ \ k_{2}>k_{1}.
\"
10,"\begin{equation}
N_{\phi }=(3-{\frac{1}{2}})N.
\"
11,"\begin{equation} 
\nu_{p_{1}p_{2}}=\frac{p_{2}}{p_{1}p_{2}-1}
\"
12,"\begin{equation} 
N_{\phi}=(p_{1}-\frac{1}{p_{2}})N.
\"
13,"\begin{equation}
\begin{array}{l}
k_{1}=p_{1},\ \ \ \ 
k_{2}=k_{1}(k_{1}p_{2}-1) \equiv r k_1
\end{array}
\"
14,"\begin{equation}
\nu =\frac{2}{5}\equiv\frac{1}{3}+\frac{1}{15}.
\"
