,equation
0,"\begin{equation}
u_{tt}- u_{xx} = \frac {m^2}{\al} \sin(\al u),\qquad 
  {\cal L} = \left( \begin{array}{c} ip , \qquad
  m  \sin (\la-\al u) \\
   m  \sin (\la+\al u),  \qquad -ip
    \end{array} \right), \ \ p= {\dot u}.
\ll{sg}\"
1,"\begin{equation}
  L_{n}(\la)  =
  \left( \begin{array}{c}  g(u_n)~ e^{ip_n \Delta },
 \qquad  m\Delta  \sin (\la-\al u_n) \\
   m\Delta  \sin (\la+\al u_n),\qquad   e^{-ip_n \Delta }~ g(u_n)
    \end{array} \right), \quad g^2(u_n)= 1 +  m^2  \Delta^2
\cos  { \al (2u_n+{1 }) } 
\ll{L-sg}\"
2,"\begin{equation}
  L_{n}(\xi)  = \left( \begin{array}{c}   e^{ip_n \Delta }~f(u_n)~,
 \qquad  {\Delta}{\xi}e^{i\al u_n} \\
 \frac{\Delta}{\xi}e^{i\al u_n}   ,\qquad f(u_n)~  e^{-ip_n \Delta }
    \end{array} \right), \qquad f^2(u_n)=
     1 + {\Delta^2} e^{i\al(2u_n+1)}.
\ll{Llm}\"
3,"\begin{equation}
  L_{n}(\xi)  =
  \left( \begin{array}{c}
  \frac{1}{\xi}q^{-N_n}- {i \xi\Delta}~q^{N_n+1} ,
 \qquad  {\kappa}A^\da_n \\
  {\kappa}A_n    ,\qquad
  \frac{1}{\xi}q^{N_n}+ {i \xi\Delta}~q^{-(N_n+1)} 
    \end{array} \right), \ [A_n,A_m^\dagger]= \delta_{nm}{\cos \al(2N_n+1) \ov
\cos \al}.
\ll{Ldnls}\"
4,"\begin{equation}
i\psi_{t}+ \psi_{xx} +  (\psi^\da\psi)\psi=0,
      \quad
{\cal L}(\la)  = \left( \begin{array}{c} \la ,
\quad  \psi \\
\psi^\da, \quad -\la
    \end{array} \right).
\ll{nls}\"
5,"\begin{equation}
\be \ H^{tJ}=\sum_j H^{tJ}_{jj+1}= \sum_j 
  -t{\cal P}\left(\sum_{\sigma=\uparrow\downarrow}
	c^{\dagger}_{\sigma j} c_{\sigma j+1} +h.c.
   \right){\cal P}+\
  J\left({\bf S}_j{\bf S}_{j+1} 
  -{1 \over 4} {n}_j{n}_{j+1}\right)
  + {n}_j+{n}_{j+1} \ \ll{tJ}\ee
%\label{Htj}\"
6,"\begin{equation}
L_{2 j+1}(\mu) Z_{21}^{-1}L_{1 j}(\la) = L_{1 j}(\la)
 L_{2 j+1}(\mu)
 \ll{zlzl1u}\"
7,"\begin{equation}
{R}_{12}(\la-\mu)Z_{21}^{-1}L_{1j}(\la)L_{2j}(\mu)
= Z_{12}^{-1}L_{2j}(\mu) L_{1j}(\la){R}_{12}(\la-\mu).
\ll{bqybel}\"
8,"\begin{equation}
{R}_{12}(\la-\mu)Z_{21}^{-1}T_{1}(\la)Z_{12}^{-1}T_{2}(\mu)
= Z_{12}^{-1}T_{2}(\mu)Z_{21}^{-1} T_{1}(\la){R}_{12}(\la-\mu).
\ll{bqybeg} \ee

Though this equation is similar to (\re{gybe}),
the  commutation of the transfer matrices ensuring  the integrability 
of the systems through factorization of the trace identity
 becomes problematic due to the presence of $Z$-matrix.
Detail discussion of this problem and the classification of the $Z$-matrices 
allowing factorization    is given  in \c{hlavkun96}.
Investigations of some nonultralocal systems from  a different
 angle were done
in \c{reshet}.
It is easy to see that from 
the corresponding equations for the nonultralocal models
 presented above one can recover
 the   known relations for the ultralocal models by supposing 
 the braiding matrix  $Z=1$ (see also the caption in Fig 1)
\newpage
\epsfxsize=470pt \epsfbox{bybe.eps}
\vskip 2cm
Fig. 1:
\ {\small Pictorial description of a) braiding relation (\re {zlzl1u}),
b) local braided QYBE (\re {bqybel}) for the Lax operators $L_{aj}(\lambda_a)$
and c) global     braided QYBE for
 $ T^{[1,k]}_a(\lambda_a)= \prod_{j=1}^kL_{aj}(\lambda_a), \  k<N$.  Note that 
putting $Z=1$, i.e. removing braiding by
 undoing the crossing of {\it dashed} lines in  above
figures 1a,b,c) 
one can recover the corresponding pictures  for the ultralocal models
\c{baxter}, namely
 ultralocality condition
(\re{ul}),
  local (\re{ybe}) and global  QYBE (\re{gybe}), respectively.} 
\newpage
\subsection {List of quantum integrable nonultralocal  models}
 Nonultralocal
 models are mostly nonfundamental systems with infinite dimensional 
representations defined  in some  Hilbert space.
They may correspond to 
  integrable models with spectral parameter dependent
 Lax operator and $R(\la)$-matrix or may describe only 
nonultralocal algebras   having
spectral parameterless $L$-operator  and  
$R(\la)_{\la \to + \infty} \to R^+_q $-matrix.  
Nevertheless the nonultralocal  quantum  models listed below 
should be   
described  through the same braided relations 
 (\re{zlzl1u},\re{bqybel},\re{bqybeg}) or their corresponding 
spectral-less form in a systematic way.
 Therefore we 
 present only   the  explicit form  
  of their  braiding matrix 
 $ Z$   and the $L$ operator, indicating  the class of  $R$-matrix they
belong to. These inputs should be enough to obtain 
all individual  equations and derive the related results.

\ni {\bf I. Systems with spectral parameterless $R$-matrix} 
\\ 
\ni  1. {\it Current algebra in WZWN model} \c{wzwn}
 
The model involves   the nonultralocal current algebra
\be \{L_1(x),L_2(y)\}= \frac {\gamma} {2} [C,L_1(x)-L_2(y)]\delta(x-y)
+ \gamma C \delta'(x-y) \ll{current}\ee
with $C_{12}= 2P_{12}-1$, where $P_{12} $ is the permutation operator, 
$L= \frac {1} {2} (J_0+J_1)$ with $J_\mu= \partial_\mu gg^{-1},$
is the  current and $g \in SU(N)$ the chiral field. 
Discretized and quantum version of this  algebra may be cast
 as the spectral-free limit of the above   braided YBE 
relations with
$R^+_q$ as the R-matrix, current $L$ as the Lax operator  
  and  $Z_{12}=R_{q21}^+$ as the braiding matrix, which takes the form
\begin{equation}
{R}^+_{q21}L_{1j}L_{2j}
= L_{2j} L_{1j}{R}^+_{q12}, \ \ L_{1j} L_{2j+1} = L_{2j+1}({R}^+_{q12})^{-1}
 L_{1j} 
\ll{wzwn}\end{equation}
For the details and an interesting quantum group relation of this model
the readers are refered to   the original works \c{wzwn}.
\\  2. {\it Coulomb gas picture of  CFT}  \c{babelon}

The Drinfeld-Sokolov linear problem : $ Q_x={\cal L}(x)Q$   
describing this system  may be given
 in the simplest case by the linear
operator $ {\cal L}(x)= v(x) \si ^3 - \si ^+ $ with a nonultralocal property
due to current-like relation ~$ \{ v(x) , v(y) \}= \delta'(x-y). $
Discretized and quantized forms
of the current-like operator defined through the commutation relations
\be
[v^\pm_k, v^\pm_l] = \pm i {\al \ov 2} (\delta_{k,l+1}- \delta_{k+1,l}),
\ \ 
%\nonumber \ll{cr1}\ee \be
[v^+_k, v^-_l] =i {\al \ov 2} (\delta_{k+1,l}-
2\delta_{k,l}+\delta_{k,l+1})
\ll{cr12}\ee
construct the corresponding discretized linear operator as 
$~~ L_k=e^{-i v^-_k\si ^3} + \Delta e^{i v^+_k} \si^+ ,
%\ll{coulomb}\ee
~~$, which  
similar to the above case satisfies  the  spectral-free    braided
YBE and other relations with $R^+_q$ as  $R$ and $Z=
q^{- \si ^3 
\otimes \si ^3}
$ as the braiding matrix. Generalization of this model 
for $SU(N)$ has also been 
constructed  similarly in   \c{babelon}.
 \\
\ni {\bf II. Models with rational  $R(\la)$-matrix}
\\
\ni 3. {\it Nonabelian Toda chain }  \c{natoda}

 The Lax operator of the model  given by
\be
L_{k}(\lambda) = \left( \begin{array}{c}
\lambda - A_k
\qquad  \ \ -B_{k-1}
 \\ I
\qquad \ 0
         \end{array}   \right), \ \ A_k=\dot{g}_k g_k^{-1},
 \ \  B_k= g_{k+1}
 g_k^{-1}, \ g_k \in SU(N), 
\ll{Lkor}\ee
represents nonultralocal integrable model and solves all braided relations 
including the BQYBE with spectral dependent 
 rational  
$~R(\lambda)= P-ih \lambda I$ and  the  braiding
matrix  $Z_{12}=
 {\bf 1} + i { h }(
 e_{22}\otimes e_{12}) \pi, $
where $P$ and $ \pi$ are permutation operators. For further details on this
model including its gauge relation with an ultralocal model we refer to the
original work   \c{natoda}.
\\  4. {\it Nonultralocal quantum mapping }\c{Nijhof}

The system is  
described by the  Lax operator
$L_n=V_{2n}V_{2n-1}$, with 
$ V_{n}=\lambda_n \sigma^- +\sigma^++ \ha v_{n} (1+\sigma^3),$
where  the  discretized operator  $ v_k \equiv v^-_k$
involves  nonultralocal algebra (\re{cr12}) and  
yields at the continuum limit  $\Delta \to 0$ 
 the current-like field: 
$v_k \to i \Delta  v(x)$. 
This nonultralocal quantum integrable 
model satisfies again 
  integrable braided  relations 
with  spectral-dependent
 rational $R(\la_1-\la_2)$-matrix  similar to  the above case but now
 with a spectral  dependent braiding matrix
 $\  \ Z_{12}(\la_2)= { I}- \frac { h }{\la_2}\sigma^{-
}\otimes \sigma^{+} \ \ $ and $Z_{21}(\la_1). $ For generalization of this
model to higher  rank groups and other details we refer again to the
original work  \c{Nijhof}.
\\ 
\ni {\bf III. Models with trigonometric $R(\la)$-matrix} 
\\
\ni 5. {\it Quantum mKdV model  }  \c{kmpl95}

 
This well known  nonultralocal model may
 be raised to the quantum level with discrete 
Lax operator
\be
L_{k}(\xi) = \left( \begin{array}{c}
(W_k^{-})^{-1}
\qquad  \ \
 i\De \xi W_k^{+}\\
-i\De \xi (W_k^{+})^{-1}
\qquad \ W_k^{-}
         \end{array}   \right),
\ll{Lmkdv}\ee
where $ W_{j}^{\pm}=e^{iv_{j}^{\pm} } $ with $v^\pm_k$ obeying the 
 nonultralocal 
 relations like (\re{cr12}).
  $R$-matrix (\re{trm}) and the braiding matrix
$ Z_{12}=  Z_{21}= q^{-\frac {1}{2} \sigma^3\otimes \sigma^3
}$ are associated with  this  nonultralocal integrable system 
\c{kmpl95}. Bethe ansatz 
solution  of quantum mKdV and its generalizations can be found in detail in
 \c{fr02}. It is seen easily that one  can recover the well known Lax
operator of the mKdV field model: $  U(x,\xi)={i \ov 2} (iv(x) \sigma^3
+\xi \sigma ^2)$  from (\re{Lmkdv}) at the field limit when $v^{\mp}_k \to 
\sqrt \mp  \Delta  v(x)$, as $L_k= {\rm I} + \Delta  U(x,\xi) + O (\Delta ^2)$. 
\\
\ni 6. {\it Quantum light-cone sine-Gordon  model } 

It is known that 
this well known equation : $ \partial^2_{+-}u=2\sin2 u$ may be represented 
by the 
zero curvature condition: \  $ 
\partial_- {\rm {U}}_+ -\partial_+ {\rm {U}}_+ + [ {\rm {U}}_+,
 {\rm {U}}_-]=0$ 
 of the 
 Lax pair ${\rm {U}}_\pm $ with 
$ {\rm {U}}_-(x) 
=
{i \ov 2} \partial_- u(x) \si ^3 +    
   \xi ( e^{-i  u (x)} \si ^+ +  
     e^{i  u (x)} \si ^-)
$ and similarly for ${\rm {U}}_+(x)$. Recently  quantum as well as  
exact lattice versions of the nonultralocal 
 Lax operator have been constructed \c{kun02}, which in particular for 
${\rm {U}}_-(x)$  may be given  in the form
\be
L^{(-)lcsg}_j{(\la)} =
% \left( \begin{array}{c}
   e^{i(p_j-\al \nabla u_j)\si ^3} + 
  \Delta \xi \left ( e^{-i(p_j+\al  u_{j+1})} \si ^+
    + e^{i(p_j+\al  u_{j+1})} \si ^- \right ) 
, \quad \nabla u_j \equiv  u_{j+1}- u_{j}. 
\ll{lcsg}\ee 
It may be shown also that (\re{lcsg}) 
  obeys exactly  the above BQYBE and the braiding
relation with the trigonometric 
$R$-matrix (\re{trm}) and the braiding
matrix 
$ Z_{12}^{(-)}=e^{i \al \sigma^3 \otimes \sigma^3} $,  and consequently
represent a genuine quantum integrable nonultralocal model. 



Some other nonultralocal models known in the literature need
 introduction of braiding beyond 
NN, basic formulation of which can be found in \c{hlavqb,hlavkun96}.
 Examples of   
such models having same 
 braiding between any two different sites are
i.) {\it Integrable model on moduli space }  \c{alex},
ii.) {\it Supersymmetric models } \c{SUSY,hlavkun96}, 
iii. ) {\it Braided  algebra}  \c{majid}, iv) 
NUL extension of YBE \c{exybe}
 etc. Their unified description 
can be found  in \c{hlavkun96,review}. 

\subsection{Algebraic Bethe ansatz}

The solution of the eigenvalue problem for  integrable
nonultralocal models by diagonalizing
  the transfer matrix may  be
formulated through algebraic Bethe ansatz 
    exactly in analogy with the ultralocal models, whenever the
factorization of the trace problem, as mentioned above, could be resolved.
 The key equation that is to  be  used  
for nonultralocal models for finding the commutation
relations analogous to  (\re{db}) in the ABA scheme     
 should naturally be given by BQYBE (\re{bqybeg}). We however 
 skip all details of this
ABA formulation 
for nonultralocal models, which can be found in   explicit form on the example of 
 the
nonultralocal 
quantum mKdV model in  \c{kmpl95,fr02}.
\subsection{Open  directions in nonultralocal models}

Since some of the  nonultralocal models like nonabelian
Toda chain, WZWN current algebra, mKdV etc. described above can be connected 
to ultralocal models through operator dependent local gauge transformation,
it would be challenging to discover similar relation, if any,
for  the rest of the quantum integrable  nonultralocal models \c{kun02}.

Other challenging problems  undoubtedly are the possible 
 quantum integrable 
formulation of the famous nonultralocal models like nonlinear $\si$-model,
complex sine-Gordon model, derivative NLS equation etc.   through braided YBE. 
     
  
As we know, there is a  remarkable interconnection between the integrable
quantum and statistical models. However this connection is discovered until
now only for the ultralocal models as we have also seen here.
 Therefore it should be 
a new direction of study  to investigate
 whether there could be any meaningful statistical model corresponding to
the integrable nonultralocal models described here.


Another problem worth looking into would be to formulate  fundamental 
nonultralocal models, if any,
 which then could be used possibly for generalizing   spin and
electron models with  nonultralocality.

Anyway since this vast branch of integrable systems has received
significantly
insufficient attention, we may hope to have many hidden excitements 
in this area.


\section {Concluding remarks}
\setcounter{equation}{0}
Quantum 
integrable systems can be divided into two broad classes, ultralocal (UL) and
nonultralocal (NUL). We have presented here a brief description 
 of such models 
with references for further details and 
  demonstrated that the models  belonging to both
these classes 
 can be described systematically through a set of algebraic
 relations signifying integrability of these systems. For UL models
 these relations are the ultralocality
condition and the QYBE involving Lax operator
 $L$ and the $R$ -matrix, while for
NUL models they are extended to braiding relation and braided QYBE with an 
additional entry of braiding matrix $Z$. The $L$ operator
representing an individual model is naturally model dependent and
the same seems to be
true also for the $Z$ matrix. The $R$-matrix on the other hand is mainly of
two types (elliptic case is not considered here),
 trigonometric and rational depending on the class of models
that are associated with q-deformed and undeformed algebras, respectively.
 This 
induces   a significantly model-independent  approach
also in the ABA method for solving the eigenvalue problem.
For UL systems, the theory of which is  more developed, 
 one can go beyond  and prescribe  an unifying algebraic scheme  for  
  generating   individual Lax operators 
 realized from  a single ancestor model in a systematic way.
It would be a challenge to extend the formulation of 
this scheme also for the NUL models.
The integrable statistical vertex models can be related to the corresponding 
quantum models, which as a rule belong to UL systems. Possible 
systematic extension of
such relation to NUL systems would be another challenging problem.

\begin{thebibliography}{99}
%________________QISM__________________
\bibitem{baxter} R  Baxter,
 {\it Exactly solved models in statistical mechanics}
(Acad  Press, 1981); T. Deguchi (2003), {\it Chapter 5  in this Book} 
\bibitem{aba}
 L  D  Faddeev, {\it Sov  Sc  Rev } C1 (1980) 107 
H  J  de Vega , {\it Int  J  Mod  Phys }  {\bf A 4} (1989) 2371  
; \
{\it Yang-Baxter equation in integrable system}, (Ed. M. Jimbo, World
Sc.,1989) 
; \
 A Foerester et al (2003),  {\it Chapter 8  in this Book}
\bibitem{korbook} V  E  Korepin, N  M  Bogoliubov, A  G  Izergin, {\it QISM
and correlation functions}, {Cambridge Univ  Press , 1993)
\bibitem{frt} N Yu Reshetikhin, L A Takhtajan and L D  Faddeev,
{\it Algebra and Analysis} {\bf 1} (1989) 178
; \
 L  D  Faddeev, {\it  Int  J  Mod  Phys } {\bf  A 10} 
 (1995) 1845 
\bibitem{open} E  Sklyanin, {\it J  Phys } {\bf A 21} (1988) 2375
\bibitem{kulskly} 
 P  Kulish and E   Sklyanin,
Lect  Notes in Phys  ( Springer,Berlin, 1982) {\bf  151},
\bibitem{sg}
E  Sklyanin, L  Takhtajan and L  Faddeev, {\it Teor  Mat  Fiz},{\bf 40}
 (1979) 194
\bibitem{llm} L  D   Faddeev  and  L  A  Takhtajan   
{\it Lect  Notes Phys }
 {vol  246} (ed  H   de Vega et al, Sringer, 1986) 166
\bibitem{qdnls} 
 Anjan Kundu  and B  Basumallick, {\it J  Math  Phys } {\bf  34} (1993) 1252
\bibitem{xxz}
 L A  Takhtajan  and L D  Faddeev, {\it Russian Math  Surveys} \ {\bf 34}
(1979) 11
 \bibitem{korepinsg} A  G  Izergin  and V  E  Korepin, 
{\it Nucl  Phys } {\bf B 205} [FS 5]  (1982) 401
\bibitem{construct}
     Anjan Kundu and B  Basumallick   {\it
     Mod  Phys  Lett  } {\bf A 7} (1992) 61
\bibitem{lmtm}  B  Basumallick and Anjan Kundu    {\it
      Phys  Lett  } {\bf B 287} (1992) 149
 \bibitem{rtoda} Anjan  Kundu, {\it Phys  Lett } {\bf A 190} (1994) 73
  \bibitem{suris} Yu. B. Suris, {\it Phys  Lett } {\bf A 145} (1990) 113
\bibitem{al} M. J. Ablowitz and J. F. Ladik, {\it J. Math. Phys.} {\bf 17}
(1976) 1011
\bibitem{kunprl99}
Anjan Kundu, {\it Phys  Rev  Lett} {\bf  82} (1999) 3936 
\bibitem{gaudin} E. K. Sklyanin, J. Sov. Math. {\bf 47}, 2473 (1989)
\bibitem{kunrag} Anjan  Kundu and O  Ragnisco, {\it  J   Phys } {\bf A 27}
 (1994) 6335
\bibitem{enolskii91} V.  Enol'skii, M. Salerno, N. Kostov and A. Scott,
Phys. Scripta {\bf 43}, 229 (1991);  V.  Enol'skii, V. Kuznetsov and
 M. Salerno,
{\it Physica} {\bf D 68} (1993) 138 
\bibitem{qa} V  G  Drinfeld, {\it Proc  Int  Cong  Mathematicians}
(Berkeley, 1986) {\bf 1}, p  798
;
 V  Chari and A   Pressley, {\it A guide to Quantum Groups}
(Cambridge  Univ  Press,  1994)
\bibitem{fadliu} L  D   Faddeev  and O  Tirkkonen, {\it Nucl  Phys } {\bf  B453}
  (1995)  647 
\bibitem{kun02} Anjan Kundu, {\it   Phys. Lett } {\bf B550} (2002) 128 
% hep-th/0208147
\bibitem{qoscl} A  J  Macfarlane, {\it J  Phys } {\bf  A 22}  (1989)
4581  
; \
 L  C  Biederharn, {\it J  Phys }  {\bf A 22}  (1989) L873  
\bibitem{shirman}
A  G  Shnirman, B  A  Malomed and E  Ben-Jacob, {\it  Phys  Rev } 
 {\bf A 50}  (1994) 3453 
\bibitem{hikami} R  Inoue and K  Hikami, {\it J  Phys  Soc  Jpn}, {\bf 67}
 (1998) 87
\bibitem{wadati}
K. Sogo, M. Uchinomi, Y. Akutsu and M  Wadati,  {\it Prog Theor Phys}
  {\bf   68}  (1982) 508
:
M  Wadati, T  Deguchi and Y  Akutsu,
 {\it Phys  Rep }
  {\bf   180}  (1989) 247
\bibitem{angela}
J. Dukelsky and P. Schuck, {\it Phys Rev Lett} 
{\bf 
86} (2001) 4207; J V Delft and R Poghossian, {\it Phys Rev} 
{\bf B
66} (2002) 134502; A Foerster et al (Chapter 7 of this volume) (2003) 
\bibitem{alternates}  H  de Vega and F  Woynarovich, {\it J  Phys }
 {\bf A
25} (1992) 4499 
%4
\bibitem{tarasov} V  O  Tarasov, {\it Teor  Mat  Fiz } {\bf 63}  (1985) 175 
; \ A  G  Izergin and V  E  Korepin, {\it Lett  Math  Phys }
 {\bf 8}  (1984) 259 
%5-7
\bibitem{tj} F   E$\beta$ler and V  E  Korepin, {\it Phys  Rev }
 {\bf B 46}  (1992) 9147 
\bibitem{links} A J Bracken, M D Gould, J R Links and Y Z Zhang, {\it Phys
Rev Lett} {\bf 74} (1995) 2768
\bibitem{wang}
Y ~Wang,
{\it  Phys  Rev  }  {\bf B 60},  (1999) 9236;\       I.  Bose (2003), 
 {\it Chapter 7 in this Book}
\bibitem{koress} F  E$\beta$ler, V E Korepin and K Schoutens,
 {\it Phys Rev Lett}
 {\bf 68}  (1992) 2960 
\bibitem{kunfrahm} H Frahm and Anjan Kundu,
 {\it  J  Phys} {\bf C 27} (1999) L557
\bibitem{skryabin} Yu A Izumov and Yu N Skryabin, {\it Statistical
mechanics of magnetically ordered systems} ( Consultant Bureau, N.Y. 1988)
\bibitem{kuntwist} Anjan Kundu, 
{\it  Nucl  Phys} {\bf B 618} (2001) 500 (and  references therein).
\bibitem{indrani-angel} A O Gogolin, A A Narsesyan and A M Tsvelik, {\it Bosonization
and strongly correlated systems}, (Cambridge Univ. Press, 1999); \ 
S. Sachdev, {\it Quantum phase transition},(Cambridge Univ. Press, 2000); \
  See also {\it Reviews} by       I.  Bose (2003) in {\it Chapter 7} and 
Angela Foerester et al (2003) in {\it Chapter 8}   {\it in this Book}
\bibitem{babus} H M Babujian, {\it Nucl Phys}  [{\bf FS 7}]
 (1983) 317, {\it Phys  Lett} {\bf 90 A}  (1982) 479; \
L A Takhtajan, {\it Phys Lett} {\bf 87 A} (1982) 479
\bibitem{Hamil-ft} L. D. Faddeev and L. A. Takhtajan , {\it Hamiltonian
methods in the theory of solitons}, (Spinger-Verlag, Berlin, 1987) 
\bibitem{classm} 
   { Anjan Kundu},  
 {\it  Theor Math Phys} (Sov. J.)
{\bf 99} (1994)  428; \  Anjan Kundu, {\it 
Unifying scheme for generating  discrete integrable systems    
including inhomogeneous and hybrid models}, nlin.SI/0212004 (2002) 
\bibitem{yys} B Sutherland, C P Yang and C N Yang, {\it Phys Rev Lett}
{\bf  19} (1967) 588
\bibitem{19v} A B Zamolodchikov and V A Fateev, {\it Sov J Nucl Phys} {\bf
32} (1980) 293
%%%%\c{5v}, \c{g6v},\c{babus} c{hubstat}, c{tjstat}, c{barstat}
\bibitem{vertex} E Olmedilla, M Wadati and Y Akutsu, {\it J Phys Soc Jpn} 
 {\bf 87}  (1987) 2298  ; \
%\bibitem{tjstat}
% F Essler and V Korepin, {\it Phys Rev} {\bf B 46 }  (1992) 9147 ;
  A Foerster and M Karowski, 
 {\it Phys Rev}  {\bf B 46}  (1992)  9234; \
%\bibitem{barstat} 
 H Q Zhou, { \it J Phys} {\bf 29}  (1996)  5504
\bibitem{impure} H Eckle, A Punnoose and R R\""omer, {\it Europhys Lett} {\bf
39} (1997) 293
\bibitem {kuna02}  Anjan Kundu,  {\it J Phys} {\bf A35} (2002) L1;
{\it Physica} {\bf A 318} (2003) 144 
% cond-mat/0204470 
\bibitem{bethe31}
H  Bethe, {\it Z  Phys} {\bf  71} (1931) 205; 
\bibitem{condmat}
%\bibitem{xxz} 
C  N  Yang and C  P  Yang,  {\it Phys  Rev}  {\bf 150} (1966) 321, 327
%\bibitem{qis}
; D  C  Mattis ed  
 {\it Encyclopedia of exactly solved  models in one dimension}
 (World Sc , 1993);
%\bibitem{delta+}
 E Lieb and W Liniger, {\it Phys  Rev} {\bf  130} (1963) 1605
;
J  B  McGuire, {\it  J  Math  Phys} {\bf  5} (1964) 622
%\bibitem{delta-}
; C  N  Yang,  {\it Phys  Rev   Lett} {\bf 19} (1967) 1312
;
%\bibitem{hubbard}
 E  H  Lieb and F  Y  Wu, 
 {\it Phys  Rev   Lett} {\bf 20} (1968) 1445
\bibitem{majid} S  Majid, {\it J  Math  Phys} {\bf  32} (1991) 3246; \
\bibitem{hlavqb} L Hlavaty,  {\it J Math Phys} {\bf 35} (1994) 2560
%\bibitem{maillet} 
; L  Freidel and J M  Maillet, {\it  Phys  Lett} 
{\bf  262 B}  (1991) 278 
 ; {\it Phys  Lett} {\bf  263 B}  (1991) 403
\bibitem{hlavkun96}
L  Hlavaty  and Anjan Kundu, {\it Int J  Mod  Phys }
  {\bf 11} (1996) 2143
\bibitem{reshet} N Yu Reshetikhin and  M Semenov-Tian-Shansky ,
 {\it Lett Math Phys} {\bf 19 } (1990) 133
; \
%\bibitem{goddard}
 M Chu, P Goddard, I Halliday, D Olive and
A Schwimmer,
 {\it Phys Lett} {\bf 266 B } (1991) 71
;
%\bibitem{volkov95}
 A Yu Volkov, {\it Comm Math Phys} {\bf 177} (1996) 381
\bibitem{wzwn}
L  D  Faddeev, {\it  Comm  Math  Phys} {\bf   132} (1990) 131 ; \
A  Alekseev, L D  Faddeev, M  Semenov-Tian-Shansky  and
A  Volkov,{\it The unraveling of the quantum group structure in the
WZWN theory},  preprint CERN-TH-5981/91 (1991)
\bibitem{babelon} O  Babelon and L  Bonora, {\it  Phys  Lett} {\bf  253 B}
 (1991) 365; \
 O  Babelon, {\it Comm  Math  Phys} {\bf   139} (1991) 619; \
 L  Bonora and V  Bonservizi, {\it Nucl  Phys } {\bf B 390}  (1993) 205

\bibitem{natoda} V  E  Korepin, {\it J  Sov  Math } {\bf 23} (1983) 2429

\bibitem{Nijhof} F W  Nijhoff, H W  Capel and V G  Papageorgiou,
{\it Phys  Rev } {\bf A 46} (1992) 2155

\bibitem{kmpl95} 
 Anjan Kundu,  {\it Mod  Phys  Lett}   {\bf A 10} (1995) 2955
\bibitem{fr02}
D Fioravanti and M Rossi, {\it J Phys} {\bf A 35} (2002) 3649
\bibitem{alex} A  Yu  Alexeev, {\it Integrability in the Hamiltonian
Chern-Simons theory}, preprint hep-th/9311074 (1993) 
\bibitem{SUSY} M Chaichian and P Kulish,
{\it  Phys  Lett}, {\bf 234 B} (1990) 72 ; \ L Liao, X Song 
 {\it Mod  Phys  Lett} {\bf 6} (1991) 959
\bibitem{exybe} C Schwiebert, {\it Generalized quantum inverse scattering
method}, hep-th/9412237 (1994)
\bibitem {review}   Anjan Kundu,
{\it Quantum integrable system: Construction Solution Algebraic Aspect      
     }},  hep-th/9612046
(1996)
\end{thebibliography}

 \end{document}
\ed

\bibitem{korbook} V. E. Korepin, N. M. Bogoliubov, A. G. Izergin, {\it QISM
and Correlation Functions}, {Cambridge Univ. Press , 1993)

---------------------
--------------------
12.) {\it Gaudin model}: It is interesting to see that
just by considering  the constant parameter $l$ in the Lax operator
(\re{dlle}) for the discrete LLE to be site dependent: $l \to l_k$,
  one  recovers the   Lax operator
$ L_k(\la)=I +{1 \ov \la-l_k} \vec s_k \cdot \vec \sigma$  
 for the celebrated Gaudin model, given by the integrable Hamiltonians   
$H_k= \sum_{l \neq k}^N {1 \ov l_k-l_l} (\vec s_k \cdot \vec s_l), \ k=
1,2, \ldots, N$ \c{gaudin}.
 This model is associated also with the rational $r_r$
matrix (\re{rr}). 
"
9,"\begin{equation}
{"
