,equation
0,"\begin{equation} \label{metric}
ds^2 = - f(r) dt^2 + f(r)^{-1} dr^2 + r^2 d\Omega^2.
\"
1,"\begin{equation}
r_H = 2GM
\"
2,"\begin{equation}
f(r) = 1-r_H / r.
\"
3,"\begin{equation} \label{solution-separation}
\phi(r,t,\Omega) = r \psi(r) Y_{lm}(\Omega) e^{i \omega t}
\"
4,"\begin{equation} \label{wave-equation}
\left[ - \frac{d^2}{dx^2} + V[r(x)] - \omega^2 \right] \psi(x) = 0,
\"
5,"\begin{equation} \label{scalar-potential}
V(r) = f(r) \left[\frac{l(l+1)}{r^2} + \frac{r_H}{r^3} \right]
\"
6,"\begin{equation} \label{tortoise-definition}
x(r) = \int \frac{dr}{f(r)} = r + r_H \log(1-r/r_H).
\"
7,"\begin{equation}  \label{schwarzschild-4d-potential}
V(r) = f(r) \left( \frac{l(l+1)}{r^2} + \frac{(1-j^2)r_H}{r^3} \right).
\"
8,"\begin{equation} \label{plane-wave-asymptotics}
\psi(r) \sim C_+ e^{+ i \omega x} + C_- e^{-i \omega x}.
\"
9,"\begin{equation}
\psi \sim
\begin{cases}
e^{i \omega x} + R(\omega) e^{-i \omega x} & \textrm{\ as\ } r \to \ensuremath{\bigstar}\xspace, \label{imaginary-transmission-boundary} \\
T(\omega) e^{i \omega x} & \textrm{\ as\ } r \to r_H,
\end{cases}
\"
10,"\begin{equation} \label{schwarzschild-4d-potential-repeated}
V(r) = f(r) \left( \frac{l(l+1)}{r^2} + \frac{(1-j^2)r_H}{r^3} \right).
\"
11,"\begin{equation} \label{notation-definition}
\n{m} = A_+ e^{i m (1+j)\pi/4} + A_- e^{i m (1-j)\pi/4},
\"
12,"\begin{equation}
\n{3} \approx T(\omega). \label{asymptotic-relation-3}
\"
13,"\begin{equation}
\n{5} \approx e^{\beta \omega} R(\omega). \label{asymptotic-relation-4}
\"
14,"\begin{equation} \label{asymptotic-qnf-schwarzschild-4d}
e^{\beta \omega} + (1 + 2 \cos \pi j) \approx 0.
\"
15,"\begin{equation}
T(\omega) T(-\omega) + R(\omega) R(-\omega) = 1.
\"
16,"\begin{equation} \label{hawking-formula}
F(\omega) \propto \frac{\lvertT(\omega)\rvert^2}{e^{\beta \omega} - 1}.
\"
17,"\begin{equation} \label{stringy-transmission}
\lvertT(\omega)\rvert^2 \approx \frac{e^{\beta \omega} - 1}{(e^{\beta_L \omega/2} - 1)(e^{\beta_R \omega/2} - 1)},
\"
18,"\begin{equation} \label{stringy-spectrum}
F(\omega) \propto \frac{1}{(e^{\beta_L \omega/2} - 1)(e^{\beta_R \omega/2} - 1)}.
\"
19,"\begin{equation}
T(\omega) T(-\omega) \approx \frac{e^{\beta \omega} - 1}{e^{\beta \omega} + 3}.
\"
20,"\begin{equation} \label{analytically-continued-spectrum-schwarzschild}
F(\omega) \propto \frac{1}{e^{\beta \omega} + 3}.
\"
21,"\begin{equation} \label{analytically-continued-spectrum-rn-4d}
F(\omega) \propto \frac{1}{e^{\beta \omega} + 2 + 3 e^{-\beta_I \omega}},
\"
22,"\begin{equation} \label{new-param-definition}
\alpha = \frac{1}{1 - (r_I/r_H)^2},
\"
23,"\begin{equation} \label{asymptotic-qnf-reissner-nordstrom-4d-rewritten}
e^{\alpha \hat{\omega}} + 3 e^{(\alpha-1) \hat{\omega}} + 2 \approx 0.
\"
24,"\begin{equation}
8 \pi GM \omega \approx 2\pi i \left(n+\ensuremath{\frac{1}{2}} \right) + \log 3.
\"
25,"\begin{equation} \label{wave-equation-repeated}
\left[ - \frac{d^2}{dx^2} + V(x) - \omega^2 \right] \psi(x) = 0,
\"
26,"\begin{equation}
\psi(x) \sim
\begin{cases}
T(\omega) e^{+i \omega x}  \label{transmission-boundary} & \textrm{\ as\ } x \to -\infty, \\
e^{+i \omega x} + R(\omega) e^{-i \omega x} & \textrm{\ as\ } x \to +\infty. 
\end{cases}
\"
27,"\begin{equation}
\psi(x) \sim \begin{cases}
T(\omega) e^{+i \omega x}  \label{transmission-boundary-complex} & \textrm{\ as\ } \omega x \to -\infty, \\
e^{+i \omega x} + R(\omega) e^{-i \omega x} & \textrm{\ as\ } \omega x \to +\infty. 
\end{cases}
\"
28,"\begin{equation}
\psi(r) \sim
\begin{cases}
T(\omega) e^{+i \omega x} & \textrm{\ as\ } r \to r_H, \\
e^{i \omega x} + R(\omega) e^{-i \omega x} & \textrm{\ as\ } r \to \ensuremath{\bigstar}\xspace. \label{imaginary-transmission-boundary-repeated}
\end{cases}
\"
29,"\begin{equation}
x/r_H = r/r_H + \log (1-r/r_H) = -\ensuremath{\frac{1}{2}}(r/r_H)^2 - \frac{1}{3}(r/r_H)^3 + {\mathcal O}\left((r/r_H)^4\right)
\"
30,"\begin{equation}
r/r_H = \pm i \sqrt{2x/r_H} + 2x/3r_H + {\mathcal O}\left((x/r_H)^{3/2}\right)
\"
31,"\begin{equation} \label{wave-equation-singularity-corrected}
\left[ -\frac{d^2}{dx^2} + \frac{j^2-1}{4x^2} \pm i \frac{\eta}{x^{3/2} \sqrt{r_H}} + {\mathcal O}\left((x r_H)^{-1}\right) - \omega^2) \right] \psi = 0,
\"
32,"\begin{equation} \label{eta-definition}
\eta = \frac{(j^2 - 1) - 3l(l+1)}{6 \sqrt{2}}.
\"
33,"\begin{equation} \label{wave-equation-rho}
\left[ -\frac{d^2}{d\rho^2} + \frac{j^2-1}{4 \rho^2} \pm i \frac{\eta}{\rho^{3/2}\sqrt{\omega r_H}} + {\mathcal O}\left(\frac{1}{\rho \omega r_H}\right) - 1 \right] \psi = 0
\"
34,"\begin{equation}
\left[ \frac{d^2}{d\rho^2} + \frac{1-j^2}{4 \rho^2} \right] \psi = 0.
\"
35,"\begin{equation} \label{small-rho-power-law}
\psi(\rho) \sim \rho^{(1 \pm j) /2}.
\"
36,"\begin{equation} \label{solution-rotation}
\psi_\pm(e^{i \theta} \rho) = e^{(1 \pm j) i \theta / 2} \psi_\pm(\rho).
\"
37,"\begin{equation}
\left[ \frac{d^2}{d\rho^2} + 1\right] \psi = 0
\"
38,"\begin{equation} \label{solution-asymptotics}
\psi_\pm(\rho) \sim \cos(\rho - (1 \pm j)\pi / 4) + \ensuremath{{\mathcal O}\left(1/\sqrt{\lvert\omega\rvert r_H}\right)}\xspace.
\"
39,"\begin{equation} \label{metric}
ds^2 = - f(r) dt^2 + f(r)^{-1} dr^2 + r^2 d\Omega^2.
\"
40,"\begin{equation}
r_H = 2GM
\"
41,"\begin{equation}
f(r) = 1-r_H / r.
\"
42,"\begin{equation} \label{solution-separation}
\phi(r,t,\Omega) = r \psi(r) Y_{lm}(\Omega) e^{i \omega t}
\"
43,"\begin{equation} \label{wave-equation}
\left[ - \frac{d^2}{dx^2} + V[r(x)] - \omega^2 \right] \psi(x) = 0,
\"
44,"\begin{equation} \label{scalar-potential}
V(r) = f(r) \left[\frac{l(l+1)}{r^2} + \frac{r_H}{r^3} \right]
\"
45,"\begin{equation} \label{tortoise-definition}
x(r) = \int \frac{dr}{f(r)} = r + r_H \log(1-r/r_H).
\"
46,"\begin{equation}  \label{schwarzschild-4d-potential}
V(r) = f(r) \left( \frac{l(l+1)}{r^2} + \frac{(1-j^2)r_H}{r^3} \right).
\"
47,"\begin{equation} \label{plane-wave-asymptotics}
\psi(r) \sim C_+ e^{+ i \omega x} + C_- e^{-i \omega x}.
\"
48,"\begin{equation}
\psi \sim
\begin{cases}
e^{i \omega x} + R(\omega) e^{-i \omega x} & \textrm{\ as\ } r \to \ensuremath{\bigstar}\xspace, \label{imaginary-transmission-boundary} \\
T(\omega) e^{i \omega x} & \textrm{\ as\ } r \to r_H,
\end{cases}
\"
49,"\begin{equation} \label{schwarzschild-4d-potential-repeated}
V(r) = f(r) \left( \frac{l(l+1)}{r^2} + \frac{(1-j^2)r_H}{r^3} \right).
\"
50,"\begin{equation} \label{notation-definition}
\n{m} = A_+ e^{i m (1+j)\pi/4} + A_- e^{i m (1-j)\pi/4},
\"
51,"\begin{equation}
\n{3} \approx T(\omega). \label{asymptotic-relation-3}
\"
52,"\begin{equation}
\n{5} \approx e^{\beta \omega} R(\omega). \label{asymptotic-relation-4}
\"
53,"\begin{equation} \label{asymptotic-qnf-schwarzschild-4d}
e^{\beta \omega} + (1 + 2 \cos \pi j) \approx 0.
\"
54,"\begin{equation}
T(\omega) T(-\omega) + R(\omega) R(-\omega) = 1.
\"
55,"\begin{equation} \label{hawking-formula}
F(\omega) \propto \frac{\lvertT(\omega)\rvert^2}{e^{\beta \omega} - 1}.
\"
56,"\begin{equation} \label{stringy-transmission}
\lvertT(\omega)\rvert^2 \approx \frac{e^{\beta \omega} - 1}{(e^{\beta_L \omega/2} - 1)(e^{\beta_R \omega/2} - 1)},
\"
57,"\begin{equation} \label{stringy-spectrum}
F(\omega) \propto \frac{1}{(e^{\beta_L \omega/2} - 1)(e^{\beta_R \omega/2} - 1)}.
\"
58,"\begin{equation}
T(\omega) T(-\omega) \approx \frac{e^{\beta \omega} - 1}{e^{\beta \omega} + 3}.
\"
59,"\begin{equation} \label{analytically-continued-spectrum-schwarzschild}
F(\omega) \propto \frac{1}{e^{\beta \omega} + 3}.
\"
60,"\begin{equation} \label{analytically-continued-spectrum-rn-4d}
F(\omega) \propto \frac{1}{e^{\beta \omega} + 2 + 3 e^{-\beta_I \omega}},
\"
61,"\begin{equation} \label{new-param-definition}
\alpha = \frac{1}{1 - (r_I/r_H)^2},
\"
62,"\begin{equation} \label{asymptotic-qnf-reissner-nordstrom-4d-rewritten}
e^{\alpha \hat{\omega}} + 3 e^{(\alpha-1) \hat{\omega}} + 2 \approx 0.
\"
63,"\begin{equation}
8 \pi GM \omega \approx 2\pi i \left(n+\ensuremath{\frac{1}{2}} \right) + \log 3.
\"
64,"\begin{equation} \label{wave-equation-repeated}
\left[ - \frac{d^2}{dx^2} + V(x) - \omega^2 \right] \psi(x) = 0,
\"
65,"\begin{equation}
\psi(x) \sim
\begin{cases}
T(\omega) e^{+i \omega x}  \label{transmission-boundary} & \textrm{\ as\ } x \to -\infty, \\
e^{+i \omega x} + R(\omega) e^{-i \omega x} & \textrm{\ as\ } x \to +\infty. 
\end{cases}
\"
66,"\begin{equation}
\psi(x) \sim \begin{cases}
T(\omega) e^{+i \omega x}  \label{transmission-boundary-complex} & \textrm{\ as\ } \omega x \to -\infty, \\
e^{+i \omega x} + R(\omega) e^{-i \omega x} & \textrm{\ as\ } \omega x \to +\infty. 
\end{cases}
\"
67,"\begin{equation}
\psi(r) \sim
\begin{cases}
T(\omega) e^{+i \omega x} & \textrm{\ as\ } r \to r_H, \\
e^{i \omega x} + R(\omega) e^{-i \omega x} & \textrm{\ as\ } r \to \ensuremath{\bigstar}\xspace. \label{imaginary-transmission-boundary-repeated}
\end{cases}
\"
68,"\begin{equation}
x/r_H = r/r_H + \log (1-r/r_H) = -\ensuremath{\frac{1}{2}}(r/r_H)^2 - \frac{1}{3}(r/r_H)^3 + {\mathcal O}\left((r/r_H)^4\right)
\"
69,"\begin{equation}
r/r_H = \pm i \sqrt{2x/r_H} + 2x/3r_H + {\mathcal O}\left((x/r_H)^{3/2}\right)
\"
70,"\begin{equation} \label{wave-equation-singularity-corrected}
\left[ -\frac{d^2}{dx^2} + \frac{j^2-1}{4x^2} \pm i \frac{\eta}{x^{3/2} \sqrt{r_H}} + {\mathcal O}\left((x r_H)^{-1}\right) - \omega^2) \right] \psi = 0,
\"
71,"\begin{equation} \label{eta-definition}
\eta = \frac{(j^2 - 1) - 3l(l+1)}{6 \sqrt{2}}.
\"
72,"\begin{equation} \label{wave-equation-rho}
\left[ -\frac{d^2}{d\rho^2} + \frac{j^2-1}{4 \rho^2} \pm i \frac{\eta}{\rho^{3/2}\sqrt{\omega r_H}} + {\mathcal O}\left(\frac{1}{\rho \omega r_H}\right) - 1 \right] \psi = 0
\"
73,"\begin{equation}
\left[ \frac{d^2}{d\rho^2} + \frac{1-j^2}{4 \rho^2} \right] \psi = 0.
\"
74,"\begin{equation} \label{small-rho-power-law}
\psi(\rho) \sim \rho^{(1 \pm j) /2}.
\"
75,"\begin{equation} \label{solution-rotation}
\psi_\pm(e^{i \theta} \rho) = e^{(1 \pm j) i \theta / 2} \psi_\pm(\rho).
\"
76,"\begin{equation}
\left[ \frac{d^2}{d\rho^2} + 1\right] \psi = 0
\"
77,"\begin{equation} \label{solution-asymptotics}
\psi_\pm(\rho) \sim \cos(\rho - (1 \pm j)\pi / 4) + \ensuremath{{\mathcal O}\left(1/\sqrt{\lvert\omega\rvert r_H}\right)}\xspace.
\"
