,subequations
0,"\begin{subequations}
\label{eq:ccoeff}
\begin{eqnarray}
\label{eq:ccoeff0}
c_0 & = & 1 \,,
\\  
\label{eq:ccoeff1}
c_1 & = & D_\mu A_\mu - \tilde X  \,,
\\
\label{eq:ccoeff2}
c_2 & = & -4 k_\mu k_\nu D_\mu A_\nu + D_\nu D_\nu D_\mu A_\mu - D_\mu D_\mu \tilde X
- \tilde X D_\mu A_\mu + \tilde X^2  \,,
\end{eqnarray}
\"
1,"\begin{subequations}
    \label{eq:acoeff}
  \begin{eqnarray}
g_0 & = & (4 \pi \tau)^{D/2} \sumint {d^{D}k \over (2 \pi)^{D}} \, e^{-\tau k^2} \, c_0
= I_0(\sqrt{\tau}T)  \,,
\\
g_1 & = & (4 \pi \tau)^{D/2} \sumint {d^{D}k \over (2 \pi)^{D}} \, e^{-\tau k^2} \, 
\left(c_1 - {1 \over 2} \, \tau \, 4 k_\mu k_\nu D_\mu A_\nu \right)
= (D_\mu A_\mu -\tilde X) \, I_0(\sqrt{\tau}T) - D_0 A_0 \, I_{2t}(\sqrt{\tau}T)  
- D_i A_i \, I_{2s}(\sqrt{\tau}T)
\nonumber \\
    \label{eq:acoeffb}
& = & -\tilde X \, I_0(\sqrt{\tau}T) + D_0 A_0 \, 
\left( I_0(\sqrt{\tau}T) - I_{2t}(\sqrt{\tau}T) \right)
\,,
  \end{eqnarray}
\"
2,"\begin{subequations}
\begin{eqnarray}
  \label{eq:propUtilde1}
\tilde U[A](x;x) & = & 1 \,,
\\
\tilde U[A](x_0+\beta,\vec x;x_0',\vec x') & = & \tilde U[A](x_0,\vec x;x_0',\vec x') 
\,, \\
\tilde U[A](x;x') & \to & V(x)\, \tilde U[A](x;x')  \, V^{-1}(x')  \,.
\end{eqnarray}
\"
3,"\begin{subequations}
\label{eq:ctcoeff}
\begin{eqnarray}
\label{eq:ctcoeff0}
\tilde c_0 & = & 1 \,,
\\  
\label{eq:ctcoeff1}
\tilde c_1 & = & \left. (D_\mu D_\mu - \tilde X) \, \tilde U[A](x;x') 
\, \right\vert_{x' = x}  \,,
\\
\label{eq:ctcoeff2}
\tilde c_2 & = & \left. (-4 k_\mu k_\nu D_\mu D_\nu + D_\mu D_\mu D_\nu D_\nu 
- \tilde X D_\mu D_\mu - D_\mu D_\mu \tilde X + \tilde X^2 ) \,
\tilde U[A](x;x') \, \right\vert_{x' = x}  \,,
\\
\tilde c_3 & = & \left. 4 k_\mu k_\nu \, (-D_\mu D_\nu D_\alpha D_\alpha 
- D_\mu D_\alpha D_\alpha D_\nu - D_\alpha D_\alpha D_\mu D_\nu 
+ D_\mu D_\nu \tilde X + D_\mu \tilde X D_\nu + \tilde X D_\mu D_\nu )
\, \tilde U[A](x;x') \, \right\vert_{x' = x}  
\nonumber \\
\label{eq:ctcoeff3}
&& + \mbox{terms which contribute to $g_3$}  \,,
\\
\label{eq:ctcoeff4}
\tilde c_4 & = & \left. 16 k_\mu k_\nu k_\alpha k_\beta 
D_\mu D_\nu D_\alpha D_\beta \tilde U[A](x;x') \, \right\vert_{x' = x}  
+ \mbox{terms which contribute to $g_3$, $g_4$}  \,.
\end{eqnarray}
\"
4,"\begin{subequations}
    \label{eq:acoeffcov}
\begin{eqnarray}
g_0 & = & I_0(\sqrt{\tau}T)  \,,
\\
g_1 & = & -\tilde X \, I_0(\sqrt{\tau}T) + a_0^2 \, 
\left( I_0(\sqrt{\tau}T) - I_{2t}(\sqrt{\tau}T) \right)
\,,
\\
g_2 & = & {1 \over 2} \, \tilde X^2 I_0(\sqrt{\tau}T) 
- {1 \over 6} \left[ D_i,[D_i,\tilde X] \right] I_0(\sqrt{\tau}T) 
- {1 \over 6} \left[ D_0,[D_0,\tilde X] \right] 
  \left( 3 I_0(\sqrt{\tau}T) - 2 I_{2t}(\sqrt{\tau}T) \right)
\nonumber \\ && {}
- \left( [D_0,\tilde X] \, a_0 + \tilde X a_0^2 \right)
  \left( I_0(\sqrt{\tau}T) - I_{2t}(\sqrt{\tau}T) \right)
+ {1 \over 12} [D_i,D_j]^2 I_0(\sqrt{\tau}T)
+ {1 \over 6} [D_i,D_0]^2 \, \left( 2 I_0(\sqrt{\tau}T) - I_{2t}(\sqrt{\tau}T) \right)
\nonumber \\ && {}
+ {1 \over 6} \left[ D_i, \left[ D_0, [D_i,D_0] \right] \right] \,
  \left( I_0(\sqrt{\tau}T) - I_{2t}(\sqrt{\tau}T) \right)
+ {1 \over 3} \left[ D_i, [D_i,D_0] \right] \, a_0 \, 
  \left( I_0(\sqrt{\tau}T) - I_{2t}(\sqrt{\tau}T) \right)
\nonumber \\ \label{eq:acoeffcov2}
&& {}
+ {1 \over 2} \, a_0^4 \, 
  \left( I_0(\sqrt{\tau}T) - 2 I_{2t}(\sqrt{\tau}T) + I_{4t}(\sqrt{\tau}T) \right)
\,.
\end{eqnarray}
\"
5,"\begin{subequations}
    \label{eq:acoeffcovvac}
\begin{eqnarray}
g^{\rm vac}_0 & = & 1  \,,
\\
g^{\rm vac}_1 & = & -\tilde X \,,
\\
g^{\rm vac}_2 & = & {1 \over 2} \, \tilde X^2 
- {1 \over 6} \left[ D_i,[D_i,\tilde X] \right] 
- {1 \over 6} \left[ D_0,[D_0,\tilde X] \right] 
+ {1 \over 12} [D_i,D_j]^2 
+ {1 \over 6} [D_i,D_0]^2 
\nonumber \\
& = & {1 \over 2} \, \tilde X^2 
- {1 \over 6} \left[ D_\mu,[D_\mu,\tilde X] \right] 
+ {1 \over 12} [D_\mu,D_\nu]^2
\,.
\end{eqnarray}
\"
6,"\begin{subequations}
    \label{eq:acoefftwodim}
\begin{eqnarray}
g_0 & = & I_0(\sqrt{\tau}T)  \,,
\\
g_1 & = & E \sigma_3 \, I_0(\sqrt{\tau}T) - (E x_1+2\pi T a)^2 \, 
\left( I_0(\sqrt{\tau}T) - I_{2t}(\sqrt{\tau}T) \right)
\,,
\\
g_2 & = & 
- E \sigma_3 \, (E x_1 + 2 \pi T a)^2  \,
  \left( I_0(\sqrt{\tau}T) - I_{2t}(\sqrt{\tau}T) \right)
+ {1 \over 6} \, E^2 \, \left( I_0(\sqrt{\tau}T) + I_{2t}(\sqrt{\tau}T) \right)
\nonumber \\ && {}
+ {1 \over 2} \, (E x_1 + 2\pi T a)^4 \, 
  \left( I_0(\sqrt{\tau}T) - 2 I_{2t}(\sqrt{\tau}T) + I_{4t}(\sqrt{\tau}T) \right)
\,.
\end{eqnarray}
\"
7,"\begin{subequations}
    \label{eq:acoefftrace}
\begin{eqnarray}
{\rm tr}g_0 & = & 2 I_0  \,,
\\
{\rm tr}g_1 & = & 2 a_0^2 \, (I_0 - I_{2t})
\,,
\\
{\rm tr}g_2 & = & {1 \over 3} E^2 \, (I_0 + I_{2t}) + 
a_0^4 \, (I_0 - 2 I_{2t} + I_{4t} )
\,.
\end{eqnarray}
\"
8,"\begin{subequations}
  \label{eq:sumint}
\begin{eqnarray}
(4 \pi \tau)^{D/2} \sumint {d^{D}k \over (2 \pi)^{D}} \, e^{-\tau k^2} & =: & 
I_0(\sqrt{\tau}T)   \,,  \\
(4 \pi \tau)^{D/2} \sumint {d^{D}k \over (2 \pi)^{D}} \, e^{-\tau k^2} \, 2 \tau k_0^2
& =: & I_{2t}(\sqrt{\tau}T)   \,,  \\
(4 \pi \tau)^{D/2} \sumint {d^{D}k \over (2 \pi)^{D}} \, e^{-\tau k^2} \, 
2 \tau k_i k_j
& =: & I_{2s}(\sqrt{\tau}T) \, \delta_{ij}   \,,  \\
(4 \pi \tau)^{D/2} \sumint {d^{D}k \over (2 \pi)^{D}} \, e^{-\tau k^2} \, 
{4\over 3} \tau^2 k_0^4
& =: & I_{4t}(\sqrt{\tau}T)   \,,  \\
(4 \pi \tau)^{D/2} \sumint {d^{D}k \over (2 \pi)^{D}} \, e^{-\tau k^2} \, 
4 \tau^2 k_0^2 k_i k_j
& =: & I_{4m}(\sqrt{\tau}T) \, \delta_{ij}   \,,  \\
(4 \pi \tau)^{D/2} \sumint {d^{D}k \over (2 \pi)^{D}} \, e^{-\tau k^2} \, 
4 \tau^2 k_i k_j k_l k_m
& =: & I_{4s}(\sqrt{\tau}T) \, 
\left(\delta_{ij} \delta_{lm} + \delta_{il} \delta_{jm} + \delta_{im} \delta_{jl} \right)
\,.
\end{eqnarray}
\"
9,"\begin{subequations}
  \label{eq:spaceint}
\begin{eqnarray}
\int {d^{D}k \over \pi^{D}} \, e^{-\vec k^2} & = & 1 \,  \\ 
\int {d^{D}k \over \pi^{D}} \, e^{-\vec k^2} \, k_i k_j & = & 
{1 \over 2} \, \delta_{ij}   \,,  \\
\int {d^{D}k \over \pi^{D}} \, e^{-\vec k^2} \, k_i k_j k_l k_m & = & {1 \over 4}
\left(\delta_{ij} \delta_{lm} + \delta_{il} \delta_{jm} + \delta_{im} \delta_{jl} \right)
\,.
\end{eqnarray}
\"
