,equation
0,"\begin{equation}\label{Liouville-equation}
\varphi_{\tau\tau}(\tau,\sigma) 
-\varphi_{\sigma\sigma}(\tau,\sigma)
+\frac{4m^2}{\gamma}\,\, e^{2\gamma\varphi(\tau,\sigma)}=0
\"
1,"\begin{equation}\label{m-Liouville}
\ddot{Q}(\tau) +\frac{4m^2}{\gamma}\, e^{2\gamma Q(\tau)}=0.
\"
2,"\begin{equation}\label{m-Hamiltonian}
H=\frac{1}{4\pi}\left(P^2+4\omega^2\, e^{2\gamma Q}\right)
\"
3,"\begin{equation}\label{v-eq}
\ddot V(\tau) =\frac{\gamma^2}{\pi}\,H\, V(\tau),
\"
4,"\begin{equation}\label{g-solution}
e^{-\gamma Q(\tau)}=
e^{-\gamma \left(q+\frac{p\tau}{2\pi}\right)} +
\frac{\omega^2}{p^2}\,\,e^{\gamma \left(q+\frac{p\tau}{2\pi}\right)},
\"
5,"\begin{equation}\label{p-H}
p=\sqrt {4\pi H}>0.
\"
6,"\begin{equation}\label{in-varibales}
\lim_{\tau \rightarrow -\infty}\,
\left[Q(\tau) - q-\frac{p\tau}{2\pi}\right]=0,
~~~~~~~~~~\lim_{\tau \rightarrow -\infty}\,\left[ P(\tau)-p\right] =0.
\"
7,"\begin{equation}\label{out-varibales}
P_{out}=-p, ~~~~~~Q_{out}=-q+\frac{2}{\gamma}\log\,\frac{p}{\omega}\,,
\"
8,"\begin{equation}\label{Liouville-solution}
\varphi(\tau,\sigma) =\log \frac{A\,'(\tau +\sigma)\bar A\,'(\tau -\sigma)}
{[1+m^2 A(\tau +\sigma)\bar A(\tau -\sigma)]^2}\,.
\"
9,"\begin{equation}\label{alpha}
x=\gamma Q-\log\frac{\alpha}{m}~~~~\mbox{and}~~~~ 
\alpha =\frac{\hbar\gamma^2}{4\pi}\,,
\"
10,"\begin{equation}\label{H,H_0}
\hat H=\hbar\alpha\left(-\partial^2_x+e^{2x}\right).
\"
11,"\begin{equation}\label{H-Psi}
-\Psi_k\,''(x)+ e^{2x}\,\Psi_k(x)=k^2\,\Psi_k(x).
\"
12,"\begin{equation}\label{d_k}
\Psi_k(x)=d_k \,K_{ik}\left(e^{x}\right),~~~~~\mbox{with}~~~~
d_k=\sqrt{\frac{2}{\pi}}\,\,\frac{2^{ik}}{\Gamma(-ik)}\,,
\"
13,"\begin{equation}\label{Psi-}
\Psi_k(x)\rightarrow \frac{e^{ikx}}{\sqrt{2\pi}}+
S_k\,\frac{e^{-ikx}}{\sqrt{2\pi}}\,,~~~~\mbox{as}~~~x\rightarrow -\infty,
\"
14,"\begin{equation}\label{s_k}
S_k=2^{2ik}\,\frac{\Gamma(ik)}{\Gamma(-ik)}\,.
\"
15,"\begin{equation}\label{V(k,k)}
V_{2b}(k,k\,';\tau)=\langle\,\Psi_k |e^{2b\,\gamma\hat Q(\tau)}
|\,\Psi_{k\,'}\,\rangle.
\"
16,"\begin{equation}\label{e^Q(tau)1}
V_{2b}(k,k\,';\tau)=\left(\frac{\alpha}{m}\right)^{2b}\,d_k^*\,d_{k\,'}
\,\,e^{i\alpha(k^2-k\,'^2)\tau}\,\,F_{2b}(k,k\,'),
\"
17,"\begin{equation}\label{I(k,k)}
F_{2b}(k,k\,')=
\int_{-\infty}^{\infty}dx\, K_{ik}(e^x)\,e^{{2b} x}\,K_{ik\,'}(e^x).
\"
18,"\begin{equation}\label{kappa}
\kappa= \frac{k+k\,'}{2}\,\,,~~~~~~~\rho=\frac{k-k\,'}{2}\,\,,
\"
19,"\begin{equation}\label{V(k,k)1}
V_{2b}=\left(\frac{\alpha}{m}\right)^{2b}\,\,e^{4i\alpha\rho\kappa\tau}\,4^{b-i\rho}\,
\frac{\Gamma\left(b+i\kappa\right)
\Gamma\left(b-i\kappa\right)}
{\Gamma\left(i\rho+i\kappa\right)
\Gamma\left(i\rho-i\kappa\right)}\,\frac
{\Gamma\left(b+i\rho\right)
\Gamma\left(b-i\rho\right)}{4\pi\,\Gamma(2b)}\,.
\"
20,"\begin{equation}\label{delta+}
\frac{1}{\pi}\,\frac{\epsilon}{(k-k\,')^2+\epsilon^2}.
\"
21,"\begin{equation}\label{delta-}
\frac{1}{\pi}\,\frac{\epsilon}{(k-k\,')^2+\epsilon^2}+
\delta(k-k\,'+ i\epsilon)+\delta(k-k\,'- i\epsilon),
\"
22,"\begin{equation}\label{delta}
\int_0^{+\infty} dk\,'\,\,\delta(k-k\,'\pm i\epsilon)
\,\psi (k\,')=\psi (k \pm i\epsilon).
\"
23,"\begin{equation}\label{C_b}
C_{2|b|}^l=\prod_{j=0}^{l-1}\frac{2|b|-j}{j+1}.
\"
24,"\begin{equation}\label{V(k,k)3}
V_{-n}(\kappa,\rho;\tau)=\left(\frac{m}{\alpha}\right)^{n}\sum_{l=0}^nC_n^l\,
e^{-2(n-2l)\kappa\tau}\,\,\prod_{j=0}^{l-1} \frac{1}{4\kappa^2+(n-2j)^2}
\,\,\delta[2\rho-i(n-2l)],
\"
25,"\begin{equation}\label{e^}
e^{\pm\gamma\hat q}=e^{\pm(i\hbar\gamma\partial_p\,+\lambda)},
\"
