,equation
0,"\begin{equation}
S = \int d^4 x\ \left\{\frac{1}{4}F^{a,\mu\nu}F^a_{\mu\nu} + \frac{1}{4}Tr(
D^\mu \Phi D_\mu
\Phi )  - V(\Phi)\right\}\quad,
\"
1,"\begin{equation}
V=-\frac{1}{2}\mu^2Tr\left(\Phi^2\right) -\frac{1}{3}\gamma Tr\left(\Phi^3\right) + \frac{1}{4} \lambda \left(Tr\left(\Phi^2\right)\right)^2\quad,
\label{potential}
\"
2,"\begin{equation}
\Phi_0=\left(\begin{array}{ccc}
-f&0&0\\ 0&-f&0\\ 0&0&2f
\end{array}\right)\quad,
\"
3,"\begin{equation}
\Phi(x^\mu)=\Phi_0+\sqrt{2}\phi_1(x^\mu) E_1
+\sqrt{2}\phi_2(x^\mu)~R_3(a(x^\mu))E_2R_3(a(x^\mu))^T\quad,
\"
4,"\begin{equation}
E_1=\frac{1}{\sqrt{6}}\left(\begin{array}{ccc} -1&0&0\\ 0&-1&0\\ 0&0&2
\end{array}\right)
~;~~E_2=\frac{1}{\sqrt{2}}\left(\begin{array}{ccc} 1&0&0\\ 0&-1&0\\
0&0&0
\end{array}\right)
~;~~E_3=\frac{1}{\sqrt{2}}\left(\begin{array}{ccc} 0&0&1\\ 0&0&0\\
1&0&0
\end{array}\right)
\"
5,"\begin{equation}
V(\Phi) = const. + (2\mu^2 + \gamma f)\phi_1^2 + 3\gamma f|\phi_2|^2
+~\cdots\quad,
\"
6,"\begin{equation}
\frac{1}{4}Tr(D^\mu \Phi D_\mu \Phi) = \frac{1}{2}(\partial_\mu\phi_1)^2 +
\frac{1}{2}\left|D_\mu^3 \phi_2\right|^2 +\frac{9}{2}e^2f^2\left[\left(A_\mu^1\right)^2 + \left(A_\mu^2\right)^2\right] +~\cdots\quad,
\"
7,"\begin{equation}
\Phi(z,\rho,\theta=0)=\phi_1(z,\rho) E_1+ \phi_2(z,\rho) E_2 + \phi_3(z,\rho) E_3
\"
8,"\begin{equation}
\Phi(z,\rho,\theta)=R_3(\theta)\Phi(z,\rho,\theta=0)R_3(\theta)^T\quad.
\"
9,"\begin{equation}
\frac{m_A}{m_2}=\frac{2~\left(\frac{m_A}{m_2}\right)_\frac{1}{3}}{3\sqrt{\frac{1}{3}+\left(\frac{m_1}{m_2}\right)^2}}\quad, 
\"
10,"\begin{equation}
S = \int d^4 x\ \left\{\frac{1}{4}F^{a,\mu\nu}F^a_{\mu\nu} + \frac{1}{4}Tr(
D^\mu \Phi D_\mu
\Phi )  - V(\Phi)\right\}\quad,
\"
11,"\begin{equation}
V=-\frac{1}{2}\mu^2Tr\left(\Phi^2\right) -\frac{1}{3}\gamma Tr\left(\Phi^3\right) + \frac{1}{4} \lambda \left(Tr\left(\Phi^2\right)\right)^2\quad,
\label{potential}
\"
12,"\begin{equation}
\Phi_0=\left(\begin{array}{ccc}
-f&0&0\\ 0&-f&0\\ 0&0&2f
\end{array}\right)\quad,
\"
13,"\begin{equation}
\Phi(x^\mu)=\Phi_0+\sqrt{2}\phi_1(x^\mu) E_1
+\sqrt{2}\phi_2(x^\mu)~R_3(a(x^\mu))E_2R_3(a(x^\mu))^T\quad,
\"
14,"\begin{equation}
E_1=\frac{1}{\sqrt{6}}\left(\begin{array}{ccc} -1&0&0\\ 0&-1&0\\ 0&0&2
\end{array}\right)
~;~~E_2=\frac{1}{\sqrt{2}}\left(\begin{array}{ccc} 1&0&0\\ 0&-1&0\\
0&0&0
\end{array}\right)
~;~~E_3=\frac{1}{\sqrt{2}}\left(\begin{array}{ccc} 0&0&1\\ 0&0&0\\
1&0&0
\end{array}\right)
\"
15,"\begin{equation}
V(\Phi) = const. + (2\mu^2 + \gamma f)\phi_1^2 + 3\gamma f|\phi_2|^2
+~\cdots\quad,
\"
16,"\begin{equation}
\frac{1}{4}Tr(D^\mu \Phi D_\mu \Phi) = \frac{1}{2}(\partial_\mu\phi_1)^2 +
\frac{1}{2}\left|D_\mu^3 \phi_2\right|^2 +\frac{9}{2}e^2f^2\left[\left(A_\mu^1\right)^2 + \left(A_\mu^2\right)^2\right] +~\cdots\quad,
\"
17,"\begin{equation}
\Phi(z,\rho,\theta=0)=\phi_1(z,\rho) E_1+ \phi_2(z,\rho) E_2 + \phi_3(z,\rho) E_3
\"
18,"\begin{equation}
\Phi(z,\rho,\theta)=R_3(\theta)\Phi(z,\rho,\theta=0)R_3(\theta)^T\quad.
\"
19,"\begin{equation}
\frac{m_A}{m_2}=\frac{2~\left(\frac{m_A}{m_2}\right)_\frac{1}{3}}{3\sqrt{\frac{1}{3}+\left(\frac{m_1}{m_2}\right)^2}}\quad, 
\"
