,equation
0,"\begin{equation}
\label{newgodel}
ds^2 = - dt^2 + d\rho^2 + \rho^2 ( 1 -\rho^2 ) d\phi^2 - 2\rho^2 dt d\phi,
\"
1,"\begin{equation}
\label{genppII}
ds^2 = -2 dx^+ dx^-
- \beta^2 \sum_{k=1}^n a_k^2 \left[ (\tilde{x}^{2k-1})^2 +
(\tilde{x}^{2k})^2 \right]
+ \sum_{i=1}^{2n} (d\tilde{x}^i)^2 
+ \sum_{i=2n+1}^8 (dx^i)^2, 
\"
2,"\begin{equation}
\label{genct}
\tilde{x}^{2k-1} + i \tilde{x}^{2k}
= ( x^{2k-1} + i x^{2k} ) \exp \left( - i a_k \beta x^+ \right)
\ \ , \ \ k=1,...,n,
\"
3,"\begin{equation}
\label{aftercoII}
ds^2 = - dt^2 + dy^2 + \sum_{i=1}^8 (dx^i)^2 
- 2\beta \sum_{i,j=1}^{2n} J_{ij} x^i dx^j (dt+dy),
\"
4,"\begin{equation}
\label{genJij}
J_{2k-1 , 2k} = - J_{2k , 2k-1} = a_k
\ \ , \ \ k=1,...,n.
\"
5,"\begin{equation}
\label{metgodelII}
ds^2 = - \left( dt + \beta \sum_{i,j=1}^{2n} J_{ij} x^i dx^j \right)^2
+ \sum_{i=1}^8 (dx^i)^2 + dy^2,
\"
6,"\begin{equation}
\label{NSNSfields}
B_{iy} = \beta \sum_{j=1}^{2n} J_{ij} x^j
\ \ ,\ \ \ \ 
H_{ijy} = - 2\beta J_{ij}
\ \ , \ \ i,j=1,...,2n.
\"
7,"\begin{equation}
\label{genppM}
ds^2 = -2 dx^+ dx^-
- \beta^2 \sum_{k=1}^n a_k^2 \left[ (\tilde{x}^{2k-1})^2 +
(\tilde{x}^{2k})^2 \right]
+ \sum_{i=1}^{2n} (d\tilde{x}^i)^2 
+ \sum_{i=2n+1}^9 (dx^i)^2, 
\"
8,"\begin{equation}
\label{aftercoM}
ds^2 = - dt^2 + du^2 + \sum_{i=1}^9 (dx^i)^2 
- 2\beta \sum_{i,j=1}^{2n} J_{ij} x^i dx^j (dt+du),
\"
9,"\begin{equation}
ds_{\rm M}^2= ds_{\rm IIA}^2 + (du + A_\mu dx^\mu)^2,
\"
10,"\begin{equation}
\label{metgodelS}
ds^2 = - \left( dt + \beta \sum_{i,j=1}^{2n} J_{ij} x^i dx^j \right)^2
+ \sum_{i=1}^9 (dx^i)^2, 
\"
11,"\begin{equation}
\label{fluxgodelS}
A_i = \beta \sum_{j=1}^{2n} J_{ij} x^j
\ \ ,\ \ \ \ 
F_{ij} = - 2\beta J_{ij}
\ \ , \ \ i,j=1,...,2n.
\"
12,"\begin{equation}
\label{metgodeln}
ds^2 = - \left( dt + \sum_{i=1}^{n} c_i \rho_i^2 d\phi_i \right)^2
+ \sum_{i=1}^n \left( d\rho_i^2 + \rho_i^2 d\phi_i^2 \right),
\"
13,"\begin{equation}
\label{polartrans}
x^{2k-1} + i x^{2k} = \rho_k e^{i \phi_k} \ \ , \ \ k=1,...,n.
\"
14,"\begin{equation}
\label{riccin}
R^t_{\ t} = -2 \sum_{i=1}^n c_i^2,
\ \ ,\ \ \ \ 
R^{\rho_i}_{\ \rho_i} = R^{\phi_i}_{\ \phi_i} = 2 c_i^2,
\ \ ,\ \ \ \ 
R^t_{\ \phi_i} = - 2 c_i \rho_i^2 \left( c_i^2 + \sum_{j=1}^n c_j^2 \right).
\"
15,"\begin{equation}
\label{curvscal}
R = 2 \sum_{i=1}^n c_i^2.
\"
16,"\begin{equation}
\label{11Dact}
I = \frac{1}{2\kappa^2} \int d^{11} x \sqrt{-g} \left(
R - \frac{1}{2 \cdot 4!} (F_{(4)})^2 \right)
- \frac{1}{6} \frac{1}{2\kappa^2} \int C_{(3)} \wedge F_{(4)} \wedge F_{(4)},
\"
17,"\begin{equation}
\label{einsteqs}
R^\mu_{\ \nu} = K^\mu_{\ \nu} \ \ ,\ \ \ \ 
K^\mu_{\ \nu} \equiv \frac{1}{2} \left( \frac{1}{3!} 
F^{\mu \sigma \xi \kappa} F_{\nu \sigma \xi \kappa}
- \frac{1}{3} \delta^\mu_\nu \frac{1}{4!} (F_{(4)})^2 \right).
\"
18,"\begin{equation}
\label{fseqs}
d * F_{(4)} = - \frac{1}{2} F_{(4)} \wedge F_{(4)}
\ \ ,\ \ \ \ 
d F_{(4)} = 0.
\"
