,label
0,\label{#1}
1,\label{#1}
2,\label{BPS}
3,\label{flatm5metric}
4,\label{flatm54form}
5,\label{KSeqn}
6,\label{calib}
7,\label{caldefn}
8,\label{gencaldefn}
9,\label{fssptime}
10,\label{fsmethod}
11,\label{standard}
12,\label{susy}
13,\label{shortcut}
14,\label{eq:standard}
15,\label{genrule}
16,\label{eq:standard}
17,\label{m2metrics}
18,\label{fcond}
19,\label{examples}
20,\label{m2rule}
21,\label{vfm22}
22,\label{vfm23}
23,\label{chi}
24,\label{KS2}
25,\label{detzero}
26,\label{oddone}
