,equation
0,"\begin{equation}
xy=qyx
\"
1,"\begin{equation}
x^N=y^N=1,
\"
2,"\begin{equation}
x=\left(
\begin{array}{ccc}
1 & 0 & 0 \\
0 & q^{-1} & 0 \\
0 & 0 & q^{-2}
\end{array}
\right)
\"
3,"\begin{equation}
y=\left(
\begin{array}{ccc}
0 & 1 & 0 \\
0 & 0 & 1 \\
1 & 0 & 0
\end{array}
\right) ,
\"
4,"\begin{equation}
1+q+q^{2}=0.
\"
5,"\begin{equation}
d^3=0.
\"
6,"\begin{equation}
d(uv)=d(u)v+q^nud(v),
\"
7,"\begin{equation}
d(f(x)\, dx)=(df(x))\, dx+f(x)\, d^2x,
\"
8,"\begin{equation}
x\, dx=q^{2}dx\, x
\"
9,"\begin{equation}
x\, dy=qdy\, x+(q^2-1)dx\, y
\"
10,"\begin{equation}
y\, dx=qdx\, y
\"
11,"\begin{equation}
y\, dy=q^2dy\, y
\"
12,"\begin{equation}
dy\, dx=q^2dx\, dy
\"
13,"\begin{equation}
x\, d^2x=q^2d^2x\, x
\"
14,"\begin{equation}
y\, d^2x=qd^2x\, y
\"
15,"\begin{equation}
y\, d^2y=q^2d^2y\, y
\"
16,"\begin{equation}
x\, d^2y=qd^2y\, x+(q^2-1)d^2x\, y
\"
17,"\begin{equation}
dx\, d^2y=d^2y\, dx+q(1-q)d^2x\, dy
\"
18,"\begin{equation}
dy\, d^2x=d^2x\, dy
\"
19,"\begin{equation}
dx\, d^2x=qd^2x\, dx
\"
20,"\begin{equation}
dy\, d^2y=qd^2y\, dy
\"
21,"\begin{equation}
d^{2}y\, d^{2}x=q^{2}d^{2}x\, d^{2}y.
\"
22,"\begin{equation}
d=\frac \partial {\partial x}dx+\frac \partial {\partial y}dy=\partial
_xdx+\partial _ydy.
\"
23,"\begin{equation}
\partial _{x}\, \partial _{y}=q\partial _{y}\, \partial _{x}
\"
24,"\begin{equation}
\partial _{x}\, x=1+q^{2}x\, \partial _{x}+(q^{2}-1)y\, %
\partial _{y}
\"
25,"\begin{equation}
\partial _{x}\, y=qy\, \partial _{x}
\"
26,"\begin{equation}
\partial _{y}\, y=1+q^{2}y\, \partial _{y}
\"
27,"\begin{equation}
\partial _{y}\, y=1+q^{2}y\, \partial _{y}
\"
28,"\begin{equation}
(dx)^{3}=(dy)^{3}=0.
\"
29,"\begin{equation}
d(uv)=d(u)v+(j)^nud(v),
\"
30,"\begin{equation}
x\, dx=j^{2}dx\, x
\"
31,"\begin{equation}
x\, dy=-\frac{jq}{1+q^2}dy\, x+\frac{j^2q^2-1}{1+q^2}dx\, y
\"
32,"\begin{equation}
y\, dx=\frac{j^2-q^2}{1+q^2}dy\, x-\frac{jq}{1+q^2}dx\, y
\"
33,"\begin{equation}
y\, dy=j^2dy\, y
\"
34,"\begin{equation}
dx\, dy=qdy\, dx
\"
35,"\begin{equation}
x\, d^{2}x=j^{2}d^{2}x\, x
\"
36,"\begin{equation}
x\, d^{2}y=-\frac{jq}{1+q^{2}}d^{2}y\, x+\frac{j^{2}q^{2}-1}{%
1+q^{2}}d^{2}x\, y
\"
37,"\begin{equation}
yd^2x=\frac{j^2-q}{1+q^2}^2d^2y\, x-\frac{jq}{1+q^2}d^2x\, y
\"
38,"\begin{equation}
y\, d^2y=j^2d^2y\, y
\"
39,"\begin{equation}
dx\, d^{2}x=jd^{2}x\, dx
\"
40,"\begin{equation}
dx\, d^{2}y=-\frac{q}{1+q^{2}}d^{2}y\, dx+\frac{jq^{2}-j^{2}}{%
1+q^{2}}d^{2}x\, dy
\"
41,"\begin{equation}
dyd^{2}x=\frac{j-j^{2}q}{1+q^{2}}^{2}d^{2}y\, dx-\frac{q}{1+q^{2}}d^{2}x%
\, dy
\"
42,"\begin{equation}
dy\, d^{2}y=jd^{2}y\, dy
\"
43,"\begin{equation}
d^2x\, d^2y=qd^2y\, d^2x.
\"
44,"\begin{equation}
D\Phi (x,y)=d\Phi (x,y)+A(x,y)\Phi (x,y),
\"
45,"\begin{equation}
DU^{-1}\Phi (x,y)=U^{-1}D\Phi (x,y),
\"
46,"\begin{equation}
A(x,y)\rightarrow U^{-1}A(x,y)U+U^{-1}dU.
\"
47,"\begin{equation}
A(x,y)=A_{x}(x,y)dx+A_{y}(x,y)dy.
\"
48,"\begin{equation}
D^{3}\Phi (x,y)=R\Phi (x,y).
\"
49,"\begin{equation}
A_{x}(x,y)=a_{mn}x^{m}y^{n};\, m,n=0,1,2
\"
50,"\begin{equation}
A_y(x,y)=b_{kl}x^ky^l;\, k,l=0,1,2.
\"
51,"\begin{equation}
A_x(x,y)A_y(qx,q^2y)A_x(x,y)
\"
52,"\begin{equation}
\begin{array}{ccl}
F_{xy}^q &=&\partial _xA_y(x,y)-q\partial _yA_x(x,y)+
A_x(x,y)A_y(qx,q^2y)-qA_y(x,y)A_x(q^2x,qy) \cr
F_{yx}^{q^2}&=&\partial _yA_x(x,y)-q^2\partial _xA_y(x,y)+
A_y(x,y)A_x(q^2x,qy)-q^2A(x,y)A(qx,q^2y)  \cr
\end{array}
\"
53,"\begin{equation}
d^2=0.
\"
54,"\begin{equation}
d(uv)=d(u)v+(-1)^nud(v),
\"
55,"\begin{equation}
u\in \Omega ^n,v\in \Omega ^m\;\hbox{and},\, d(x)=dx,\, d(y)=dy,%
\, d1=0.
\"
56,"\begin{equation}
xdx=q^2dxx
\"
57,"\begin{equation}
xdy=qdyx+(q^2-1)dxy
\"
58,"\begin{equation}
ydx=qdxy
\"
59,"\begin{equation}
ydy=q^2dyy
\"
60,"\begin{equation}
dydx=-q^2dxdy
\"
61,"\begin{equation}
(dx)^2=(dy)^2=0.
\"
62,"\begin{equation}
d=\frac \partial {\partial x}dx+\frac \partial {\partial y}dy=\partial
_xdx+\partial _ydy,
\"
63,"\begin{equation}
\partial _xx=1+q^2x\partial _x+(q^2-1)y\partial _y
\"
64,"\begin{equation}
\partial _yx=qx\partial _x
\"
65,"\begin{equation}
\partial _xy=qy\partial _x
\"
66,"\begin{equation}
\partial _{y}y=1+q^{2}y\partial _{y}.
\"
67,"\begin{equation}
D\Phi (x,y)=d\Phi (x,y)+A(x,y)\Phi (x,y).
\"
68,"\begin{equation}
D^{2}\Phi (x,y)=(dA(x,y)+A(x,y)A(x,y))\Phi (x,y)=R\Phi (x,y).
\"
69,"\begin{equation}
R=(\partial _xA_y(x,y)-q\partial _yA_x(x,y))dxdy+A_x(x,y)dxA_y(x,y)dy.
\"
70,"\begin{equation}
(1-q)A_y(x,y)\{-qb_{12}-b_{10}y+q^2b_{22}x-q^2b_{11}y^2+qb_{20}xy+b_{21}xy^2%
\}]dxdy,
\"
71,"\begin{equation}
xdx=a_1dxx+b_1dyx+c_1dxy+d_1dyy
\"
72,"\begin{equation}
xdy=a_2dxx+b_2dyx+c_2dxy+d_2dyy
\"
73,"\begin{equation}
ydx=a_3dxx+b_3dyx+c_3dxy+d_3dyy
\"
74,"\begin{equation}
ydy=a_4dxx+b_4dyx+c_4dxy+d_4dyy .
\"
75,"\begin{equation}
xy=qyx
\"
76,"\begin{equation}
x^N=y^N=1,
\"
77,"\begin{equation}
x=\left(
\begin{array}{ccc}
1 & 0 & 0 \\
0 & q^{-1} & 0 \\
0 & 0 & q^{-2}
\end{array}
\right)
\"
78,"\begin{equation}
y=\left(
\begin{array}{ccc}
0 & 1 & 0 \\
0 & 0 & 1 \\
1 & 0 & 0
\end{array}
\right) ,
\"
79,"\begin{equation}
1+q+q^{2}=0.
\"
80,"\begin{equation}
d^3=0.
\"
81,"\begin{equation}
d(uv)=d(u)v+q^nud(v),
\"
82,"\begin{equation}
d(f(x)\, dx)=(df(x))\, dx+f(x)\, d^2x,
\"
83,"\begin{equation}
x\, dx=q^{2}dx\, x
\"
84,"\begin{equation}
x\, dy=qdy\, x+(q^2-1)dx\, y
\"
85,"\begin{equation}
y\, dx=qdx\, y
\"
86,"\begin{equation}
y\, dy=q^2dy\, y
\"
87,"\begin{equation}
dy\, dx=q^2dx\, dy
\"
88,"\begin{equation}
x\, d^2x=q^2d^2x\, x
\"
89,"\begin{equation}
y\, d^2x=qd^2x\, y
\"
90,"\begin{equation}
y\, d^2y=q^2d^2y\, y
\"
91,"\begin{equation}
x\, d^2y=qd^2y\, x+(q^2-1)d^2x\, y
\"
92,"\begin{equation}
dx\, d^2y=d^2y\, dx+q(1-q)d^2x\, dy
\"
93,"\begin{equation}
dy\, d^2x=d^2x\, dy
\"
94,"\begin{equation}
dx\, d^2x=qd^2x\, dx
\"
95,"\begin{equation}
dy\, d^2y=qd^2y\, dy
\"
96,"\begin{equation}
d^{2}y\, d^{2}x=q^{2}d^{2}x\, d^{2}y.
\"
97,"\begin{equation}
d=\frac \partial {\partial x}dx+\frac \partial {\partial y}dy=\partial
_xdx+\partial _ydy.
\"
98,"\begin{equation}
\partial _{x}\, \partial _{y}=q\partial _{y}\, \partial _{x}
\"
99,"\begin{equation}
\partial _{x}\, x=1+q^{2}x\, \partial _{x}+(q^{2}-1)y\, %
\partial _{y}
\"
100,"\begin{equation}
\partial _{x}\, y=qy\, \partial _{x}
\"
101,"\begin{equation}
\partial _{y}\, y=1+q^{2}y\, \partial _{y}
\"
102,"\begin{equation}
\partial _{y}\, y=1+q^{2}y\, \partial _{y}
\"
103,"\begin{equation}
(dx)^{3}=(dy)^{3}=0.
\"
104,"\begin{equation}
d(uv)=d(u)v+(j)^nud(v),
\"
105,"\begin{equation}
x\, dx=j^{2}dx\, x
\"
