,cite
0,"\cite{SF,STF,Sk,TF2,F}"
1,"\cite{MS,KMT,MT}"
2,"\cite{KMT,MT}"
3,"\cite{KMT,KMST,KMST2}"
4,\cite{MT}
5,"\cite{TTF,AL,IK,IK2,IK3,BK,KIB,C,KR}"
6,"\cite{STF,IK4,IK5,IK2}"
7,\cite{S}
8,"\cite{S1,S2}"
9,\cite{S}
10,"\cite{TW,CTW,HWW,Th}"
