,cite
0,\cite{Skyrme:1961vq}
1,\cite{Adkins:1983ya}
2,"\cite{Leese:1995hb, Irwin:1998bs,
Krusch:2002by}"
3,"\cite{Finkelstein:1968hy,Witten:1983tw}"
4,\cite{Balachandran:1998zq}
5,\cite{Hiller:1986ry}
6,"\cite{Kahana:1984be,Ripka:1985am, Ripka:1997}"
7,\cite{Manton:1986pz}
8,\cite{Manton:1993aa}
9,\cite{Nakahara:1990}
10,\cite{Eguchi:1980jx}
11,\cite{Krusch:2000gb}
12,\cite{Gell-Mann:1960np}
13,\cite{Ripka:1997}
14,\cite{Balachandran:1998zq}
15,\cite{Manton:1987xt}
16,\cite{Whittaker:1927}
