,equation
0,"\begin{equation}
[x^{\rho},x^{\sigma}]_{*}=i\theta^{\rho\sigma},
\label{nc}
\"
1,"\begin{equation}
\hat p(x)*\hat q(x)=e^{\frac{i}{2}\theta_{\mu\nu}\partial_{\sigma_{\mu}}\partial_{\xi_{\nu}}}\hat p(x+\sigma )\hat q(x+\xi )\mid_{\sigma =\xi =0}
=\hat p(x)\hat q(x)+\frac{i}{2}\theta^{\rho\sigma}\partial_{\rho}\hat p(x)\partial_{\sigma}\hat q(x)+~O(\theta^{2}).
\label{mw}
\"
2,"\begin{equation}
=\int d^{3}x ~[\bar {\hat\psi}(x)(i\gamma^{\mu}\partial_{\mu}+m)\hat \psi(x)-\frac{g^{2}}{2}\hat j^{\mu}(x)\hat j_{\mu}(x)],
\label{thr}
\"
3,"\begin{equation}
\hat j^{\mu}(x)=\bar {\hat\psi}(x)*\gamma^{\mu}\hat\psi (x).
\label{cur}
\"
4,"\begin{equation}
=\int d^{3}x ~[\bar {\hat\psi}(x)(i\gamma^{\mu}\partial_{\mu}+m)\hat \psi(x)+\hat j^{\mu}(x)\hat B_{\mu}(x)+\frac{1}{2g^{2}}\hat B^{\mu}\hat B_{\mu}],
\label{aux}
\"
5,"\begin{equation}
\hat D_{\mu}\hat\psi 
\begin{array}[t]{l}
 =\partial_{\mu}\hat\psi+i\hat B_\mu*\hat\psi \\
=\partial_{\mu}\hat\psi-i\hat\psi*\hat B_\mu \\
=\partial_{\mu}\hat\psi+i(\hat\psi*\hat B_\mu -\hat B_\mu*\hat\psi )
\end{array}
\label{cov}
\"
6,"\begin{equation}
\hat S[\hat B]=\int d^{3}x [-\frac{1}{8\pi}\epsilon^{\mu\nu\lambda}(\hat B_{\mu}*\partial_{\nu}\hat B_{\lambda}+\frac{2i}{3}\hat B_{\mu}*\hat B_{\nu}*\hat B_{\lambda})+\frac{1}{2g^{2}}\hat B^{\mu}\hat B_{\mu}] +O(\frac{1}{m}).
\label{bosz}
\"
7,"\begin{equation}
S_{SD}=\int d^{3}x[\frac{1}{2g^2}B^\mu B_\mu-\frac{1}{8\pi}\epsilon ^{\alpha\beta\gamma}B_\alpha\partial _\beta B_\gamma ]
\label{sd}
\"
8,"\begin{equation}
 S_{MCS}=\int d^{3}x[-\frac{1}{2}(\partial_{\alpha}A_{\beta}-\partial_{\beta}A_{\alpha})\partial^{\alpha}A^{\beta}+\frac{2\pi}{g^2}\epsilon^{\alpha\beta\gamma}A_{\alpha}\partial_{\beta}A_{\gamma}].
\label{mcs}
\"
9,"\begin{equation}
\hat S_{SD}=\int d^{3}x[\frac{1}{2g^2}\hat B^\mu *\hat B_\mu-\frac{1}{8\pi}\epsilon ^{\alpha\beta\gamma}\hat B_\alpha *\partial _\beta \hat B_\gamma ]
\label{ncsd}
\"
10,"\begin{equation}
\hat S_{MCS}=\int d^{3}x[-\frac{1}{2}(\partial_{\alpha}(\hat A +\hat a )_{\beta}-\partial_{\beta}(\hat A +\hat a )_{\alpha})*\partial^{\alpha}(\hat A +\hat a )^{\beta}+\frac{2\pi}{g^2}\epsilon^{\alpha\beta\gamma}(\hat A +\hat a )_{\alpha}*\partial_{\beta}(\hat A +\hat a )_{\gamma}].
\label{ncmcs}
\"
11,"\begin{equation}
\lambda =\hat \lambda +\frac{1}{2}\theta^{\rho\sigma}\hat A_{\rho}\partial_{\sigma}\hat \lambda .
\label{swm}
\"
12,"\begin{equation}
[x^{\rho},x^{\sigma}]_{*}=i\theta^{\rho\sigma},
\label{nc}
\"
13,"\begin{equation}
\hat p(x)*\hat q(x)=e^{\frac{i}{2}\theta_{\mu\nu}\partial_{\sigma_{\mu}}\partial_{\xi_{\nu}}}\hat p(x+\sigma )\hat q(x+\xi )\mid_{\sigma =\xi =0}
=\hat p(x)\hat q(x)+\frac{i}{2}\theta^{\rho\sigma}\partial_{\rho}\hat p(x)\partial_{\sigma}\hat q(x)+~O(\theta^{2}).
\label{mw}
\"
14,"\begin{equation}
=\int d^{3}x ~[\bar {\hat\psi}(x)(i\gamma^{\mu}\partial_{\mu}+m)\hat \psi(x)-\frac{g^{2}}{2}\hat j^{\mu}(x)\hat j_{\mu}(x)],
\label{thr}
\"
15,"\begin{equation}
\hat j^{\mu}(x)=\bar {\hat\psi}(x)*\gamma^{\mu}\hat\psi (x).
\label{cur}
\"
16,"\begin{equation}
=\int d^{3}x ~[\bar {\hat\psi}(x)(i\gamma^{\mu}\partial_{\mu}+m)\hat \psi(x)+\hat j^{\mu}(x)\hat B_{\mu}(x)+\frac{1}{2g^{2}}\hat B^{\mu}\hat B_{\mu}],
\label{aux}
\"
17,"\begin{equation}
\hat D_{\mu}\hat\psi 
\begin{array}[t]{l}
 =\partial_{\mu}\hat\psi+i\hat B_\mu*\hat\psi \\
=\partial_{\mu}\hat\psi-i\hat\psi*\hat B_\mu \\
=\partial_{\mu}\hat\psi+i(\hat\psi*\hat B_\mu -\hat B_\mu*\hat\psi )
\end{array}
\label{cov}
\"
18,"\begin{equation}
\hat S[\hat B]=\int d^{3}x [-\frac{1}{8\pi}\epsilon^{\mu\nu\lambda}(\hat B_{\mu}*\partial_{\nu}\hat B_{\lambda}+\frac{2i}{3}\hat B_{\mu}*\hat B_{\nu}*\hat B_{\lambda})+\frac{1}{2g^{2}}\hat B^{\mu}\hat B_{\mu}] +O(\frac{1}{m}).
\label{bosz}
\"
19,"\begin{equation}
S_{SD}=\int d^{3}x[\frac{1}{2g^2}B^\mu B_\mu-\frac{1}{8\pi}\epsilon ^{\alpha\beta\gamma}B_\alpha\partial _\beta B_\gamma ]
\label{sd}
\"
20,"\begin{equation}
 S_{MCS}=\int d^{3}x[-\frac{1}{2}(\partial_{\alpha}A_{\beta}-\partial_{\beta}A_{\alpha})\partial^{\alpha}A^{\beta}+\frac{2\pi}{g^2}\epsilon^{\alpha\beta\gamma}A_{\alpha}\partial_{\beta}A_{\gamma}].
\label{mcs}
\"
21,"\begin{equation}
\hat S_{SD}=\int d^{3}x[\frac{1}{2g^2}\hat B^\mu *\hat B_\mu-\frac{1}{8\pi}\epsilon ^{\alpha\beta\gamma}\hat B_\alpha *\partial _\beta \hat B_\gamma ]
\label{ncsd}
\"
22,"\begin{equation}
\hat S_{MCS}=\int d^{3}x[-\frac{1}{2}(\partial_{\alpha}(\hat A +\hat a )_{\beta}-\partial_{\beta}(\hat A +\hat a )_{\alpha})*\partial^{\alpha}(\hat A +\hat a )^{\beta}+\frac{2\pi}{g^2}\epsilon^{\alpha\beta\gamma}(\hat A +\hat a )_{\alpha}*\partial_{\beta}(\hat A +\hat a )_{\gamma}].
\label{ncmcs}
\"
23,"\begin{equation}
\lambda =\hat \lambda +\frac{1}{2}\theta^{\rho\sigma}\hat A_{\rho}\partial_{\sigma}\hat \lambda .
\label{swm}
\"
