,equation
0,"\begin{equation}
\Gamma: R(\lambda, \mu) \equiv R_0(\lambda,\mu) + \sum_j R_j(\lambda,\mu) H_j = 0
\label{specurve}
\"
1,"\begin{equation}
\delta \mu \,d\lambda = - \sum_j {R_j\over  \partial_\mu R } \delta H_j = {\rm holomorphic}
\label{deltamu}
\"
2,"\begin{equation}
{\delta \mu \,d\lambda\over f(\lambda,\mu)}   = {\rm holomorphic},\quad {\rm then~~} {R_j(\lambda,\mu) \over \partial_\mu R (\lambda,\mu) } = f(\lambda,\mu) \sigma_j(\lambda,\mu)
\label{delatmugeneral}
\"
3,"\begin{equation}
 \sum_{j=1}^g R_j(\lambda_k,\mu_k) H_j + R_0(\lambda_k,\mu_k) = 0,\quad k=1,\cdots ,g
\label{baxterclassique}
\"
4,"\begin{equation}
 H = - B^{-1} V
\label{hamiltoniensclassiques}
\"
5,"\begin{equation}
\{ \lambda_k,\lambda_{k'}\}=0, \quad \{ \lambda_k,\mu_{k'}\} = p(\lambda_k,\mu_k) \delta_{kk'},
\quad \{ \mu_k,\mu_{k'}\}=0
\label{defpoisson}
\"
6,"\begin{equation}
\sum_k \partial_{t_i} \lambda_k \;{f(\lambda_k,\mu_k) \over  p(\lambda_k,\mu_k)} \sigma_j(\lambda_k,\mu_k) = \delta_{ij}
\label{disturbing}
\"
7,"\begin{equation}
H =  \sum_{i=1}^{n+1}{1\over 2} p_i^2 + e^{q_{i+1}-q_i}
\label{hamtoda}
\"
8,"\begin{equation}
T(\lambda) = T_{1}(\lambda)\cdots T_2(\lambda)T_{n+1}(\lambda)
\label{nparticles}
\"
9,"\begin{equation}
T(\lambda) = \pmatrix{A(\lambda) & B(\lambda) \cr
                                  C(\lambda) & D(\lambda) }; \quad A(\lambda) D(\lambda) - B(\lambda) C(\lambda) =1
\label{TToda}
\"
10,"\begin{equation}
\det (T(\lambda) - \mu) = 0 \quad  \equiv \quad \mu + \mu^{-1} - t(\lambda) = 0
\label{spectralcurve}
\"
11,"\begin{equation}
{\delta \mu \over \mu}\;d\lambda = { \delta t(\lambda) \over \mu - \mu^{-1}}  d\lambda = 
 {\delta t(\lambda) \over  s} d\lambda =\; {\rm holomorphic}
 \label{holo1}
\"
12,"\begin{equation}
t(\lambda) = t^{(0)}(\lambda) + t^{(1)}(\lambda)
\label{lagrange}
\"
13,"\begin{equation}
t^{(0)}(\lambda) =  (\lambda + \sum_i \lambda_i) \prod_{i=1}^n (\lambda - \lambda_i), \quad
t^{(1)}(\lambda) =   \sum_i  \prod_{j\neq i} {\lambda-\lambda_j\over \lambda_i -\lambda_j}
 \;(\mu_i + \mu_i^{-1})
 \label{lagrangebis}
\"
14,"\begin{equation}
Q^{(i)}(\lambda_j) + \mu_j^{-1} R^{(i)}(\lambda_j) = 0, \quad j = 1 \cdots n
\label{conditions}
\"
15,"\begin{equation}
S_{[k]} = \prod_{i\in [k]}\prod_{j\neq [k]} {1\over (\lambda_{i} -\lambda_j)}
\label{defSk}
\"
16,"\begin{equation}
e^{q_i-q_{n+1}} ={X^{(n-i+1)}\over X^{(n-i)}},\quad p_i = {Y^{(n-i+1)}\over X^{(n-i+1)}}-{Y^{(n-i)}\over X^{(n-i)}}
\label{reconclass}
\"
