,equation
0,"\begin{equation} \label{det} S=\lambda \widetilde{\mathrm{Tr}}\int
\sqrt{-\det(g_{\mu\nu}+F_{\mu\nu}/\beta)}\,d^4 x
 - \kappa^2 \int\, (R_5+2\Lambda_5)\sqrt{-g_{5}}\,d^5x.
\"
1,"\begin{equation}\label{stractn}
S^{Str}_1=-\lambda \int \; dt N a^3
\frac{1-2K^2+2V^2-3V^2K^2}{\sqrt{1- K^2+ V^2-  K^2V^2}}.
\"
2,"\begin{equation}\label{tractn}
S^{tr}_1=-\lambda \int \; dt N a^3 \sqrt{1-3 K^2+3 V^2- 9 K^2V^2}.
\"
3,"\begin{equation}
    T_{\mu\nu} =\lambda  \widetilde{\mathrm{Tr}} (\cR^{-1}(g_\mn+\beta^{-2}(\frac 12 F^{\lambda\rho}F_{\lambda\rho} g_\mn
    -F_{\mu\lambda}F_{\nu}\,{}^{\lambda}))- \lambda g_\mn,
\"
4,"\begin{equation}\label{epsdef}
    \ve= T ^0_0=\lambda   \left(\fR -1\right),\quad
    \fR=\sqrt{\frac{1+V^2}{1-K^2}},
\"
5,"\begin{equation}\label{pressdef}
     p=\frac13 \lambda  \left(3-\fR
       -2\fR^{-1}\right).
\"
6,"\begin{equation}\label{state}
     p=\frac{\ve}{3}\frac{(\lambda-\ve )}{(\lambda+ \ve)},
\"
7,"\begin{equation}\label{conserv}
\dot{\ve}+3(\ve + p)\frac{\dot{a}}{a}=0,
\"
8,"\begin{equation}\label{falloff}
    \ve = \lambda  \left(\sqrt{1+\frac{C}{a^4}}-1\right),
\"
9,"\begin{equation}\label{RSaeq}
    \left(\frac{\dot{a}}{a}\right)^2=\frac{\kappa^2}{6} \Lambda
  + \frac{\kappa^4}{36}
  (\lambda  +\ve)^2+\frac{\mathcal{E}}{a^4}-\frac{k}{a^2},
\"
10,"\begin{equation}\label{lam4def}
  \Lambda_4 = \frac12 \kappa^2(\Lambda+\frac16 \kappa^2 \lambda  ^2),
  \quad  G_{(4)}=\frac{\kappa^4 \lambda  }{48 \pi }.
\"
11,"\begin{equation}\label{BIRS}
  \left(\frac{\dot{a}}{a}\right)^2=\frac{8\pi G_{(4)}}{3}\Lambda_4
  +\frac{\mathcal{C}~}{a^4}-\frac{k}{a^2},
\"
12,"\begin{equation}\label{nonsingtr}
a  = \sqrt{|\mathcal{C}|+(t-t_0)^2},
\"
13,"\begin{equation}
a=(4\lambda^2+ \mathcal{E}\beta^2)^{1/4}\sqrt{\frac{2t}{\beta}}
-\frac{k\beta^2}{2} (4\lambda^2+ \mathcal{E}\beta^2)^{-1/4}
\left(\frac{2t}{\beta}\right)^{3/2} + O (t^{5/2}),
\"
14,"\begin{equation} \label{det} S=\lambda \widetilde{\mathrm{Tr}}\int
\sqrt{-\det(g_{\mu\nu}+F_{\mu\nu}/\beta)}\,d^4 x
 - \kappa^2 \int\, (R_5+2\Lambda_5)\sqrt{-g_{5}}\,d^5x.
\"
15,"\begin{equation}\label{stractn}
S^{Str}_1=-\lambda \int \; dt N a^3
\frac{1-2K^2+2V^2-3V^2K^2}{\sqrt{1- K^2+ V^2-  K^2V^2}}.
\"
16,"\begin{equation}\label{tractn}
S^{tr}_1=-\lambda \int \; dt N a^3 \sqrt{1-3 K^2+3 V^2- 9 K^2V^2}.
\"
17,"\begin{equation}
    T_{\mu\nu} =\lambda  \widetilde{\mathrm{Tr}} (\cR^{-1}(g_\mn+\beta^{-2}(\frac 12 F^{\lambda\rho}F_{\lambda\rho} g_\mn
    -F_{\mu\lambda}F_{\nu}\,{}^{\lambda}))- \lambda g_\mn,
\"
18,"\begin{equation}\label{epsdef}
    \ve= T ^0_0=\lambda   \left(\fR -1\right),\quad
    \fR=\sqrt{\frac{1+V^2}{1-K^2}},
\"
19,"\begin{equation}\label{pressdef}
     p=\frac13 \lambda  \left(3-\fR
       -2\fR^{-1}\right).
\"
20,"\begin{equation}\label{state}
     p=\frac{\ve}{3}\frac{(\lambda-\ve )}{(\lambda+ \ve)},
\"
21,"\begin{equation}\label{conserv}
\dot{\ve}+3(\ve + p)\frac{\dot{a}}{a}=0,
\"
22,"\begin{equation}\label{falloff}
    \ve = \lambda  \left(\sqrt{1+\frac{C}{a^4}}-1\right),
\"
23,"\begin{equation}\label{RSaeq}
    \left(\frac{\dot{a}}{a}\right)^2=\frac{\kappa^2}{6} \Lambda
  + \frac{\kappa^4}{36}
  (\lambda  +\ve)^2+\frac{\mathcal{E}}{a^4}-\frac{k}{a^2},
\"
24,"\begin{equation}\label{lam4def}
  \Lambda_4 = \frac12 \kappa^2(\Lambda+\frac16 \kappa^2 \lambda  ^2),
  \quad  G_{(4)}=\frac{\kappa^4 \lambda  }{48 \pi }.
\"
25,"\begin{equation}\label{BIRS}
  \left(\frac{\dot{a}}{a}\right)^2=\frac{8\pi G_{(4)}}{3}\Lambda_4
  +\frac{\mathcal{C}~}{a^4}-\frac{k}{a^2},
\"
26,"\begin{equation}\label{nonsingtr}
a  = \sqrt{|\mathcal{C}|+(t-t_0)^2},
\"
27,"\begin{equation}
a=(4\lambda^2+ \mathcal{E}\beta^2)^{1/4}\sqrt{\frac{2t}{\beta}}
-\frac{k\beta^2}{2} (4\lambda^2+ \mathcal{E}\beta^2)^{-1/4}
\left(\frac{2t}{\beta}\right)^{3/2} + O (t^{5/2}),
\"
