,equation
0,"\begin{equation}
\lbrack\widehat{X}^{\mu},\widehat{X}^{\nu}]=i\theta^{\mu\nu}\;,\label{1}%
\"
1,"\begin{equation}
i\hbar\frac{\partial}{\partial t}\Psi\left[  \phi,t\right]  =\int
d^{3}x\left\{  \frac{1}{2}\left(  -\hbar^{2}\frac{\delta^{2}}{\delta\phi
^{2}\left(  \vec{x}\right)  }+\left|  \nabla\phi\right|  ^{2}+\frac{m^{2}%
}{\hbar^{2}}\phi^{2}\right)  +V_{\star}\left(  \phi\right)  \right\}
\Psi\left[  \phi,t\right]  ,\label{3}%
\"
2,"\begin{equation}
\frac{\partial S}{\partial t}+\int d^{3}x\left\{  \frac{1}{2}\left[  \left(
\frac{\delta S}{\delta\phi}\right)  ^{2}+\left|  \nabla\phi\right|  ^{2}%
+\frac{m^{2}}{\hbar^{2}}\phi^{2}\right]  \right\}  +V_{c}+V_{nc}%
+Q_{K}=0\label{4}%
\"
3,"\begin{equation}
\frac{\partial R^{2}}{\partial t}+\int d^{3}x\frac{\delta}{\delta\phi}\left(
R^{2}\frac{\delta S}{\delta\phi}\right)  =0,\label{5}%
\"
4,"\begin{equation}
V_{nc}=\int d^{3}x\left[  \operatorname{Re}\left(  V_{\star}\right)
-V\right]  ,\label{6}%
\"
5,"\begin{equation}
V_{c}=\int d^{3}xV,\label{6.5}%
\"
6,"\begin{equation}
Q_{K}[\phi]=-\frac{\hbar^{2}}{2R}\int d^{3}x\frac{\delta^{2}R}{\delta\phi
^{2}\left(  \vec{x}\right)  }.\label{7}%
\"
7,"\begin{equation}
Q_{nc}=Q_{K}-Q_{c}.\text{ \ \ ,\ \ \ }Q_{c}=-\frac{\hbar^{2}}{2R}\int
d^{3}x\frac{\delta^{2}R_{c}}{\delta\phi^{2}\left(  \vec{x}\right)
},\label{7.3}%
\"
8,"\begin{equation}
\frac{\partial\phi(\vec{x},t)}{\partial t}=\left.  \frac{\delta S\left[
\phi(\vec{x}),t\right]  }{\delta\phi(\vec{x})}\right|  _{\phi(\vec{x}%
)=\phi(\vec{x},t)},\label{8}%
\"
9,"\begin{equation}
\hspace{4cm}+\left.  \left[  \frac{\delta V_{c}\left[  \phi(\vec{x}),t\right]
}{\delta\phi(\vec{x})}+\frac{\delta V_{nc}\left[  \phi(\vec{x}),t\right]
}{\delta\phi(\vec{x})}+\frac{\delta Q_{K}\left[  \phi(\vec{x}),t\right]
}{\delta\phi(\vec{x})}\right]  \right|  _{\phi(\vec{x})=\phi(\vec{x}%
,t)}=0.\label{9}%
\"
10,"\begin{equation}
\square\phi(\vec{x},t)+\frac{m^{2}}{\hbar^{2}}\phi(\vec{x},t)+\left.  \left[
\frac{\delta V_{c}}{\delta\phi(\vec{x})}+\frac{\delta V_{nc}}{\delta\phi
(\vec{x})}+\frac{\delta Q_{c}}{\delta\phi(\vec{x})}+\frac{\delta Q_{nc}%
}{\delta\phi(\vec{x})}\right]  \right|  _{\phi(\vec{x})=\phi(\vec{x}%
,t)}=0\text{. }\label{10}%
\"
11,"\begin{equation}
\frac{\partial S}{\partial t}+\frac{\left(  \nabla S\right)  ^{2}}%
{2m}+V+V_{nc}+Q_{K}+Q_{I}=0.\label{15}%
\"
12,"\begin{equation}
V_{nc}=V\left(  x^{i}-\frac{\theta^{ij}\partial_{j}S}{2\hbar}\right)
-V\left(  x^{i}\right)  ,\label{16}%
\"
13,"\begin{equation}
Q_{K}=\operatorname{Re}\left(  -\frac{\hbar^{2}}{2m}\frac{\nabla^{2}\Psi}%
{\Psi}\right)  -\left(  \frac{\hbar^{2}}{2m}\left(  \nabla S\right)
^{2}\right)  =-\frac{\hbar^{2}}{2m}\frac{\nabla^{2}R}{R},\label{17}%
\"
14,"\begin{equation}
Q_{I}=\operatorname{Re}\left(  \frac{V\left(  x^{i}+\frac{i\theta^{ij}}%
{2}\partial_{j}\right)  \Psi}{\Psi}\right)  -V\left(  x^{i}-\frac{\theta
^{ij}\partial_{j}S}{2\hbar}\right)  .\label{18}%
\"
15,"\begin{equation}
Q_{nc}=Q_{K}+Q_{I}-Q_{c}\text{,}\label{18.3}%
\"
16,"\begin{equation}
Q_{c}=-\frac{\hbar^{2}}{2m}\frac{\nabla^{2}R_{c}}{R_{c}}\text{ \ ,\ \ \ }%
R_{c}=\sqrt{\Psi_{c}^{\ast}\Psi_{c}}.\label{18.6}%
\"
17,"\begin{equation}
\frac{\partial R^{2}}{\partial t}+\nabla\cdot\left(  R^{2}\frac{\nabla S}%
{m}\right)  +\frac{2R}{\hbar}\operatorname{Im}\left(  e^{-iS/\hbar}%
V\star\left(  R\,e^{iS/\hbar}\right)  \right)  =0.\label{19}%
\"
18,"\begin{equation}
\Sigma_{\theta}=\frac{2R}{\hbar}\operatorname{Im}\left(  e^{-iS/\hbar}%
V\star\left(  R\,e^{iS/\hbar}\right)  \right)  .\label{19.5}%
\"
19,"\begin{equation}
\frac{d\widehat{X}^{i}}{dt}=\frac{1}{i\hbar}[\widehat{X}^{i},H]=\frac{\hat
{p}^{i}}{m}+\frac{\theta^{ij}}{\hbar}\frac{\partial\widehat{V}(\widehat{X}%
^{i})}{\partial\widehat{X}^{j}},\label{20.5}%
\"
20,"\begin{equation}
\frac{d\hat{x}^{i}}{dt}=\frac{1}{i\hbar}[\hat{x}^{i},H]=\frac{\hat{p}^{i}}%
{m}+\frac{\theta^{ij}}{2\hbar}\frac{\partial\widehat{V}(\widehat{X}^{i}%
)}{\partial\widehat{X}^{j}},\label{21}%
\"
21,"\begin{equation}
\frac{d\hat{p}^{i}}{dt}=\frac{1}{i\hbar}[\hat{p}^{i},H]=-\frac{\partial
\widehat{V}(\widehat{X}^{i})}{\partial\widehat{X}^{i}}.\label{22}%
\"
22,"\begin{equation}
X^{i}=x^{i}-\frac{\theta^{ij}}{2\hbar}\partial_{j}S(x^{i},t),\label{22.3}%
\"
23,"\begin{equation}
\frac{dX^{i}(t)}{dt}=\left.  \left[  \frac{\partial^{i}S(x^{i},t)}{m}%
+\frac{\theta^{ij}}{\hbar}\frac{\partial V(X^{i})}{\partial X^{j}}\right]
\right|  _{x^{i}=x^{i}(t)},\label{23}%
\"
24,"\begin{equation}
\frac{dx^{i}(t)}{dt}=\left.  \left[  \frac{\partial^{i}S(x^{i},t)}{m}%
+\frac{\theta^{ij}}{2\hbar}\frac{\partial V(X^{i})}{\partial X^{j}}\right]
\right|  _{x^{i}=x^{i}(t)},\label{24}%
\"
25,"\begin{equation}
\lbrack\widehat{X}^{i},\widehat{X}^{j}]=i\theta^{ij}.\label{28}%
\"
26,"\begin{equation}
i\hbar\frac{\partial\Psi(x^{i},t)}{\partial t}=-\frac{\hbar^{2}}{2m}\nabla
^{2}\Psi(x^{i},t)+V(\widehat{X}^{i})\Psi(x^{i},t)\;,\label{29}%
\"
27,"\begin{equation}
X^{i}(t)=x^{i}(t)-\frac{\theta^{ij}}{2\hbar}\partial_{j}S(x^{i}%
(t),t),\label{29.5}%
\"
28,"\begin{equation}
\frac{dx^{i}(t)}{dt}=\left.  \left[  \frac{\partial^{i}S(\vec{x},t)}{m}%
+\frac{\theta^{ij}}{2\hbar}\frac{\partial V(X^{i})}{\partial X^{j}}\right]
\right|  _{x^{i}=x^{i}(t)}\text{ \ ,}\label{30}%
\"
29,"\begin{equation}
\Delta X^{i}\Delta X^{j}\geq\left|  \theta^{ij}\right|  /2\label{31}%
\"
