,equation
0,"\begin{equation}
{\cal L}=\frac{1}{2}\partial _{\mu }\phi \,\partial ^{\mu }\bar{\phi}%
-U(|\phi |)  \label{L}
\"
1,"\begin{equation}
E=\int \left( \frac{1}{2}|\partial_t{\phi}|^{2}+\frac{1}{2}|\nabla \phi
|^{2}+U(|\phi |)\right) d^{3}x.  \label{En}
\"
2,"\begin{equation}
Q=\frac{1}{2i}\int \left( \bar{\phi}\,\partial _{t}\phi -\phi \,\partial _{t}%
\bar{\phi}\right) d^{3}x.
\"
3,"\begin{equation}
\phi =e^{i\omega t}f(r)  \label{ph}
\"
4,"\begin{equation}
f^{\prime \prime }(r)+\frac{2}{r}f^{\prime }(r)=-\omega ^{2}f(r)+U^{\prime
}(f)  \label{gene}
\"
5,"\begin{equation}
U(f)=f^2\left(1+(1-f^2)^2\right)  \label{Uf}
\"
6,"\begin{equation}
f^{\prime \prime }(r)+\frac{2}{r}\,f^{\prime }(r)=\left( 4-\omega
^{2}\right) f(r)-8f^{3}(r)+6f^{5}(r)  \label{prof}
\"
7,"\begin{equation}
f(r)=\frac{c}{\sqrt{1+c_{1}\cosh \left( \alpha r\right) }}\ \cdot
\label{WSsym}
\"
8,"\begin{equation}
f^{\prime \prime }(r)+\frac{2}{r}f^{\prime }(r)=\frac{\alpha ^{2}}{4}\left(
1-\frac{4}{ar}\right) f(r)-\frac{\alpha ^{2}}{c^{2}}\left( 1-\frac{1}{ar}%
\right) f^{3}(r)+\frac{3\alpha ^{2}}{4c^{4}}\left( (1-c_{1}^{2})+\frac{2}{3}%
\frac{c_{1}^{2}}{\alpha r}~\right) f^{5}(r)+O\left( f^{6}\right)
\label{sym}
\"
9,"\begin{equation}
\frac{d}{dr}\left( \frac{1}{2}\,f^{\prime }{}^{2}(r)+\frac{1}{2}\,\omega
^{2}f^{2}(r)-U(f)\right) =-\frac{2}{r}\,f^{\prime }{}^{2}(r)\ \cdot
\label{od}
\"
10,"\begin{equation}
\frac{1}{2}\,\omega ^{2}f^{2}(0)-U\left( f(0)\right) =-2\int_{0}^{\infty }%
\frac{\,f^{\prime }{}^{2}(r)}{r}\,dr\ \cdot   \label{fric}
\"
11,"\begin{equation}
q=\frac{4\pi c^{2}}{3\alpha^{3}}\ \cdot
\"
12,"\begin{equation}
{\cal L}=\frac{1}{2}\partial _{\mu }\phi \,\partial ^{\mu }\bar{\phi}%
-U(|\phi |)  \label{L}
\"
13,"\begin{equation}
E=\int \left( \frac{1}{2}|\partial_t{\phi}|^{2}+\frac{1}{2}|\nabla \phi
|^{2}+U(|\phi |)\right) d^{3}x.  \label{En}
\"
14,"\begin{equation}
Q=\frac{1}{2i}\int \left( \bar{\phi}\,\partial _{t}\phi -\phi \,\partial _{t}%
\bar{\phi}\right) d^{3}x.
\"
15,"\begin{equation}
\phi =e^{i\omega t}f(r)  \label{ph}
\"
16,"\begin{equation}
f^{\prime \prime }(r)+\frac{2}{r}f^{\prime }(r)=-\omega ^{2}f(r)+U^{\prime
}(f)  \label{gene}
\"
17,"\begin{equation}
U(f)=f^2\left(1+(1-f^2)^2\right)  \label{Uf}
\"
18,"\begin{equation}
f^{\prime \prime }(r)+\frac{2}{r}\,f^{\prime }(r)=\left( 4-\omega
^{2}\right) f(r)-8f^{3}(r)+6f^{5}(r)  \label{prof}
\"
19,"\begin{equation}
f(r)=\frac{c}{\sqrt{1+c_{1}\cosh \left( \alpha r\right) }}\ \cdot
\label{WSsym}
\"
20,"\begin{equation}
f^{\prime \prime }(r)+\frac{2}{r}f^{\prime }(r)=\frac{\alpha ^{2}}{4}\left(
1-\frac{4}{ar}\right) f(r)-\frac{\alpha ^{2}}{c^{2}}\left( 1-\frac{1}{ar}%
\right) f^{3}(r)+\frac{3\alpha ^{2}}{4c^{4}}\left( (1-c_{1}^{2})+\frac{2}{3}%
\frac{c_{1}^{2}}{\alpha r}~\right) f^{5}(r)+O\left( f^{6}\right)
\label{sym}
\"
21,"\begin{equation}
\frac{d}{dr}\left( \frac{1}{2}\,f^{\prime }{}^{2}(r)+\frac{1}{2}\,\omega
^{2}f^{2}(r)-U(f)\right) =-\frac{2}{r}\,f^{\prime }{}^{2}(r)\ \cdot
\label{od}
\"
22,"\begin{equation}
\frac{1}{2}\,\omega ^{2}f^{2}(0)-U\left( f(0)\right) =-2\int_{0}^{\infty }%
\frac{\,f^{\prime }{}^{2}(r)}{r}\,dr\ \cdot   \label{fric}
\"
23,"\begin{equation}
q=\frac{4\pi c^{2}}{3\alpha^{3}}\ \cdot
\"
