,aligned
0,"\begin{aligned}
z_a'=& z_a-\phi(-z_e),\\
z_d'=& z_d+\phi(+z_e),
\"
1,"\begin{aligned}
z_b'=& z_b+\phi(+z_e),\\
z_c'=& z_c-\phi(-z_e),
\"
2,"\begin{aligned}
(i,j)\;\in\;\{ & 
(1,2)\; ,\; (1,6) \; ,\; (2,3)\; ,\;(3,4)\; ,\;
 (3,5)\; , \; (4,1)\; ,\; (5,1)\; ,\;(6,3)\;\}.
\"
3,"\begin{aligned}
{\mathsf c}_1\;=\;& {\mathsf z}_4+{\mathsf z}_6,\\
{\mathsf c}_3\;=\;& {\mathsf z}_2+{\mathsf z}_5,
\"
4,"\begin{aligned}
{\mathsf c}_2\;=\;& {\mathsf z}_1+{\mathsf z}_3+{\mathsf z}_5+{\mathsf z}_6,\\
-{\mathsf c}_4\;=\;& {\mathsf z}_1+{\mathsf z}_2+{\mathsf z}_3+{\mathsf z}_4.
\"
5,"\begin{aligned}
{\mathsf z}_a'=& {\mathsf z}_a-\phi_{b}(-{\mathsf z}_e),\\
{\mathsf z}_d'=& {\mathsf z}_d+\phi_{b}(+{\mathsf z}_e),
\"
6,"\begin{aligned}
{\mathsf z}_b'=& {\mathsf z}_b+\phi_{b}(+{\mathsf z}_e),\\
{\mathsf z}_c'=& {\mathsf z}_c-\phi_{b}(-{\mathsf z}_e),
\"
7,"\begin{aligned} 2\pi b {\mathsf x} \;=&\;\textstyle \frac{1}{2} }({\mathsf z}_b-{\mathsf z}_a), \\
2\pi b {\mathsf p}\;=&\;\textstyle \frac{1}{2} }({\mathsf z}_a+{\mathsf z}_b).
\"
8,"\begin{aligned}
\big\langle \,V_{\alpha_s}(v_sotimes w_s\,| & \,z_s,\bar{z}_s) 
\dots V_{\alpha_1}( v_1otimes w_1\,|\,z_1,\bar{z}_1)
\, \big\rangle\;=\;\\
& \;=\; \int\limits_{{\mathbb S}_{s}} dS \;C(S|E)\,
\mathcal F}_{\rm\scriptscriptstyle S,E}^{\Sigma}\big( v_sotimes\dotsotimes v_1\big)
\bar{\mathcal F}}_{\rm\scriptscriptstyle S,E}^{\Sigma}\big( w_sotimes\dotsotimes w_1\big),
\"
9,"\begin{aligned}
 \mathcal H}_{\rm\scriptscriptstyle S,E}^{\Sigma} & \big( v_sotimes\dotsotimes v_1\big)\;=\;\\
& \big\langle\,v_0\, , \,
{\mathsf h}_{0,a_s}^{a_s}( v_s\,|\,z_s){\mathsf h}_{a_s\beta_{s-3}}^{a_{s-1}}
( v_{s-1}\,|\,z_{s-1})\dots
{\mathsf h}_{\beta_1a_1}^{a_{2}}( v_2\,|\,z_{2}){\mathsf h}_{a_1,0}^{a_1}
( v_1\, |\,z_1) v_0
\big\rangle
\"
10,"\begin{aligned}
{}& \mathcal F}_{a,{\rm \scriptscriptstyle E_{21}}}^{\Sigma_2\infty\Sigma_1} 
\big(v_{m_2}otimes\dotsotimes v_{1}otimes w_{m_1}otimes\dots otimes w_{1}\big)
\;=\;\\
 &=\sum_{\imath,\jmath\in{\mathbb I}}\;
\mathcal G}_{\rm \scriptscriptstyle E_2}^{\Sigma_2} 
\big( v_{m_2}^{}otimes\dotsotimes v_{1}^{}otimes v_{\imath}^{}\big)
\,\langle  v^{\vee}_{\imath},e^{-tL_0} v_{\jmath}^{}
\rangle_{a}^{\phantom{\dagger}}\,
\mathcal H}_{\rm \scriptscriptstyle E_1}^{\Sigma_1} 
\big( v^{\vee}_{\jmath}otimes w_{m_1}^{}otimes\dotsotimes w_{1}^{}\big).
\"
11,"\begin{aligned}{}&
\lower0.7cm\hbox{\epsfig{figure=glue2.eps,height=1.4cm}} \;=
% \\ & \hspace{2cm}=
\;\sum_{\imath,\jmath\in{\mathbb I}}
\left(\,\;\lower0.7cm\hbox{\epsfig{figure=glue.eps,height=1.4cm}}\;\,\right)
\"
