,label
0,\label{NSVZ_Beta}
1,\label{Holomorphic_Normalization}
2,\label{Canonical_Normalization}
3,\label{Beta_Definition}
4,\label{Section_SUSY_QED}
5,\label{SQED_Action}
6,\label{Phi_Superfield}
7,\label{Psi_Definition}
8,\label{V_Superfield}
9,\label{Regularized_SQED_Action}
10,\label{Degree_Of_Divergence}
11,\label{Renormalized_Action}
12,\label{Modified_Z}
13,\label{PV_Determinants}
14,\label{W}
15,\label{Gamma}
16,\label{Beta_Gamma_Definition}
17,\label{Bare_Coupling_Constant}
18,\label{Two_Point_Function}
19,\label{GL_Function}
20,\label{GL_And_Beta}
21,\label{Section_Three_Loop}
22,\label{Three_Loop_Effective_Action_V}
23,\label{Delta_GammaV}
24,\label{Delta_Beta}
25,\label{Constant_Z}
26,\label{f_Expansion}
27,\label{Limit}
28,\label{Remaining_Integral}
29,\label{Z1_Definition}
30,\label{Z2_Definition}
31,\label{Renormalized_Gamma_2}
32,\label{Abstract_Gamma}
33,\label{Ln_Z_Final}
34,\label{Three_Loop_E2}
35,\label{Section_HD_And_DRED}
36,\label{Im_Of_Konishi}
37,\label{Axial_Current}
38,\label{Axial_Anomaly}
39,\label{Im_Of_Anomaly}
40,\label{Full_Anomaly}
41,\label{Konishi_Anomaly}
42,\label{Incorrect_Konishi}
43,\label{Generalization_Of_Konishi_Anomaly}
44,\label{Section_Anomaly_Puzzle}
45,\label{Canonical_Z}
46,\label{Canonical_PV_Determinants}
47,\label{Section_Conclusion}
48,\label{Appendix_Diagrams}
49,\label{O_Diagrams}
50,\label{X_Diagrams}
51,\label{XX_Diagrams}
52,\label{Appendix_Relation}
53,\label{FX}
54,\label{FXX}
55,\label{FX2_At_P=0}
56,\label{FX2}
57,\label{Exact_Result}
58,\label{Oo_Limit}
59,\label{Beta_Oo}
60,\label{Gamma_Oo}
61,\label{O_Limit}
62,\label{O_Limit2}
63,\label{O_Last_Integral}
64,\label{FO_Identity}
65,\label{FOo}
66,\label{Appendix_Integrals}
67,\label{Wonderful_Identity1}
68,\label{Wonderful_Identity2}
69,\label{Wonderful_Identity3}
70,\label{PV_Identity1}
71,\label{PV_Identity2}
72,\label{PV_Identity3}
73,\label{PV_Identity4}
74,\label{PV_Identity5}
75,\label{PV_Identity6}
76,\label{Figure_Beta_Diagrams_1Loop}
77,\label{Figure_Beta_Diagrams_2Loop}
78,\label{Figure_Beta_Diagrams_OO}
79,\label{Figure_Beta_Diagrams_Oo}
80,\label{Figure_Beta_Diagrams_O}
81,\label{Figure_Beta_Diagrams_X}
82,\label{Figure_Beta_Diagrams_X2}
83,\label{Figure_Beta_Diagrams_XX}
84,\label{Figure_Gamma_Diagrams}
85,\label{Figure_Contour}
