,align
0,"\begin{align}
  S^{\mathrm{IIB}}_{10}=\frac{1}{2\kappa^2}\int\d^{10}x\sqrt{-g}\left[
  R+\frac{1}{4}\mbox{tr}(\partial {\cal M}\partial {\cal M}^{-1})-
  \frac{1}{12}{\cal H}^T{\cal M}{\cal H}\right], \label{eqn:theaction}
\"
1,"\begin{align}
  {\cal M}=\e^\dilaton\left(\begin{array}{cc}
    \abs{\lambda}^2&\chi\\
    \chi&1
   \end{array}\right),\hspace*{1cm}
  {\cal H}=\d{\cal B}=\left(H^{(1)},H^{(2)}\right),
\"
2,"\begin{align}
  {\cal M}\rightarrow\Lambda{\cal M}\Lambda^T,\hspace*{1cm}
  {\cal B}\rightarrow(\Lambda^T)^{-1}{\cal B}.
\"
3,"\begin{align}
\label{originalmetric}
\ds^2 = A_q^{-3/4}\left(-\dt^{\,2} + (\dx^1)^2 \right)
        + A_q^{1/4}\,\dx\cdot\dx.
\"
4,"\begin{align}
A_q = 1 + \frac{\Delta_q^{1/2} Q}{3r^6},\hspace*{1cm}
\Delta_q^{1/2} = \vec{q}^T{\cal M}^{-1}\vec{q},~~\vec{q}=(q_1,q_2).
\"
5,"\begin{align}\label{Bequation}
&{\cal B}_{01} = {\cal M}^{-1}\vec{q}\, \Delta_q^{-1/2} A_q^{-1},\\
&\lambda = \frac{q_1\chi_0- q_2 |\lambda_0|^2 + \i q_1 \e^{-\phi_0}A_q^{1/2}}
                 {q_1 - q_2\chi_0 +\i q_2\e^{-\phi_0}A_q^{1/2}},
\"
6,"\begin{align}\label{sourceaction}
S = -\frac{T_q}{2}\int \d^2\xi \left[\Delta^{1/2}_q
     \partial^a X^\mu \partial_a X^\nu G_{\mu\nu}
     + \epsilon^{ab}\partial_a X^\mu \partial_b X^{\nu}
     {\cal B}^T_{\mu\nu}\vec{q}\right].
\"
7,"\begin{align}\label{lorentztransf}
  t'= \gamma (t+vz),~~ 
  z'=\gamma(x+vt),~~ \gamma=\left(1-v^2\right)^{-1/2}.
\"
8,"\begin{align}
A'_q = 1 + \frac{\Delta_q^{1/2} Q}{3r^{\prime 6}}.
\"
9,"\begin{align}
  \gamma r^{\prime -6} = \frac{\gamma^{-5}}{\left(\left(z'-vt'\right)^2 + 
  \gamma^{-2}\rho^2\right)^3}, \label{rprime}
\"
10,"\begin{align}
  \lim_{v\rightarrow 1} \gamma r^{\prime -6}=\frac{3\pi}{8} 
       \left(\tilde{x}\cdot\tilde{x}\right)^{-5/2} 
       \delta\left(z'-t'\right),
\"
11,"\begin{align}
\ds' = \frac{\pi\Delta_{q,0}^{1/2} Q_0^\phn}{8\rho^5} \delta\left(z'-t'\right) 
       \left(\dt'-\dz'\right)^2 +(\dx^1)^2 
       -(\dt')^2 + (\dz')^2 + \d \tilde{x}\cdot\d \tilde{x},
\"
12,"\begin{align}\label{boostedmetric}
(\ds')^2 = \d u \d v + (\dx^1)^2 + \d\rho^2 + \rho^2\d\Omega 
          + \frac{\pi\Delta_{q,0}^{1/2} Q_0^\phn}{8\rho^5} 
            \delta\left(u\right) \d u^2.
\"
13,"\begin{align}
  \ds^2 = \d u \d v + K(x^2, \ldots, x^8, u)\d u^2 + \sum_{i=1}^8 (\d x^i)^2.
\"
14,"\begin{align}
{\cal B}_{01}\rightarrow \tilde{\cal B}_{01} 
   = {\cal B}_{01} - {\cal M}^{-1} \vec{q}\, \Delta_q^{-1/2}
   = {\cal M}^{-1} \vec{q}\,\Delta_q^{1/2} \left(A_q^{-1} - 1 \right) 
   \stackrel{v\rightarrow 1}{\longrightarrow} 0.
\"
15,"\begin{align}
  \Delta\frac{1}{\rho^5}=-\frac{16}{3}\pi^3\delta(\rho),
\"
16,"\begin{align}
  R_{uu}=-\frac{1}{2}\Delta K=
    \frac{1}{3}\pi^4\Delta^{1/2}_{q,0} Q_0^\phn\delta(\rho)\delta(u).
\"
17,"\begin{align}\label{eqn:Tmunu}
  T_{uu}=\frac{1}{24}\pi^3\Delta^{1/2}_{q,0} Q_0^\phn\delta(\rho)\delta(u).
\"
18,"\begin{align}
  S=-\int \d^2\sigma %\left[
    \Lambda\left(\del_a X^\mu\del^a X^\nu G_{\mu\nu}
    \right)^2. %+\Lambda^{-1}T_q^2\right].
\"
19,"\begin{align}
  S=\int \d^2\sigma V^a V^b \del_a X^\mu\del_b X^\nu G_{\mu\nu}.
\"
20,"\begin{align}
  V^b\del_a X^\mu\del_b X^\nu G_{\mu\nu}=0, \hspace*{1cm}
  \del_a\left(V^a V^b \del_b X^\mu\right)=0.
\"
21,"\begin{align}
  V^a=\left(\begin{array}{c}v\\0\end{array}\right).
\"
22,"\begin{align}
  T_{\mu\nu}(x^\sigma)=
    \del_\tau X_\mu\del_\tau X_\nu\delta^{(8)}(X^\sigma-x^\sigma),
\"
23,"\begin{align}
  X_u=G_{uv}X^v=X^v=\alpha\cdot \tau.
\"
24,"\begin{align}
  T_{uu}=\del_\tau X_u\del_\tau X_u\delta(\rho)\delta(u)=
  \alpha^2\delta(\rho)\delta(u),
\"
25,"\begin{align}\label{eqn:alpha}
  \alpha^2=\frac{1}{24}\pi^3\Delta^{1/2}_{q,0} Q_0^\phn.
\"
