,cite
0,\cite{Casi48}
1,"\cite{Most97,Plun86,Lamo99,Bord99,Bord01,Kirs01,Bord02,Milt02}"
2,"\cite{Birr82,Grib94}"
3,\cite{Saha03}
4,\cite{Vile94}
5,\cite{Kibb76}
6,\cite{Soko77}
7,\cite{Barr89}
8,"\cite{Hisc90,Mazz91,Beze99,Beze02}"
9,\cite{Beze01temp}
10,"\cite{Bord96m,Beze00}"
11,\cite{Saha03}
12,\cite{Birr82}
13,"\cite{Mostep,Lebedev}"
14,\cite{Solod}
15,\cite{Ambjorn2}
16,"\cite{Mo,EK,Esp97}"
17,\cite{Gherg}
18,\cite{Rome02}
19,"\cite{Saha01,Rome01,Saha02}"
20,\cite{Rome02}
21,\cite{Full03}
22,"\cite{Saha01,Rome01,Saha02,Avag02}"
23,\cite{Saha87}
24,\cite{Saha00rev}
25,\cite{Birr82}
26,\cite{Birr82}
