,ref
0,\ref{cov-deriv}
1,\ref{def-B}
2,\ref{cov-deriv}
3,\ref{BD-1.30a}
4,\ref{BD-1.30}
5,\ref{2+1Dir-nrel-nmin}
6,\ref{MCS1a}
7,\ref{MCS1}
8,\ref{MCS3a}
9,\ref{redefB}
10,\ref{redefE}
11,\ref{MCS1a}
12,\ref{MCS3a}
13,\ref{redefBa}
14,\ref{redefB-Jain}
15,\ref{redefBa}
16,\ref{redefB-Jain}
17,\ref{nue-nuCF}
18,\ref{JainMCS}
19,\ref{JainMCS}
20,\ref{redefB-Jain}
21,\ref{main-result}
22,\ref{cov-deriv}
23,\ref{MCS1a}
24,\ref{MCS3a}
25,\ref{redefBa}
26,\ref{MCS3a}
27,\ref{quantiz-m}
28,\ref{redefB-Jain}
29,\ref{redefBa}
30,\ref{MCS1}
