,equation
0,"\begin{equation}
   S = \int d^{\,d} x \left(
       -\frac 12 {\rm tr}(\partial \Phi)^2
       -\frac 12 m^2 \, {\rm tr} \Phi^2 \right) \ .
\"
1,"\begin{equation}
    \left[ \partial_- \Phi_{ij}(x^+, x^-, \xp),
    \Phi_{kl}(x^+, y^{\,-},\yp) \right] =
    - \, \delta_{ik}  \delta_{jl} \; \frac i2 \,
    \delta(x^- - y^{\,-}) \, \delta(\xp - \yp)
\"
2,"\begin{equation}
    \Phi_{ij}(x^-,\xp) =
    \int_0^\infty \frac{dp_-}{2\pi 2p_-}
    \int \frac{d^{\,d-2}p_\perp}{(2\pi)^{d-2}}  \left[
    a_{ij}(p_-,\pp) e^{ ip_- x^- + i\pp\cdot\xp} +
    a^\dagger_{ij}(p_-,\pp) e^{ -ip_- x^- - i\pp\cdot\xp}
    \right]
\"
3,"\begin{equation}
    a^\dagger_{i_1 j_1}(\p_1) \,
    a^\dagger_{i_2 j_2}(\p_2) \dots
    a^\dagger_{i_M j_M}(\p_M) \,|0\rangle \ ,
\"
4,"\begin{equation}
    {\cal E}_{LC}(\p) = - p_+
    = \frac{\pp^2 + m^2}{2 p_-}
\"
5,"\begin{equation}
\label{eq:M particle Hamiltonian 1}
    H_{LC} = \sum_{\p} N_\p \;
             {\cal E}_{LC}(\p)
           = \sum_{\p} N_\p \;
             \frac{\pp^2 + m^2}{2 p_-} \ ,
\"
6,"\begin{equation}
\label{eq:M particle Hamiltonian 2}
     H_{LC} = \sum_{n=1}^M
     \frac{\pp^2 (n) + m^2}{2 p_- (n)} \ ,
\"
7,"\begin{equation}
     |(p_-,\pp)_{n_1}, (p_-,\pp)_{n_2}, \dots
     (p_-,\pp)_{n_M} \rangle \ .
\"
8,"\begin{equation}
\label{eq:M particle Hamiltonian 3}
    H_{LC}= \sum_{n=1}^M
    \frac{\pp^2 (n) + m^2}{2 \, p_- (n)}
    \to
    \frac 1a \int_0^l dx\;
    \frac{\pp^2 (x) + m^2}{2 p_- (x)}
\"
9,"\begin{equation}
\label{eq:FT continuum Hamiltonian 1}
    H_{LC} = \int_0^l dx\;
    \frac{\pip^2 (x) + \pi_Y^2}{2 \, \pi_- (x)}
\"
10,"\begin{equation}
\label{eq:M particle Hamiltonian 4}
    H_{LC}= \sum_{n=1}^M
    \frac{\pp^2 (n) + m^2}{2 \, p_- (n)}
    \to
    \int_0^l \frac{dx}{\tilde a(x)}
    \frac{\pp^2 (x) + m^2}{2 p_-(x)} =
    \int_0^l dx\; \frac{1}{\tilde a(x)^2}
    \frac{\pp^2 (x) + m^2}{2 k_-} \ .
\"
11,"\begin{equation}
\label{eq:FT continuum Hamiltonian 2}
    H_{LC} = \frac{1}{2k_-} \int_0^l dx\;
    \left( \tilde\pip^2 (x) + \tilde\pi_Y^2(x) \right)
\"
12,"\begin{equation}
\label{eq:string action}
  S=-\frac{1}{4\pi\alpha'}
       \int d\tau \int_0^l d\sigma
       \sqrt{-\gamma}\gamma^{ab} \,
       \partial_a Z^\mu \partial_b Z^\nu \, G_{\mu\nu}(Z) \ .
\"
13,"\begin{equation} \label{eq:lagrangian}
%\mathcal{L}=-\frac{1}{4\pi\alpha'} G_{\mu\nu} \left(
%            h^{\tau\tau} \dot Z^\mu \dot Z^\nu +
%            2 h^{\tau\sigma} \dot Z^\mu Z^{\nu\prime} +
%            h^{\sigma\!\sigma} Z^{\mu\prime} Z^{\nu\prime}
%            \right)
%\"
14,"\begin{equation} \label{eq:canon-momenta}
\pi_\mu = \frac{\delta\mathcal{L}}{\delta \dot Z^\mu} =
          -\frac{1}{2\pi\alpha'}G_{\mu\nu} \left(
          h^{\tau\tau} \dot Z^\nu + h^{\tau\sigma} Z^{\nu\prime}
          \right) \ ,
\"
15,"\begin{equation}
\mathcal{H} = -\frac{\pi\alpha'}{h^{\tau\tau}} \left[
              G^{\mu\nu}\pi_\mu \pi_\nu +
              \frac{1}{(2\pi\alpha')^2}
              G_{\mu\nu}Z^{\mu\prime} Z^{\nu\prime}
              \right] -
              \frac{h^{\tau\sigma}}{h^{\tau\tau}}
              \pi_\mu Z^{\mu\prime} \ ,
\"
16,"\begin{equation}
Z^\pm = \frac{1}{\sqrt{2}}\left(Z^1\pm Z^0\right) \ .
\"
17,"\begin{equation} \label{eq:LC Lagrangian}
    \mathcal{L}_{LC}=-\frac{h^{\tau\tau}}{4\pi\alpha'} \left(
    2 G_{+-} \dot Z^- +  G_{ij} \dot Z^i \dot Z^j -
    \frac{1}{(h^{\tau\tau})^2} G_{ij} Z^{i\,\prime} Z^{j\,\prime}
    \right)
\"
18,"\begin{equation}\label{eq:LC Hamiltonian}
    H_{LC} = \int_0^l \mathcal{H}_{LC} =
    \int_0^l d\sigma \, \frac{G_{+-}}{2 \,\pi_-}
    \left( G^{ij} \pi_i \pi_j +
    \frac{1}{(2\pi\alpha')^2} G_{ij} Z^{i\,\prime} Z^{j\,\prime}
    \right)
\"
19,"\begin{equation}
  \mathcal{H}_{LC}=-G_{+-}G^{-+}\pi_+ = -\pi_+ \ .
\"
20,"\begin{equation}
\label{eq:AdS metric}
    ds^2_{AdS}=\frac{R^2}{Y^2} \left(
    2 dZ^+ dZ^- + dZ^i dZ^j \delta_{ij}
    \right).
\"
21,"\begin{equation}\label{eq:LC AdS Hamiltonian}
   H_{LC}^{(AdS)}= \int_0^l \frac{d\sigma}{2\, \pi_-} \, \left(
                     \pi_i \pi_i +
                     \frac{1}{(2\pi\alpha')^2}
                     \frac{R^4}{Y^4} Z^{i\,\prime} Z^{i\,\prime}
                     \right)\ .
\"
22,"\begin{equation} \label{eq:pi- transformation}
    \tilde\pi_-(\tilde\sigma)d\tilde\sigma = \pi_-(\sigma)d\sigma \ .
\"
23,"\begin{equation}
   \tilde\sigma = \frac{1}{p_-}
   \int_0^{\sigma} \pi_-(\sigma') d\sigma' \ ,
\"
24,"\begin{equation}\label{eq:LC AdS Hamiltonian 1}
   H_{LC}^{(AdS)}= \frac{1}{2 p_-}\int_0^l d\sigma \, \left(
                     \pi_i \pi_i +
                     \frac{1}{(2\pi\alpha')^2}
                     \frac{R^4}{Y^4} Z^{i\,\prime} Z^{i\,\prime}
                     \right)\ .
\"
25,"\begin{equation}
\label{eq:flat Hamiltonian}
    H_{LC}^{(flat)} =
    \frac{1}{2 p_-}\int_0^l d\sigma \, \left(
    \pi_i \pi_i +
    \frac{1}{(2\pi\alpha')^2}
    Z^{i\,\prime} Z^{i\,\prime}
                     \right)\ .
\"
26,"\begin{equation}
\label{eq:LC zeroAdS Hamiltonian}
    H_{LC} = \frac{1}{2 p_-}\int_0^l d\sigma \;
    \pi_i \pi_i   \equiv
    \frac{1}{2 p_-}\int_0^l d\sigma \;
    \left( \bm{\pi}_{\perp}(\sigma)^2 +
    \pi_Y(\sigma)^2\right) \ ,
\"
