,equation
0,"\begin{equation}\label{DGP}
S=M_{*}^3\int d^{4}xdy\sqrt{|G|}{\cal R}_{5}+M_{P}^2\int d^{4}x dy\delta(y)\sqrt{|g|}R_{4}.
\"
1,"\begin{equation}\label{SYS}
S=M_{*}^{3}\int d^{4}xdy\sqrt{|G|}{\cal R}_{5}(1+\frac{M_{P}^3}{M_{*}^3} \chi^{2}(M_{P}y)).
\"
2,"\begin{equation}\label{solmod}
{\cal L}=f(\chi)\partial_{A}\Phi\partial^{A}\Phi+\partial_{A}\chi\partial^{A}\chi
-V(\chi).
\"
3,"\begin{equation}\label{firstl}
{\cal L}=f(y)\partial_{A}\Phi\partial^{A}\Phi.
\"
4,"\begin{equation}\label{ekv}
f(y)\partial_{y}^2\Phi_{m}+\partial_{y}f(y)\partial_{y}\Phi_{m}+f(y)m^2\Phi_{m}=0.
\"
5,"\begin{equation}\label{orth}
\int f(y)\Phi_{n}\Phi_{m}dy=\alpha_{m}\delta_{m,n},
\"
6,"\begin{equation}\label{nogo}
\frac{\int f(y)\partial_{y}\Phi_{n}\partial_{y}\Phi_{m}dy}{\int f(y)\Phi_{n}\Phi_{m}dy}=m^2.
\"
7,"\begin{equation}\label{convo}
\tilde{\Phi}_{m}(0)\equiv
\int \Psi(y)\Phi_{m}(y)dy.
\"
8,"\begin{equation}\label{efac}
{\cal L}=\frac{1}{2}\sum_{m}\left( \partial_{\mu}\sigma_{m}\partial^{\mu}\sigma_{m}-m^2\sigma_{m}^{2}
\right)+\sum_{m}\frac{\tilde{\Phi}_{m}(0)}{\sqrt{M_{*}^{3}\alpha_{m}}}\sigma_{m}\rho(x),
\"
9,"\begin{equation}\label{schro}
\Phi_{m}\equiv\frac{\phi_m}{\sqrt{f}},\quad -\partial_{y}^2\phi_{m}+V(y)\phi_{m}=m^2\phi_{m},
\"
10,"\begin{equation}\label{locpo}
V(y)=\left( \frac{1}{2}\frac{f''(y)}{f(y)}-\frac{1}{4}\left(\frac{f'(y)}{f(y)}\right)^2\right).
\"
11,"\begin{equation}\label{sho}
V(y)=a^2(a^2y^2-1).
\"
12,"\begin{equation}\label{wfho}
\phi_{n}(y)=\frac{1}{\sqrt{2^{n}n!\pi^{1/2}}}e^{-(ya)^2/2}H_{n}(ya),
\"
13,"\begin{equation}\label{spho}
m_{n}=a\sqrt{2n},\quad n=0,1,2,...
\"
14,"\begin{equation}\label{coupho}
{\cal L}_{I}=\sum_{n}\frac{(-)^{n/2}\sqrt{an!}}{2^{n/2}\sqrt{M_{*}^3}(n/2)!}\sigma_{n}\rho,
\"
15,"\begin{equation}\label{pot2}
V(y)=\frac{1}{4}a^2-a\delta(y).
\"
16,"\begin{equation}\label{lzm}
\phi_{0}=\sqrt{a/2}e^{-a|y|/2},
\"
17,"\begin{equation}\label{pc}
{\cal L}=\left(1+\frac{\chi^2}{M_{*}^3}\right)\partial_{A}\Phi\partial^{A}\Phi+
\partial_{A}\chi\partial^{A}\chi-V(\chi).
\"
18,"\begin{equation}\label{dgpr}
f(y)=1+\left(\frac{a}{M_{*}}\right)^3e^{-(ya)^2}\equiv 1+Ae^{-(ya)^2}.
\"
19,"\begin{equation}\label{potq}
V(y)=-Aa^2\frac{A(1-(ya)^2)+e^{(ya)^2}(1-2(ya)^2)}{(A+e^{(ya)^2})^2}.
\"
20,"\begin{equation}\label{decw}
\Gamma_{0}\sim a\exp\left( -2\int_{y_1}^{y_2}\sqrt{V}dy\right),
\"
21,"\begin{equation}\label{zmdw}
\Gamma_{0}\sim\frac{a}{A^{0.976}}.
\"
22,"\begin{equation}\label{wi}
\Delta m \sim \frac {a}{A^{0.997\pm 0.005}}.
\"
23,"\begin{equation}\label{newt}
V(r)\approx \int_{0}^{\infty}\frac{|\tilde{\Phi}_{m}(0)|^{2}}
{M_{*}^3}\frac{e^{-mr}}{r}dm\approx\frac{a}{M_{*}^{3}A}
\frac{1}{r}, \quad r< A/a.
\"
24,"\begin{equation}\label{newtl}
V(r)\approx \int_{0}^{\infty}\frac{|\tilde{\Phi}_{m}(0)|^{2}}
{M_{*}^3}\frac{e^{-mr}}{r}dm\approx\frac{1}{M_{*}^{3}}
\frac{1}{r^2}, \quad r\gg A/a.
\"
25,"\begin{equation}\label{rc}
r_c=\frac{A}{a}=\frac{a^2}{M_{*}^3}=\frac{M_{P}^2}{M_{*}^3}.
\"
26,"\begin{equation}\label{fer}
S=\int d^{5}Xf(y)\bar{\Psi}i\gamma_{A}\partial^{A}\Psi.
\"
27,"\begin{equation}\label{fdaf}
S=\sum_{m,n}\left(\bar{\psi}_{m}f_{mn}i\rlap/\partial\psi_{n}+
\frac{1}{2}\bar{\psi}_{m}(m+n)f_{mn}\psi_{n} \right),
\"
28,"\begin{equation}\label{ft}
f_{mn}=\int dyf(y)\cos(m-n)y.
\"
29,"\begin{equation}\label{DGP}
S=M_{*}^3\int d^{4}xdy\sqrt{|G|}{\cal R}_{5}+M_{P}^2\int d^{4}x dy\delta(y)\sqrt{|g|}R_{4}.
\"
30,"\begin{equation}\label{SYS}
S=M_{*}^{3}\int d^{4}xdy\sqrt{|G|}{\cal R}_{5}(1+\frac{M_{P}^3}{M_{*}^3} \chi^{2}(M_{P}y)).
\"
31,"\begin{equation}\label{solmod}
{\cal L}=f(\chi)\partial_{A}\Phi\partial^{A}\Phi+\partial_{A}\chi\partial^{A}\chi
-V(\chi).
\"
32,"\begin{equation}\label{firstl}
{\cal L}=f(y)\partial_{A}\Phi\partial^{A}\Phi.
\"
33,"\begin{equation}\label{ekv}
f(y)\partial_{y}^2\Phi_{m}+\partial_{y}f(y)\partial_{y}\Phi_{m}+f(y)m^2\Phi_{m}=0.
\"
34,"\begin{equation}\label{orth}
\int f(y)\Phi_{n}\Phi_{m}dy=\alpha_{m}\delta_{m,n},
\"
35,"\begin{equation}\label{nogo}
\frac{\int f(y)\partial_{y}\Phi_{n}\partial_{y}\Phi_{m}dy}{\int f(y)\Phi_{n}\Phi_{m}dy}=m^2.
\"
