,equation
0,"\begin{equation}
e_i' = \sum B_{ij} e_j \,, \eqlabel{BM}
\"
1,"\begin{equation}
n_i' = \sum n_j B^{-1}_{ji} \,. \eqlabel{nodenm}
\"
2,"\begin{equation}
I' = B I B^T \,. \eqlabel{Iprime}
\"
3,"\begin{equation}
n_1^2+n_2^2+n_3^2 = 3 n_1n_2n_3 \,. \eqlabel{diophantine}
\"
4,"\begin{equation}
n_{i+1}f_{i-1} = n_{i-1} f_{i+1} \eqlabel{ancanc}
\"
5,"\begin{equation}
\frac{d(1/g_i^2)}{d\ln\mu} = \beta_i = 3N_{c,i} - N_{f,i} \,,
\eqlabel{beta}
\"
6,"\begin{equation}
x_i=\frac{1}{g_i^2}  \,. \eqlabel{inversecoupling}
\"
7,"\begin{equation}
\dot x_i = \frac{dx_i}{dt} = \beta_i = 3N_{c,i} - N_{f,i} \,,
\eqlabel{betap}
\"
8,"\begin{equation}
\dot x_i = 3n_i - 3n_{i+1}n_{i-1} \,. \eqlabel{RG}
\"
9,"\begin{equation}
\frac{1}{g_s} = \sum_{i=1}^3\frac{1}{g_i^2} \,.
\"
10,"\begin{equation}
x\equiv\frac{1}{g_s} = \sum_{i=1}^3x_in_i\,.
\eqlabel{stringcoupling}
\"
11,"\begin{equation}
\dot x = 3(\sum_{i=1}^3n_i^2-3n_1n_2n_3)=0\,.
\eqlabel{Diophantine}
\"
12,"\begin{equation}
\dot x = (\beta_1,\beta_2,\beta_3) = (-3,-3,3)
\"
13,"\begin{equation}
I_{ij} = p_iq_j-p_jq_i.
\"
14,"\begin{equation}
f_i=\epsilon_{ijk}I_{jk}.
\"
15,"\begin{equation}
I_{ij}n_j = 0.
\"
16,"\begin{equation}
d = p_2 q_3 - p_3 q_2 \,.
\"
17,"\begin{equation}
\eqlabel{B} B =\begin{pmatrix} 1 & 0 & 0 \\ 0 & 0 & -1 \\ 0 & 1 &
$d$
\end{pmatrix}\,.
\"
18,"\begin{equation}
n^{(k)}_i = n^{(0)}_jB^{-k}_{ji}\,.
\"
19,"\begin{equation}
\lambda^2-d\lambda+1=0\,, \qquad \lambda_{\pm}={\frac12}(d\pm
\sqrt{d^2-4})
\"
20,"\begin{equation}
t_{k+1}=t_1-\frac{x^{(0)}_3}{\beta^{(1)}_2}+\bigl(x^{(0)}_2+
x^{(0)}_3\bigr)\sum_{j=1}^k\frac{1}{\beta^{(j)}_2}
\label{energyk}\"
21,"\begin{equation}
\beta_2^{(k)}= 3 \frac{\lambda_+^{k+1}-\lambda_-^{k+1}+
2\lambda_-^{k} - 2 \lambda_+^k - \lambda_-^{k-1}+\lambda_+^{k-1}}
{\lambda_+-\lambda_-} =
3(d-2)\frac{\lambda_+^k-\lambda_-^k}{\lambda_+-\lambda_-} \,,
\"
