,equation
0,"\begin{equation}
\label{s1}
\Psi_j \rightarrow \Psi_j + \alpha_j,\; \Psi_{-j} \rightarrow \Psi_{-j} + \alpha_j, j=1, \ldots, r,
\Psi_0  \rightarrow \Psi_0 + \alpha_0,
\"
1,"\begin{equation}
\label{m1}
 {\bf r}_0, {\bf r}_j+{\bf r}_{-j},\; j=1,\ldots,r,
\"
2,"\begin{equation}
\label{s2}
\Psi_j \rightarrow \Psi_j + \alpha_j,\; \Psi_{-j} \rightarrow \Psi_{-j} + \alpha_j, j=1, \ldots, r\ .
\"
3,"\begin{equation}
\label{m2}
{\bf r}_j+{\bf r}_{-j},\; j=1,\ldots,r,
\"
4,"\begin{equation}
\label{s3}
\Psi_j \rightarrow \Psi_j + \alpha_j,\; \Psi_{-j} \rightarrow \Psi_{-j} + \alpha_j, j=1, \ldots, r,
\"
5,"\begin{equation}
\label{m3}
{\bf r}_j+{\bf r}_{-j},\; j=1,\ldots,r,
\"
6,"\begin{equation}
\label{Ltwist}
L=\int d^2\theta d^2{\bar \theta}\ {\cal K}_{tw}(\Phi^{a}, {\bar \Phi}^{a};\   \Sigma^{a}, {\bar \Sigma}^{a})
\"
7,"\begin{equation}
{\bar D}_+\Phi^a={\bar D}_-\Phi^a=0,
\"
8,"\begin{equation}
{D}_+\Sigma^a={\bar D}_-\Sigma^a=0\ .
\"
9,"\begin{equation}
\label{constraint1}
\frac{{\partial}^2}{\partial \Sigma^{a}\partial {\bar \Sigma}^b}{\cal K}_{tw}-
\frac{{\partial}^2}{\partial \Sigma^{b}\partial
{\bar \Sigma}^{a}}{\cal K}_{tw}=0
\"
10,"\begin{equation}
\label{constraint2}
\frac{{\partial}^2}{\partial \Phi^{a}\partial {\bar \Phi}^{b}}{\cal K}_{tw}+
\frac{{\partial}^2}{\partial \Sigma^{b}\partial {\bar \Sigma}^a}{\cal K}_{tw}=0.
\"
11,"\begin{equation}
   \label{Spence}
   F(\eta) \ =\ \int_1^\eta \frac {\ln(1+\xi)}\xi \ d\xi,
    \"
12,"\begin{equation}
\label{promezhsusy}
L=\int d^2\theta d^2{\bar \theta}
\left[
{\cal K}_{tw} (\Phi^{a}, {\bar \Phi}^{a}, Z^a)
- \sum_a (A^a + \bar A^a)Z^a \right]\ ,
   \"
13,"\begin{equation}
\label{Legendre}
{\cal K}_{hk}({\Phi}^a, {\bar \Phi}^a, X^a) =
{\cal K}_{tw}({\Phi}^a, {\bar \Phi}^a, Z^a) - \sum_a Z^a X^a\ ,
   \"
14,"\begin{equation}
\label{X}
\frac{\partial {\cal K}_{tw}}{\partial Z^a} - X^a=0\ .
   \"
15,"\begin{equation}
\label{metrichk}
g_{i {\bar j}}=\partial_i \partial_{\bar j} {\cal K}_{hk}.
\"
16,"\begin{equation}
\label{s1}
\Psi_j \rightarrow \Psi_j + \alpha_j,\; \Psi_{-j} \rightarrow \Psi_{-j} + \alpha_j, j=1, \ldots, r,
\Psi_0  \rightarrow \Psi_0 + \alpha_0,
\"
17,"\begin{equation}
\label{m1}
 {\bf r}_0, {\bf r}_j+{\bf r}_{-j},\; j=1,\ldots,r,
\"
18,"\begin{equation}
\label{s2}
\Psi_j \rightarrow \Psi_j + \alpha_j,\; \Psi_{-j} \rightarrow \Psi_{-j} + \alpha_j, j=1, \ldots, r\ .
\"
19,"\begin{equation}
\label{m2}
{\bf r}_j+{\bf r}_{-j},\; j=1,\ldots,r,
\"
20,"\begin{equation}
\label{s3}
\Psi_j \rightarrow \Psi_j + \alpha_j,\; \Psi_{-j} \rightarrow \Psi_{-j} + \alpha_j, j=1, \ldots, r,
\"
21,"\begin{equation}
\label{m3}
{\bf r}_j+{\bf r}_{-j},\; j=1,\ldots,r,
\"
22,"\begin{equation}
\label{Ltwist}
L=\int d^2\theta d^2{\bar \theta}\ {\cal K}_{tw}(\Phi^{a}, {\bar \Phi}^{a};\   \Sigma^{a}, {\bar \Sigma}^{a})
\"
23,"\begin{equation}
{\bar D}_+\Phi^a={\bar D}_-\Phi^a=0,
\"
24,"\begin{equation}
{D}_+\Sigma^a={\bar D}_-\Sigma^a=0\ .
\"
25,"\begin{equation}
\label{constraint1}
\frac{{\partial}^2}{\partial \Sigma^{a}\partial {\bar \Sigma}^b}{\cal K}_{tw}-
\frac{{\partial}^2}{\partial \Sigma^{b}\partial
{\bar \Sigma}^{a}}{\cal K}_{tw}=0
\"
26,"\begin{equation}
\label{constraint2}
\frac{{\partial}^2}{\partial \Phi^{a}\partial {\bar \Phi}^{b}}{\cal K}_{tw}+
\frac{{\partial}^2}{\partial \Sigma^{b}\partial {\bar \Sigma}^a}{\cal K}_{tw}=0.
\"
27,"\begin{equation}
   \label{Spence}
   F(\eta) \ =\ \int_1^\eta \frac {\ln(1+\xi)}\xi \ d\xi,
    \"
28,"\begin{equation}
\label{promezhsusy}
L=\int d^2\theta d^2{\bar \theta}
\left[
{\cal K}_{tw} (\Phi^{a}, {\bar \Phi}^{a}, Z^a)
- \sum_a (A^a + \bar A^a)Z^a \right]\ ,
   \"
29,"\begin{equation}
\label{Legendre}
{\cal K}_{hk}({\Phi}^a, {\bar \Phi}^a, X^a) =
{\cal K}_{tw}({\Phi}^a, {\bar \Phi}^a, Z^a) - \sum_a Z^a X^a\ ,
   \"
30,"\begin{equation}
\label{X}
\frac{\partial {\cal K}_{tw}}{\partial Z^a} - X^a=0\ .
   \"
31,"\begin{equation}
\label{metrichk}
g_{i {\bar j}}=\partial_i \partial_{\bar j} {\cal K}_{hk}.
\"
