,equation
0,"\begin{equation}
\lambda = \frac{1}{2} \left( \frac{R_{max}}{R_{min}} - 1 \right)
\"
1,"\begin{equation}
ds^2 = \frac{r^2}{m + r^2} e^{2 A} d\tau^2 + e^{2 B} ( dr^2 + dz^2 ) + e^{2 C}
( m + r^2 ) d\Omega^2_{3}
\label{eq:num_metric}
\"
2,"\begin{equation}
\tau_{max} = 2 \pi \sqrt{m} e^{(B-A)} \mid_{r=0} = \frac{1}{T}
\"
3,"\begin{equation}
ds^2 =  d\rho^2 + \rho^2 \left( \frac{1}{4} \left( d\chi^2 + \sin^2{\chi} N^2 d\tau^2 \right) + \frac{1}{2} d\Omega^2_{3} \right)
\label{eq:cone_metric}
\"
4,"\begin{equation}
K = R^{\mu\nu\alpha\beta} R_{\mu\nu\alpha\beta} = \frac{48}{\rho^4}
\"
5,"\begin{equation}
\partial_{\rho}^2 \phi + \frac{3}{\rho} \partial_\rho \phi + \frac{4}
 {\rho^2} \left( \partial_\chi^2 \phi - \cot{\chi} \partial_\chi \phi \right) = 0
\"
6,"\begin{equation}
f(\rho) = \rho^{\pm k - 1}
\label{eq:fsoln}
\"
7,"\begin{equation}
g(\chi) = \sin^2{\chi} \, F\left(\frac{3-k}{4}, \frac{3+k}{4}; 2; \sin^2{\chi} \right)
\"
8,"\begin{equation}
g(\chi) = \frac{\sqrt{\pi}}{\Gamma{\left(\frac{5-k}{4}\right)} \Gamma{\left(\frac{5+k}{4}\right)}} - \frac{2 \sqrt{\pi}}{\Gamma{\left(\frac{3-k}{4}\right)} \Gamma{\left(\frac{3+k}{4}\right)}} \cos{\chi} + O(\cos{\chi}^2)
\"
9,"\begin{equation}
\phi = q \left( \rho \sin{\chi} \right)^2 + O(\rho^6)
\label{eq:phisoln}
\"
10,"\begin{equation}
\lambda = \frac{1}{2} \left( \frac{R_{max}}{R_{min}} - 1 \right)
\"
11,"\begin{equation}
ds^2 = \frac{r^2}{m + r^2} e^{2 A} d\tau^2 + e^{2 B} ( dr^2 + dz^2 ) + e^{2 C}
( m + r^2 ) d\Omega^2_{3}
\label{eq:num_metric}
\"
12,"\begin{equation}
\tau_{max} = 2 \pi \sqrt{m} e^{(B-A)} \mid_{r=0} = \frac{1}{T}
\"
13,"\begin{equation}
ds^2 =  d\rho^2 + \rho^2 \left( \frac{1}{4} \left( d\chi^2 + \sin^2{\chi} N^2 d\tau^2 \right) + \frac{1}{2} d\Omega^2_{3} \right)
\label{eq:cone_metric}
\"
14,"\begin{equation}
K = R^{\mu\nu\alpha\beta} R_{\mu\nu\alpha\beta} = \frac{48}{\rho^4}
\"
15,"\begin{equation}
\partial_{\rho}^2 \phi + \frac{3}{\rho} \partial_\rho \phi + \frac{4}
 {\rho^2} \left( \partial_\chi^2 \phi - \cot{\chi} \partial_\chi \phi \right) = 0
\"
16,"\begin{equation}
f(\rho) = \rho^{\pm k - 1}
\label{eq:fsoln}
\"
17,"\begin{equation}
g(\chi) = \sin^2{\chi} \, F\left(\frac{3-k}{4}, \frac{3+k}{4}; 2; \sin^2{\chi} \right)
\"
18,"\begin{equation}
g(\chi) = \frac{\sqrt{\pi}}{\Gamma{\left(\frac{5-k}{4}\right)} \Gamma{\left(\frac{5+k}{4}\right)}} - \frac{2 \sqrt{\pi}}{\Gamma{\left(\frac{3-k}{4}\right)} \Gamma{\left(\frac{3+k}{4}\right)}} \cos{\chi} + O(\cos{\chi}^2)
\"
19,"\begin{equation}
\phi = q \left( \rho \sin{\chi} \right)^2 + O(\rho^6)
\label{eq:phisoln}
\"
