,equation
0,"\begin{equation} 
\Si_1 =i \si_1\hspace{10mm}
\Si_2=i \si_2 \hspace{10mm} \Si_3=\si_3 \,\, . \label{SSHH}
\"
1,"\begin{equation} \Si_i
\Si_j=-\eta_{ij}I + i C_{ij}^{\ \ k} \Si_k \, , \label{SS} 
\"
2,"\begin{equation} 
U^{\dagger}\Si_3U=U\Si_3U^{\dagger}=\Si_3\, \, \label{PSOU}. 
\"
3,"\begin{equation}
\Si_i^{\dagger}=\Si_3 \Si_i \Si_3 \,\,  \label{PSOH}\, ,
\"
4,"\begin{equation} 
\Si_3^{\dagger}=\Si_3
\hspace{10mm} \Si_3^{2}=I \hspace{10mm}
\Si_3^{-1}=\Si_3^{\dagger}\, \, \, . 
\"
5,"\begin{equation}
\overline{\Psi}=\Psi^{\dagger}\Si_3\, \, , 
\"
6,"\begin{equation}
\Psi\ast\Phi=\overline{\Psi}\Phi\, \, . 
\"
7,"\begin{equation}
\Psi\ast \left(u\Phi\right)=
\overline{\Psi}u\Phi=\Psi^{\dagger}\Si_3u\Phi=\Psi^{\dagger}u^{\dagger}\Si_3\Phi
=\left(u\Psi\right)^{\dagger}\Si_3\Phi=
\overline{\left(u\Psi\right)}\Phi=\left(u\Psi\right)\ast \Phi \, \, , 
\"
8,"\begin{equation}
C_{im}^{\ \ \ k} \eta^{ij} C_{jl}^{\ \ n}=\eta_{m}^{\ \ n}\eta_{l}^{\ k}
- \eta_{ml} \eta^{kn}. \label{SABET} 
\"
9,"\begin{equation}
{\bf x}\cdot{\bf x}:=x_i\eta^{ij}x_j=-l^2\, \, . \label{EMB}
\"
10,"\begin{equation}
ds^2=l^2 \frac{dx^2+dy^2}{y^2}\,\, .\label{MET}
\"
11,"\begin{equation}
x=\frac{2\tanh\frac{\rh}{2} \sin\tau}{1+2\tanh\frac{\rh}{2}
\cos\tau +\tanh^2\frac{\rh}{2}} \hspace{20mm}
y=\frac{1-\tanh^2\frac{\rh}{2}}{1+2\tanh\frac{\rh}{2}
\cos\tau +\tanh^2\frac{\rh}{2}}\, ,
\"
12,"\begin{equation}
ds^2 =l^2 (d\rh^2 + \sinh ^2\rh \, d\tau^2 )\,\, . \label{METRIC}
\"
13,"\begin{equation}
AdS_3=\left\{\left(z_1,z_2\right)\in {C\hspace{-3mm}1}^{\hspace{1mm}2}, \hspace{5mm} \left|z_1\right|^2
-\left|z_2\right|^2=-l^2\right\}\, . \label{ADS3}
\"
14,"\begin{equation}
U(1)\stackrel{\mbox{right}\hspace{1mm} U(1)-\mbox{action}}{\hookrightarrow} AdS_3
\stackrel{\pi}{\longrightarrow} AdS_2 \,.
\"
15,"\begin{equation}
\begin{array}{llll}
&&\nonumber\\
&&\left.
\begin{array}{llll}
&&AdS_3 \times U(1)\rightarrow  AdS_3 \\
&&\left(z_1,z_2\right)w=\left(z_1w,z_2w\right)
\end{array}
\right\}
\rightarrow \left|z_1w\right|^2-\left|z_2w\right|^2 =\left|z_1\right|^2
-\left|z_2\right|^2=-l^2\,.
\end{array}
\"
16,"\begin{equation}
\left[x_i , x_j\right]= i\al C_{ij}^{\ \ k} x_k \, , \label{CMX}
\"
17,"\begin{equation}
\frac{1}{\alpha}ad_{x_i}x_j=\frac{1}{\alpha}\left[x_i,x_j\right]=:L_ix_j\, \label{DERIV}.
\"
18,"\begin{equation}
\left[L_i , L_j\right]= i C_{ij}^{\ \ k} L_k \, . \label{CML}
\"
19,"\begin{equation}
\left[L_i , x_j\right]= i C_{ij}^{\ \ k} x_k \, .  \label{LX}
\"
20,"\begin{equation}
\left|k\right\rangle=\frac{1}{\sqrt{k!(N-2-k)!}}\left({{\bf a}^{\dagger}}_{1}\right)^k
\left({{\bf a}^{\dagger}}_{2}\right)^{N-2-k}\left|0\right\rangle \, \hspace{20mm}k=0,1, 
\cdots ,N-2 \, ,
\"
21,"\begin{equation}
\left[{\bf a}^{a} , {\bf a}^{b}\right]=\left[{{\bf a}^{\dagger}}_{a} , 
{{\bf a}^{\dagger}}_{b}\right]=0 \hspace{20mm}
\left[{\bf a}^{a} , 
{{\bf a}^{\dagger}}_{b}\right]=\delta^a_b \, .
\"
22,"\begin{equation}
{\bf N}|_{_{{\cal F}_N}}=N-2 \,.
\"
23,"\begin{equation}
x_i=\frac{1}{2}\al \left(\Si_{i}\right)^a_{\, \, b} {{\bf a}^{\dagger}}_{a} 
{\bf a}^{b}\,. \label{SCH}
\"
24,"\begin{equation}
{\bf x}\cdot{\bf x}=\frac{-\al^2}{4} {\bf N}({\bf N}+2) \,. \label{CASIMIR}
\"
25,"\begin{equation}
\alpha=\frac{2l}{\sqrt{N(N-2)}} \, , \label{CONS}
\"
26,"\begin{equation}
x_i^0 x_j^0 \equiv (x_j x_i)^0 \, .
\"
27,"\begin{equation}
x_i^0 \Psi=\Psi x_i \hspace{20mm} \forall \Psi\in {\cal H}. \label{ZEROD}
\"
28,"\begin{equation}
\left[x_i^0 , x_j^0\right]= -i\al C_{ij}^{\ \ k} x_k^0 \, . \label{ZERO}
\"
