,equation
0,"\begin{equation}}
%\def\ee{\"
1,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace} S_{open} = \int
\!\! d\xi \; T({\mbox{\small $X$}}^0(\xi))\, \"
2,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace} S_{closed} = S_{CFT} + {1\over 4\pi} \int \!\!
d^2\sigma \, (\partial_\alpha {\mbox{\small $X$}}^0)^2, \"
3,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace} \label{roll}
T_{\rm roll}(X^0) = \lambda \exp
X^0 \"
4,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace} \label{bounce} T_{\rm bounce}({\mbox{\small $X$}}^0) = \lambda \cosh
{\mbox{\small $X$}}^0 \"
5,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace}
\label{eff}
S({\mbox{\small $T$}}) = - \int\!\!dt\, V({\mbox{\small $T$}})%e^{-\Phi(T)}
\sqrt{1-\dot{{\mbox{\small $T$}}}^2}
\"
6,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace}
\label{special}
V({\mbox{\small $T$}})%e^{-\Phi(T)}
= {1
\over g_s \cosh({{\mbox{\small $T$}}/2})}
\"
7,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace}
\label{approx}
V(T)\simeq {1\over g_s}\,  \Bigl(1 - {1\over 8}\, T^2\,  + \ldots \Bigr),
\"
8,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace} S_{{\rm bulk}} = {1 \over 4 \pi} \int
d^2 \sigma \left((\partial_a \varphi)^2 + Q R^{(2)} \varphi + 4
\pi \mu e^{2 b \varphi} \right), \"
9,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace}
\label{target}
S_{{\rm eff}} = \int\!\!
d^2 x\, \sqrt{-G}e^{-2\Phi}\Bigl(R + 4(\nabla \Phi)^2 - (\nabla
{\cal T}\, )^2 + 4 {\cal T}\, {}^2 + 16 + \ldots \Bigr). \"
10,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace}
\Phi(\varphi) \simeq 2
\varphi \, , \qquad \qquad {\cal T}(\varphi) \simeq (\phi + {1\over2} \log \mu)
\mu e^{2\varphi} \"
11,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace}
\label{geff}
g_{\rm eff} \simeq 1/\mu, \"
12,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace}
\label{dwall}
{\cal T}(0)  \simeq {\mu \over 2}\log \mu.
\"
13,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace}
 V_{P} = e^{(Q+iP)\varphi }
\"
14,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace} S_{{\rm bdy}} = {1 \over 4
\pi} \int_{\partial \Gamma} \left( {Q K \over 2 \pi} \varphi +
\mu_B e^{b \varphi} \right) d \xi, \"
15,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace} \label{fzz}
 \vev{v_P|B_s } = 
{ \hat c \over i P} ( \pi \mu \gamma(b^2 ))^{ - i P/2b} \Gamma(
1 + i b P) \Gamma( 1 + iP/b) \cos( \pi s P) , \"
16,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace} \label{star} \cosh^2 \pi b s = { \mu_B
^2 \over \mu } \sin \pi b^2 .
\"
17,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace}
\label{fuzzy}
 \vev{v_P|B_s } = \,
c\, e^{-i\delta(P)}\, {\pi \cos (\pi s P) \over  \sinh (\pi P)}
\"
18,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace} \label{leg} e^{-i\delta(P)} =( \pi \mu )^{- i P/2}
{\Gamma(1 + i P)\over \Gamma(1-iP)},  \"
19,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace}
\label{starstar} \cosh(\pi s) = 0. \"
20,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace}\qquad \quad s = {i\over
2} (2 m + 1) \, , \qquad m \in {\bf  Z}. \"
21,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace} \label{laplace}
\ket{B_s} = \int {d\ell \over \ell}\, e^{-\ell\sqrt{\mu} \cosh (\pi s)} \,
\ket{W(\ell)} \"
22,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace} \label{bessel} W(\ell,P) \equiv \vev{v_P|W(\ell)} =
 c \, e^{-i\delta(P)} \, P \, K_{iP}(\sqrt{\mu} \ell) \"
23,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace} \label{wheeler}
\Bigl( -{1 \over 2} {\partial^2\over
\partial \phi_0^2 } + 2 \pi \mu e^{2 \phi_0} - {1\over 2} P^2 \Bigr) W(\ell,P)
= 0 \qquad \qquad \ell = e^{\phi_0} \"
24,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace}
\label{geez}
 \int {d\ell \over \ell} \, \, e^{-\ell \sqrt{\mu} \cosh( \pi s)}
K_{i P} ( \sqrt{\mu} \, \ell) = {\cos (\pi P s) \over P \sinh  (\pi
P )} \"
25,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace} \ket{B} =
\ket{B_\lambda} \otimes \ket{B_s}. \"
26,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace} \vev{v_\omega | B_\lambda} = \lambda^{-i \omega} { \pi
\over \sinh \pi \omega}. \"
27,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace} \label{production} \qquad \quad
\CA(\omega, P) =  \vev{v_\omega| B_\lambda}\vev{v_P|B_s} = {c\,
\pi^2 e^{-i\delta(P)} \lambda^{-i\omega}\over \sinh( \pi P/2)
\sinh(\pi \omega)},\qquad \ \omega=|P|\, . \"
28,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace}
\label{smatrix}
S(\TTT) = - \int\! \! dt \, {\rm{Tr}}\, \Bigl(\,
V(\TTT) %e^{-\Phi(\TTT)}
\sqrt{1-(D_t{\TTT})^2}\, . \Bigr)\"
29,"\begin{equation}
\addtolength{\abovedisplayskip}{\extraspaces}
\addtolength{\belowdisplayskip}{\extraspaces}
\addtolength{\abovedisplayshortskip}{\extraspace}
\addtolength{\belowdisplayshortskip}{\extraspace}
\qquad \TTT = \Omega^\dagger T \, \Omega \, , \qquad \quad
\qquad \ T = {\rm diag}({\mbox{\small $T$}}_{\! 1}, {\mbox{\small $T$}}_{\! 2}, \ldots\, {\mbox{\small $T$}}_{\! N}).
\"
