,equation
0,"\begin{equation}
  \label{eq:emtensor}
  T_{\mu \nu} = \epsilon(2 \varphi_{,\mu} \varphi_{,\nu} - g_{\mu\nu}
  \varphi_{,\alpha}\varphi^{,\alpha}) ,
\"
1,"\begin{equation}
  \label{eq:action}
{\cal L} = {\cal R} -2 \epsilon\varphi_{,\alpha}\varphi^{,\alpha} ,
\"
2,"\begin{equation}
  \label{eq:KS-sol}
  \varphi(t)=\frac{1}{2}\sqrt{\frac{1-\alpha^2}{\epsilon}}
  \log\left(\frac{2\eta}{t}-k\right).
\"
3,"\begin{equation}
  \label{eq:ftheta}
  f_k(\theta)=\left\{
      \begin{array}{ll}
\sin \theta  & k=1 , \\
 \theta     & k=0 , \\
\sinh \theta &  k=-1 .
      \end{array}\right.
\"
4,"\begin{equation}
  \label{eq:expansion}
  \Theta=\frac{2t}{\eta^2+t^2} .
\"
5,"\begin{equation}
  \label{eq:shear}
  \sigma= -\frac{t}{\sqrt{3}(\eta^2+t^2)}
\"
6,"\begin{equation}
  \label{eq:plane}
  ds^2=\frac{1}{\sqrt{t}} e^{f(t,z)} (-dt^2+dz^2)+t(dx^2+dy^2) .
\"
7,"\begin{equation}
  \label{eq:K-G}
  {\varphi_{,tt}}+\frac{1}{t}{\varphi_{,t}}-{\varphi_{,zz}}=0,
\"
8,"\begin{equation}
  \label{eq:sol_zgt}
  \varphi_1= b \; \hbox{arccosh}\left(\frac{z}{t}\right), \qquad{|z|
  \geq t}
\"
9,"\begin{equation}
  \label{eq:sol_zlt}
  \varphi_2= b \; \hbox{arccos}\left(\frac{z}{t}\right), \qquad{|z|
  \leq t} .
\"
10,"\begin{equation}
  \label{eq:phi_1}
  ds^2 [1]=\frac{1}{{\sqrt t}}
  (\frac{z^2}{t}-t)^{-2 b^2}(-dt^2+dz^2)+t(dx^2+dy^2),
\"
11,"\begin{equation}
  \label{eq:phi_2}
  ds^2[2]=\frac{1}{{\sqrt t}}
(t-\frac{z^2}{t})^{2 b^2}(-dt^2+dz^2)+t(dx^2+dy^2),
\"
12,"\begin{equation}
  \label{eq:Ricci_1}
{\cal R} = -2 b^2 t^{-3/2}(\frac{z^2}{t}-t)^{2 b^2},
\"
13,"\begin{equation}
  \label{eq:Ricci_2}
{\cal R} = 2 b^2 t^{-3/2} (t-\frac{z^2}{t})^{-2 b^2}.
\"
